GW Watershed name,IWM MICROBASIN,GW Village name,IWM VILLAGE
ATP_C_65_Tadipatri,ATP_C_65_TADIPATRI (PART)-MB,Diguvapalli,Diguvapalle
ATP_C_65_Ubicherla,ATP_C_65_UBICHERLA (PART)-MB,Dimmagudi,Dimmagudi
ATP_C_46_Chadam,ATP_D_46_CHADAM-MB,Dodagatta,Dodagatta
ATP_C_63_Roddam,ATP_C_63_RODDAM-MB,Dodagatta,Dodagatta-1
ATP_D_46_Agali,ATP_D_46_AGALI-MB,Dodderi,Dodderi
ATP_D_46_Donekal,ATP_D_46_DONEKAL (PART)-MB,Donekal,Donekal
ATP_C_65_Guntakal,ATP_C_65_GUNTAKAL-MB,Donimukkala,Donimukkala
ATP_C_67_Kondakamarla,ATP_C_67_KONDAKAMARLA-MB,Donnikota,Donnikota
ATP_C_67_Dorigallu,ATP_C_67_DORIGALLU-MB,Dorigallu,Dorigallu
ATP_C_65_Amalladinne,ATP_C_65_AMALLADINNE-MB,Dosaledu,Dosaledu
ATP_C_65_Guntakal,ATP_C_65_GUNTAKAL-MB,Dosaludiki,Dosaludiki
ATP_C_67_Kanumukkala,ATP_C_67_KANUMUKKALA-MB,Duddebanda ,Duddebanda
ATP_D_46_Beluguppa,ATP_D_46_BELUGUPPA-MB,Duddekunta,Duddekunta
ATP_C_64_Palavai,ATP_C_64_PALAVAI-MB,Duradakunta,Duradakunta
ATP_C_66_Narpala,ATP_C_66_NARPALA-MB,Durgam,Durgam
ATP_C_64_Palavai,ATP_C_64_PALAVAI-MB,East Kodipalli,East Kodipalle
ATP_C_65_Kaderpet ,ATP_C_65_KADERPET-MB,Eddulapalli,Eddulapalle
ATP_C_59_Amadaguru,ATP_C_67_AMADAGURU-MB,Edigavaripalli,Edigavaripalle
ATP_C_67_Chigicherla,ATP_C_67_CHIGICHERLA-MB,Edula Mustur,Edula Mustur
ATP_C_63_Somandepalli,ATP_C_63_SOMANDEPALLI-MB,EdulaBalapuram,Edulabalapuram
 ATP_C_69_Kokkanti ,ATP_C_69_KOKKANTI-MB,Edurudona,Edurudona
ATP_C_67_Kadiri,ATP_C_67_KADIRI-MB,Eguvapalli,Yeguvapalle
ATP_C_66_Thumucherla,ATP_C_66_THUMUCHERLA-MB,Elakuntla,Elakkuntla
ATP_C_46_Chadam,ATP_D_46_CHADAM-MB,Elangi,Elanji
ATP_C_67_Mudigubba,ATP_C_67_MUDIGUBBA-MB,Elukuntla,Elukuntla
ATP_C_67_Thippepalli,ATP_C_67_THIPPEPALLI-MB,Enagaluru,Inagalur-2
ATP_C_65_Ubicherla,ATP_C_65_UBICHERLA (PART)-MB,Engilibanda,Engilibanda
 ATP_C_67_VonavoluG,ATP_C_67_VONAVOLU-MB,Enumulapalli,Yenumalapalle
ATP_D_46_Brahmasamudram,ATP_D_46_BRAHMASAMUDRAM-MB,Eradikera,Eradikera
ATP_C_66_Kanaganapalli,ATP_C_66_KANAGANAPALLI-MB,Erragunta,Yerragunta-1
ATP_C_65_Midthuru,ATP_C_65_MIDTHURU-MB,Eswarapalli,Eswarapalle
 ATP_C_67_Nallacheruvu ,ATP_C_67_NALLACHERUVU-MB,Ethodu,Ethodu
ATP_C_65_Ubicherla,ATP_C_65_UBICHERLA (PART)-MB,G.Anantapur,Gooty Ananta Puram
ATP_C_65_Ubicherla,ATP_C_65_UBICHERLA (PART)-MB,G.Venkatampalli,G. Venkatampalle
ATP_D_46_Donekal,ATP_D_46_DONEKAL (PART)-MB,Gadehothur,Gade Hothur
ATP_D_46_Donekal,ATP_D_46_DONEKAL (PART)-MB,Gadekal,Gadekal
ATP_C_59_Amadaguru,ATP_C_67_AMADAGURU-MB,Gadidamanipalli,Gadidamvaripalle
ATP_C_65_Kaderpet ,ATP_C_65_KADERPET-MB,Gajarampalli,Gajarampalle
ATP_D_46_Rayadurg,ATP_D_46_RAYADURG-MB,Galagala,Galagala
 ATP_C_63_Malaguru,ATP_C_63_MALAGURU-MB,Ganaparthipalli,Ganapathipalle
 ATP_C_67_Somagatta ,ATP_C_67_SOMAGATTA-MB,Gandladinne,Gandladinne
ATP_C_65_Tadipatri,ATP_C_65_TADIPATRI (PART)-MB,Gandlapadu ,Gandlapadu
ATP_C_66_Thumucherla,ATP_C_66_THUMUCHERLA-MB,Gandlaparthy,Gandlaparthi-1
ATP_C_69_N.P. Kunta,ATP_C_69_N.P. KUNTA (PART)-MB,Gandlapenta,Gandlapenta-1
ATP_C_67_Dorigallu,ATP_C_67_DORIGALLU-MB,Gandlavallapalli,Gandlavandlapalle
ATP_C_65_Gudipadu ,ATP_C_65_GUDIPADU_NC_PART KNL-MB,Gangadevipalli,Gangadevipalle
 ATP_C_67_Chilmathur,ATP_C_67_CHILAMATHUR-MB,Gangampalli,Gangampalle
ATP_D_46_Beluguppa,ATP_D_46_BELUGUPPA-MB,Gangavaram,Gangavaram-4
