,,,,CA,NCA,PQA,,,,,,,,,,,,,,,
,,,,Industrial,Industrial,Industrial,,,,,,,,,,,,,,,
Sr.no,Watershed code,GW watershed name,village name,Industrial Wells,Industrial Wells,Industrial Wells,Total,,,,,,,,,,,,,,
207,12_C_66_06,ATP_C_66_Rotarypuram,Taticherla,0,,,0,,,,,,,,,,,,,,
208,12_C_66_06,ATP_C_66_Rotarypuram,Kotanka,0,,,0,,,,,,,,,,,,,,
209,12_C_66_06,ATP_C_66_Rotarypuram,Marthadu,0,,,0,,,,,,,,,,,,,,
210,12_C_66_06,ATP_C_66_Rotarypuram,Jambuladine,0,,,0,,,,,,,,,,,,,,
211,12_C_66_06,ATP_C_66_Rotarypuram,Obulapuram,0,,,0,,,,,,,,,,,,,,
212,12_C_66_06,ATP_C_66_Rotarypuram,Garladinne,0,,,0,,,,,,,,,,,,,,
213,12_C_66_06,ATP_C_66_Rotarypuram,Chedulla,0,,,0,,,,,,,,,,,,,,
214,12_C_66_06,ATP_C_66_Rotarypuram,Korrapadu,0,,,0,,,,,,,,,,,,,,
215,12_C_66_06,ATP_C_66_Rotarypuram,Rotarypuram,0,,,0,,,,,,,,,,,,,,
216,12_C_66_06,ATP_C_66_Rotarypuram,Chennarayanipalli,0,,,0,,,,,,,,,,,,,,
217,12_C_66_06,ATP_C_66_Rotarypuram,Siddarampeta,0,,,0,,,,,,,,,,,,,,
218,12_C_66_10,ATP_C_66_Salakamcheruvu,Salakamcheruvu,,,,0,,,,,,,,,,,,,,
219,12_C_66_10,ATP_C_66_Salakamcheruvu,Matlagondi,,0,,0,,,,,,,,,,,,,,
220,12_C_66_10,ATP_C_66_Salakamcheruvu,Sodanapalli,,,,0,,,,,,,,,,,,,,
221,12_C_66_10,ATP_C_66_Salakamcheruvu,Singanamala,,,,0,,,,,,,,,,,,,,
222,12_C_66_10,ATP_C_66_Salakamcheruvu,Cheelapalli,,,,0,,,,,,,,,,,,,,
223,12_C_66_10,ATP_C_66_Salakamcheruvu,Chakrayapeta,,,,0,,,,,,,,,,,,,,
224,12_D_46_06,ATP_D_46_Bhupasamudram,H.Hosahalli,0,0,,0,,,,,,,,,,,,,,
225,12_D_46_06,ATP_D_46_Bhupasamudram,Bhupasamudram,0,0,,0,,,,,,,,,,,,,,
226,12_D_46_06,ATP_D_46_Bhupasamudram,Veparala,0,0,,0,,,,,,,,,,,,,,
227,12_D_46_06,ATP_D_46_Bhupasamudram,Junjurampalli,0,0,,0,,,,,,,,,,,,,,
228,12_D_46_06,ATP_D_46_Bhupasamudram,Nagireddipalli,0,0,,0,,,,,,,,,,,,,,
229,12_D_46_06,ATP_D_46_Bhupasamudram,Avuladatla,0,0,,0,,,,,,,,,,,,,,
230,12_D-46-02,ATP-D-46-Havalgi,Vidapanakal,0,,,0,,,,,,,,,,,,,,
231,12_D-46-02,ATP-D-46-Havalgi,Havalgi,0,0,,0,,,,,,,,,,,,,,
232,12_D-46-02,ATP-D-46-Havalgi,Karakamukkala,0,,,0,,,,,,,,,,,,,,
233,12_D-46-02,ATP-D-46-Havalgi,Malapuram,0,,,0,,,,,,,,,,,,,,
234,12_D-46-02,ATP-D-46-Havalgi,Palthuru,0,,,0,,,,,,,,,,,,,,
235,12_D-46-02,ATP-D-46-Havalgi,Vyasapuram,0,,,0,,,,,,,,,,,,,,
236,12_D-46-02,ATP-D-46-Havalgi,Bollanaguddam,0,,,0,,,,,,,,,,,,,,
237,12_D-46-02,ATP-D-46-Havalgi,Kalludevanahalli,0,,,0,,,,,,,,,,,,,,
238,12_D-46-02,ATP-D-46-Havalgi,D.Honnur,0,,,0,,,,,,,,,,,,,,
239,12_D_46_14,ATP_D_46_Kadlur,Ganigera,,,,0,,,,,,,,,,,,,,
240,12_D_46_14,ATP_D_46_Kadlur,Yerraguntla,,0,,0,,,,,,,,,,,,,,
241,12_D_46_14,ATP_D_46_Kadlur,Singanahalli,,,,0,,,,,,,,,,,,,,
242,12_D_46_14,ATP_D_46_Kadlur,Sreedharagatta,,,,0,,,,,,,,,,,,,,
243,12_D_46_14,ATP_D_46_Kadlur,Kolaganahalli,,,,0,,,,,,,,,,,,,,
244,12_D_46_14,ATP_D_46_Kadlur,Muradi,,,,0,,,,,,,,,,,,,,
245,12_D_46_03,ATP_D_46_Kadlur,Kadalur,,,,0,,,,,,,,,,,,,,
