S.no,GW watershed  name,IWM Micro basin,NCA pre monsoon depth to water level ,NCA post monsoon depth to water level,NCA pre monsoon depth to water level ,NCA post monsoon depth to water level,CA pre monsoon depth to water level ,CA post monsoon depth to water level,CA pre monsoon depth to water level ,CA post monsoon depth to water level,Dependancy factor nca,Dependancy factor ca,Normal annual rainfall mm,Normal Monsoon rainfall mm,Normal Non-monsoon rainfall mm,Annual rainfall for the year of assessment mm,Monsoon rainfall for the year of assessment mm,Non-monsoon rainfall for the year of assessment mm
76, ATP_C_67_Cheekatimanapalli,ATP_C_69_CHEEKATIMANIPALLI (PAR-MB,32,32,32,16.56,,,,,0.98,0,612,351,261,441.8,208,233.8
77, ATP_C_69_Kokkanti ,ATP_C_69_KOKKANTI-MB,32,32,32,16.56,,,,,0.98,0,612,351,261,441.8,208,233.8
78,ATP_C_69_N.P. Kunta,ATP_C_69_N.P. KUNTA (PART)-MB,11.87,13.12,7.5,4.52,,,,,0.98,0,594,353,241,504.8,225.4,279.4
79,ATP_C_69_Pedaballi,ATP_C_69_PEDABALLI-MB,32,32,32,16.56,,,,,0.98,0,612,254,499,348.2,176.6,171.6
80,ATP_C_69_Velichalamala,ATP_C_69_VELICHALAMALA (PART)-MB,22.34,26.6,26.62,5.18,,,,,0.98,0,612,358,254,348.2,176.6,171.6
81,ATP_D_46_Agali,ATP_D_46_AGALI-MB,72.53,72.6,71.14,70.98,,,,,0.98,0,601,260,499,528.2,211.4,316.8
82,ATP_D_46_Amarapuram,ATP_D_46_AMARAPURAM-MB,11.18,12.39,16.02,10.37,,,,,0.98,0,546,202,499,507.2,134.2,373
83,ATP_D_B.G. Halli,ATP_D_46_B.G. HALLI-MB,16.17,12.83,22.92,16.31,,,,,0.98,0,506,305,201,557,140,417
84,ATP_D_46_Basavanahalli,ATP_D_46_BASAVANAHALLI-MB,11.18,12.39,16.02,10.37,,,,,0.98,0,546,202,499,507.2,134.2,373
85,ATP_D_46_Beluguppa,ATP_D_46_BELUGUPPA-MB,6.91,5.74,7.35,7.55,,,,,0.98,0,489,307,182,338.8,170,168.8
86,ATP_D_46_Brahmasamudram,ATP_D_46_BRAHMASAMUDRAM-MB,15.55,16.73,22.86,22.65,,,,,0.98,0,529,306,223,547.8,311.8,236
87,ATP_D_46_Kunduripi ,ATP_D_46_KUNDURPI-MB,15.73,11.73,15.85,7.64,,,,,0.98,0,495,289,206,526.2,216.2,310
