,,,,Command Area,,,,,,,,Non-Command Area,,,,,,,,Poor GW quality area,,,,,,,,,,,,,,,,,,,,,,
,,,,Irrigated,,,,,,,,Irrigated,,,,,,,,Irrigated,,,,,,,,,,,,,,,,,,,,,,
Sr.no,Watershed code,GW watershed name,village name,DW,DW PS,BW,STW,MTW,DTW,FP,Total,DW,DW PS,BW,STW,MTW,DTW,FP,Total,DW,DW PS,BW,STW,MTW,DTW,FP,Total,,,,,,,,,,,,,,,
99,12_C_65_15,ATP_C_65_Budedu,Krishnapuram,0,0,215,0,0,0,0,215,0,0,0,0,0,0,0,0,,,,,,,,0,,,,,,,,,,,,,,,
100,12_C_65_15,ATP_C_65_Budedu,Yerraguntla,0,0,185,0,0,0,0,185,0,0,0,0,0,0,0,0,,,,,,,,0,,,,,,,,,,,,,,,
101,12_C_65_15,ATP_C_65_Budedu,Budedu,0,0,210,0,0,0,0,210,0,0,0,0,0,0,0,0,,,,,,,,0,,,,,,,,,,,,,,,
102,12_C_65_01,ATP_C_65_Guntakal,Thimmanaacherla,0,0,0,0,,0,0,0,,0,45,,0,0,0,45,,,,,,,,0,,,,,,,,,,,,,,,
103,12_C_65_01,ATP_C_65_Guntakal,Kasapuram,0,0,0,0,,0,0,0,,0,135,,0,0,0,135,,,,,,,,0,,,,,,,,,,,,,,,
104,12_C_65_01,ATP_C_65_Guntakal,Sangala,0,0,0,0,,0,0,0,,0,35,,0,0,0,35,,,,,,,,0,,,,,,,,,,,,,,,
105,12_C_65_01,ATP_C_65_Guntakal,Dosaludiki,0,0,0,0,,0,0,0,,0,55,,0,0,0,55,,,,,,,,0,,,,,,,,,,,,,,,
106,12_C_65_01,ATP_C_65_Guntakal,Gundala,0,0,0,0,,0,0,0,,0,94,,0,0,0,94,,,,,,,,0,,,,,,,,,,,,,,,
107,12_C_65_01,ATP_C_65_Guntakal,Konganapalli,0,0,0,0,,0,0,0,,0,84,,0,0,0,84,,,,,,,,0,,,,,,,,,,,,,,,
108,12_C_65_01,ATP_C_65_Guntakal,Sankarabanda,0,0,0,0,,0,0,0,,0,30,,0,0,0,30,,,,,,,,0,,,,,,,,,,,,,,,
109,12_C_65_01,ATP_C_65_Guntakal,P.K.Cheruvu,0,0,30,0,,0,0,30,,0,97,,0,0,0,97,,,,,,,,0,,,,,,,,,,,,,,,
110,12_C_65_01,ATP_C_65_Guntakal,Ameenpalli,0,0,0,0,,0,0,0,,0,39,,0,0,0,39,,,,,,,,0,,,,,,,,,,,,,,,
111,12_C_65_01,ATP_C_65_Guntakal,Nakkaladoddi,0,0,0,0,,0,0,0,,0,193,,0,0,0,193,,,,,,,,0,,,,,,,,,,,,,,,
112,12_C_65_01,ATP_C_65_Guntakal,Thimmapuram,0,0,0,0,,0,0,0,,0,171,,0,0,0,171,,,,,,,,0,,,,,,,,,,,,,,,
113,12_C_65_01,ATP_C_65_Guntakal,Donimukkala,0,0,0,0,,0,0,0,,0,112,,0,0,0,112,,,,,,,,0,,,,,,,,,,,,,,,
114,12_C_65_01,ATP_C_65_Guntakal,Nelagonda,0,0,0,0,,0,0,0,,0,178,,0,0,0,178,,,,,,,,0,,,,,,,,,,,,,,,
115,12_C_65_01,ATP_C_65_Guntakal,Rajapuram,0,0,0,0,,0,0,0,,0,54,,0,0,0,54,,,,,,,,0,,,,,,,,,,,,,,,
