,,7,Command area,,,,,,,,,,,,Non-Command area,,,,,,,,,,,,Poor quality,,,,,,,,,,,
Sr.No,Watershed name,,Agriculture,,,,Domestic,,,,Industrial,,,,Agriculture,,,,Domestic,,,,Industrial,,,,Agriculture,,,,,,,,Industrial,,,
,,Type of well,yield,No.of ,Days of operation of wells          ,,yield,No.of ,Days of operation of wells          ,,yield,No.of ,Days of operation of wells          ,,yield,No.of ,Days of operation of wells          ,,yield,No.of ,Days of operation of wells          ,,yield,No.of ,Days of operation of wells          ,,yield,No.of ,Days of operation of wells          ,,,,,,yield,No.of ,Days of operation of wells          ,
,,,lph,wells,Monsoon,Non - Monsoon,lph,wells,Monsoon,Non - Monsoon,lph,wells,Monsoon,Non - Monsoon,lph,wells,Monsoon,Non - Monsoon,lph,wells,Monsoon,Non - Monsoon,lph,wells,Monsoon,Non - Monsoon,lph,wells,Monsoon,Non - Monsoon,,,,,lph,wells,Monsoon,Non - Monsoon
65,VSP_F_16_C_TANDAVA-2_PAYAKARAOPETA,DW+PS/DCB,828.5714285714,27,40,90,0,,120,240,0,,120,240,828.5714285714,,40,90,0,,120,240,828.5714285714,,120,240,828.5714285714,0,40,90,,,,,828.5714285714,0,120,240
66,VSP_F_16_C_TANDAVA-2_PAYAKARAOPETA,BWs,1657.1428571429,1,40,90,1035.7142857143,22,120,240,2071.4285714286,3,120,240,1035.7142857143,,40,90,1035.7142857143,,120,240,2071.4285714286,,120,240,4142.8571428572,0,40,90,,,,,2071.4285714286,0,120,240
67,VSP_F_16_C_TANDAVA-2_PAYAKARAOPETA,STW,2485.7142857143,0,40,90,0,,120,240,0,,120,240,1657.1428571429,,40,90,0,,120,240,2071.4285714286,,120,240,6380,0,40,90,,,,,2071.4285714286,0,120,240
68,VSP_F_16_C_TANDAVA-2_PAYAKARAOPETA,MTW,4142.8571428572,30,40,90,0,,120,240,0,,120,240,3314.2857142857,,40,90,0,,120,240,2071.4285714286,,120,240,13050,0,40,90,,,,,2071.4285714286,0,120,240
69,VSP_F_16_C_TANDAVA-2_PAYAKARAOPETA,Deep TW,0,9,40,90,0,,120,240,0,,120,240,0,,40,90,0,,120,240,4142.8571428572,,120,240,18642.8571428571,0,40,90,,,,,4142.8571428572,0,120,240
70,VSP_F_16_C_TANDAVA-2_PAYAKARAOPETA,Filter Points,4971.4285714286,451,40,90,0,,120,240,0,,120,240,2071.4285714286,,40,90,0,,120,240,2071.4285714286,,120,240,2071.4285714286,0,40,90,,,,,2071.4285714286,0,120,240
71,VSP_E_27_NC_SABARI-1_G.K.VEEDHI,DW,0,,,,0,,,,0,,,,829,,40,90,83,88,120,240,0,,120,240,0,0,,,,,,,0,0,,
72,VSP_E_27_NC_SABARI-1_G.K.VEEDHI,DW+PS/DCB,0,,,,0,,,,0,,,,829,,45,88,0,,120,240,0,,120,240,0,0,,,,,,,0,0,,
73,VSP_E_27_NC_SABARI-1_G.K.VEEDHI,BWs,0,,,,0,,,,0,,,,1243,,45,90,829,,120,240,0,,120,240,0,0,,,,,,,0,0,,
74,VSP_E_27_NC_SABARI-1_G.K.VEEDHI,S TW,0,,,,0,,,,0,,,,1243,,40,90,0,,120,240,0,,120,240,0,0,,,,,,,0,0,,
75,VSP_E_27_NC_SABARI-1_G.K.VEEDHI,M TW,0,,,,0,,,,0,,,,0,,40,90,0,,120,240,0,,120,240,0,0,,,,,,,0,0,,
76,VSP_E_27_NC_SABARI-1_G.K.VEEDHI,D TW,0,,,,0,,,,0,,,,0,,40,90,0,,120,240,0,,120,240,0,0,,,,,,,0,0,,
77,VSP_E_27_NC_SABARI-1_G.K.VEEDHI,Filter Points,0,,,,0,,,,0,,,,2071,,40,90,0,,120,240,0,,120,240,0,0,,,,,,,0,0,,
78,VSP_E_27_NC_SABARI-2_CHINTAPALLI,DW,0,,,,0,,,,0,,,,829,10,40,90,83,112,120,240,1036,,120,240,0,0,,,,,,,0,0,,
79,VSP_E_27_NC_SABARI-2_CHINTAPALLI,DW+PS/DCB,0,,,,0,,,,0,,,,829,,45,88,0,,120,240,829,,120,240,0,0,,,,,,,0,0,,
