Sr.No,watershed code,gw watershed name,Village code,village name,Population [command area],Population [non command area],total Population,LPCD,,,,,,,,,,,,,,
87,11_C_65_11,KDP_C_65_11_CHENNURU,10,Yadavapuram,0,,0,0,,,PENNA,65_PENNA,Chinthalavanka,11_C_65_11,KDP_C_65_11_CHENNURU,11,YSR Kadapa,26,Vallur,11159260100107,10,Yadavapuram
88,11_C_65_11,KDP_C_65_11_CHENNURU,2,Kokkarayapalli,1122,,1122,61710,,,PENNA,65_PENNA,Chinthalavanka,11_C_65_11,KDP_C_65_11_CHENNURU,11,YSR Kadapa,27,Chennuru,11154270020102,2,Kokkarayapalli
89,11_C_65_11,KDP_C_65_11_CHENNURU,3,Chennuru,16126,,16126,886930,,,PENNA,65_PENNA,Chinthalavanka,11_C_65_11,KDP_C_65_11_CHENNURU,11,YSR Kadapa,27,Chennuru,11154270030103,3,Chennuru
90,11_C_65_11,KDP_C_65_11_CHENNURU,7,Nazeerbeigpalli,1025,,1025,56375,,,PENNA,65_PENNA,Chinthalavanka,11_C_65_11,KDP_C_65_11_CHENNURU,11,YSR Kadapa,27,Chennuru,11154270070106,7,Nazeerbeigpalli
91,11_C_65_11,KDP_C_65_11_CHENNURU,8,Gurrampadu,1498,,1498,82390,,,PENNA,65_PENNA,Chinthalavanka,11_C_65_11,KDP_C_65_11_CHENNURU,11,YSR Kadapa,27,Chennuru,11154270080106,8,Gurrampadu
92,11_C_65_11,KDP_C_65_11_CHENNURU,9,Ramanapalli,3107,,3107,170885,,,PENNA,65_PENNA,Chinthalavanka,11_C_65_11,KDP_C_65_11_CHENNURU,11,YSR Kadapa,27,Chennuru,11154270090107,9,Ramanapalli
93,11_C_65_11,KDP_C_65_11_CHENNURU,10,Upparapalli,1525,,1525,83875,,,PENNA,65_PENNA,Chinthalavanka,11_C_65_11,KDP_C_65_11_CHENNURU,11,YSR Kadapa,27,Chennuru,11154270100108,10,Upparapalli
94,11_C_65_11,KDP_C_65_11_CHENNURU,11,Dugganapalli,589,,589,32395,,,PENNA,65_PENNA,Chinthalavanka,11_C_65_11,KDP_C_65_11_CHENNURU,11,YSR Kadapa,27,Chennuru,11154270110108,11,Dugganapalli
95,11_C_65_11,KDP_C_65_11_CHENNURU,12,Chinnamachupalli,2573,,2573,141515,,,PENNA,65_PENNA,Chinthalavanka,11_C_65_11,KDP_C_65_11_CHENNURU,11,YSR Kadapa,27,Chennuru,11154270120109,12,Chinnamachupalli
96,11_C_65_11,KDP_C_65_11_CHENNURU,13,Rudrabharatipet,0,,0,0,,,PENNA,65_PENNA,Chinthalavanka,11_C_65_11,KDP_C_65_11_CHENNURU,11,YSR Kadapa,27,Chennuru,11154270130109,13,Rudrabharatipet
97,11_C_65_11,KDP_C_65_11_CHENNURU,14,Rachinayanapalli,772,,772,42460,,,PENNA,65_PENNA,Chinthalavanka,11_C_65_11,KDP_C_65_11_CHENNURU,11,YSR Kadapa,27,Chennuru,11154270140110,14,Rachinayanapalli
98,11_C_65_11,KDP_C_65_11_CHENNURU,15,Mundlapalli,1140,,1140,62700,,,PENNA,65_PENNA,Chinthalavanka,11_C_65_11,KDP_C_65_11_CHENNURU,11,YSR Kadapa,27,Chennuru,11154270150111,15,Mundlapalli
99,11_C_65_11,KDP_C_65_11_CHENNURU,1,Kopparthi,3250,,3250,178750,,,PENNA,65_PENNA,Chinthalavanka,11_C_65_11,KDP_C_65_11_CHENNURU,11,YSR Kadapa,32,Chintakommadinne,11153320010101,1,Kopparthi
100,11_C_65_11,KDP_C_65_11_CHENNURU,2,Tadigotla,2815,,2815,154825,,,PENNA,65_PENNA,Chinthalavanka,11_C_65_11,KDP_C_65_11_CHENNURU,11,YSR Kadapa,32,Chintakommadinne,11153320020102,2,Tadigotla
101,11_C_65_11,KDP_C_65_11_CHENNURU,3,Royalapanthulapalli,0,,0,0,,,PENNA,65_PENNA,Chinthalavanka,11_C_65_11,KDP_C_65_11_CHENNURU,11,YSR Kadapa,32,Chintakommadinne,11153320030103,3,Royalapanthulapalli
102,11_C_65_11,KDP_C_65_11_CHENNURU,4,T.Ramachandrapuram,0,,0,0,,,PENNA,65_PENNA,Chinthalavanka,11_C_65_11,KDP_C_65_11_CHENNURU,11,YSR Kadapa,32,Chintakommadinne,11153320040103,4,T.Ramachandrapuram
103,11_C_65_11,KDP_C_65_11_CHENNURU,5,Krishnapuram,0,,0,0,,,PENNA,65_PENNA,Chinthalavanka,11_C_65_11,KDP_C_65_11_CHENNURU,11,YSR Kadapa,32,Chintakommadinne,11153320050103,5,Krishnapuram
104,11_C_65_11,KDP_C_65_11_CHENNURU,6,Pabbapuram,,1044,1044,57420,,,PENNA,65_PENNA,Chinthalavanka,11_C_65_11,KDP_C_65_11_CHENNURU,11,YSR Kadapa,32,Chintakommadinne,11153320060114,6,Pabbapuram
105,11_C_65_11,KDP_C_65_11_CHENNURU,7,Papasahebpet,513,0,513,28215,,,PENNA,65_PENNA,Chinthalavanka,11_C_65_11,KDP_C_65_11_CHENNURU,11,YSR Kadapa,32,Chintakommadinne,11153320070104,7,Papasahebpet
106,11_C_65_11,KDP_C_65_11_CHENNURU,8,Cherlopalli,0,,0,0,,,PENNA,65_PENNA,Chinthalavanka,11_C_65_11,KDP_C_65_11_CHENNURU,11,YSR Kadapa,32,Chintakommadinne,11153320080104,8,Cherlopalli
107,11_C_65_11,KDP_C_65_11_CHENNURU,9,Balupalli,443,,443,24365,,,PENNA,65_PENNA,Chinthalavanka,11_C_65_11,KDP_C_65_11_CHENNURU,11,YSR Kadapa,32,Chintakommadinne,11153320090104,9,Balupalli
108,11_C_65_11,KDP_C_65_11_CHENNURU,10,K.Ramachandrapuram,,37,37,2035,,,PENNA,65_PENNA,Chinthalavanka,11_C_65_11,KDP_C_65_11_CHENNURU,11,YSR Kadapa,32,Chintakommadinne,11153320100101,10,K.Ramachandrapuram
