S.No,Watershed code,Watershed Name, Village Name,Artificial recharge structure [comand area],,,,,,,,,,Artificial recharge structure [Non-comand area],,,,,,,,,,Artificial recharge structure [Poor-comand area],,,,,,,,,
,,,,Number PTs,"Storage 
ha-m",Number mini PTs,"Storage 
ha-m",Number CDs,"Storage 
ha-m",Number dop/ farm ponds,"Storage 
ha-m",other structures,Storage [ha.m],Number PTs,"Storage 
ha-m",Number mini PTs,"Storage 
ha-m",Number CDs,"Storage 
ha-m",Number dop/ farm ponds,"Storage 
ha-m",other structures,Storage [ha.m],Number PTs,"Storage 
ha-m",Number mini PTs,"Storage 
ha-m",Number CDs,"Storage 
ha-m",Number dop/ form ponds,"Storage 
ha-m",other structures,Storage [ha.m]
148,11_C_65_16,KDP_C_67_16_KONDAPURAM,Venkaiahkalva,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149,11_C_65_16,KDP_C_67_16_KONDAPURAM,Pydipalem,1,0.5,,,4,1.2,,,,,,,,,,,,,,,,,,,,,,,,
150,11_C_65_16,KDP_C_67_16_KONDAPURAM,Chavvaripalli,1,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151,11_C_65_16,KDP_C_67_16_KONDAPURAM,Devathapuram,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
152,11_C_65_16,KDP_C_67_16_KONDAPURAM,RF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
153,11_C_65_17,KDP_C_67_17_ETURU,Yeturu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
154,11_C_65_17,KDP_C_67_17_ETURU,Beduduru,,,,,5,1.5,5,0.15,,,,,,,,,,,,,,,,,,,,,,
155,11_C_65_17,KDP_C_67_17_ETURU,Yanamalachintala,,,,,1,0.3,,,,,,,,,,,,,,,,,,,,,,,,
156,11_C_65_17,KDP_C_67_17_ETURU,Sivapuram,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
157,11_C_65_18,KDP_C_67_18_PARNAPALLI,Komanutala,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
158,11_C_65_18,KDP_C_67_18_PARNAPALLI,Velidandla,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
159,11_C_65_18,KDP_C_67_18_PARNAPALLI,Parnapalli,1,1.5,1,0.3,3,0.9,,,,,,,,,,,,,,,,,,,,,,,,
160,11_C_65_19,KDP_C_68_19_T.M.PATNAM,Chinnaventurla,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
161,11_C_65_19,KDP_C_68_19_T.M.PATNAM,B. Venkatapuram,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
162,11_C_65_19,KDP_C_68_19_T.M.PATNAM,Bestavemula,,,,,,,,,,,,,1,0.3,12,3.6,,,,,,,,,,,,,,
163,11_C_65_19,KDP_C_68_19_T.M.PATNAM,Kallutla,,,,,,,,,,,,,,,8,2.4,2,0.06,,,,,,,,,,,,
164,11_C_65_19,KDP_C_68_19_T.M.PATNAM,A.Kambaladinne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
165,11_C_65_19,KDP_C_68_19_T.M.PATNAM,Nawabpet,,,,,,,,,,,,,,,7,2.1,,,,,,,,,,,,,,
166,11_C_65_19,KDP_C_68_19_T.M.PATNAM,Chinnakomerla,,,,,8,2.4,15,0.45,,,,,,,,,,,,,,,,,,,,,,
167,11_C_65_19,KDP_C_68_19_T.M.PATNAM,Dugganapalli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
