,,,,Command Area,,Non command Area,,Poor quality area,,,,,
,,,,Residential,,Residential,,Residential,,,,,
Sr.no,Watershed code,GW watershed name,village name,DWDW/HP,DW PWS,DWDW/HP,DW PWS,DWDW/HP,DW PWS,Total,,,
177,11_C_65_19,KDP_C_68_19_T.M.PATNAM,Kona Anantapuram,,,2,1,,,3,,,
178,11_C_65_19,KDP_C_68_19_T.M.PATNAM,Ramachandrayapalli,,,10,2,,,12,,,
179,11_C_65_19,KDP_C_68_19_T.M.PATNAM,Ponnampalli,,,10,2,,,12,,,
180,11_C_65_19,KDP_C_68_19_T.M.PATNAM,Thorrivemula,15,1,,,,,16,,,
181,11_C_65_19,KDP_C_68_19_T.M.PATNAM,Veparala,19,3,,,,,22,,,
182,11_C_65_19,KDP_C_68_19_T.M.PATNAM,M.Kambaladinne,,,14,5,,,19,,,
183,11_C_65_19,KDP_C_68_19_T.M.PATNAM,DommaraNandyala,8,2,,,,,10,,,
184,11_C_65_19,KDP_C_68_19_T.M.PATNAM,Garisalur,3,1,,,,,4,,,
185,11_C_65_19,KDP_C_68_19_T.M.PATNAM,Chinnamudium,1,1,,,,,2,,,
186,11_C_65_19,KDP_C_68_19_T.M.PATNAM,Bodithippanapadu,8,1,,,,,9,,,
187,11_C_65_19,KDP_C_68_19_T.M.PATNAM,Bhutamapuram,,,4,1,,,5,,,
188,11_C_65_19,KDP_C_68_19_T.M.PATNAM,Bheemagundam,,,7,1,,,8,,,
189,11_C_65_19,KDP_C_68_19_T.M.PATNAM,Gundlakunta,5,1,,,,,6,,,
190,11_C_65_19,KDP_C_68_19_T.M.PATNAM,Medidinne,7,1,,,,,8,,,
191,11_C_65_19,KDP_C_68_19_T.M.PATNAM,Chadipiralladinne,2,1,,,,,3,,,
192,11_C_65_19,KDP_C_68_19_T.M.PATNAM,Chinnapasupula,7,2,,,,,9,,,
193,11_C_65_19,KDP_C_68_19_T.M.PATNAM,Salevariuppaluru,8,1,,,,,9,,,
194,11_C_65_20,KDP_C_68_20_DIGUVAKALVATALA,Kondasunkesula,,,2,2,,,4,,,
195,11_C_65_20,KDP_C_68_20_DIGUVAKALVATALA,Diguvakalvatala,,,2,1,,,3,,,
196,11_C_65_20,KDP_C_68_20_DIGUVAKALVATALA,Papayapalli,,,5,1,,,6,,,
197,11_C_65_20,KDP_C_68_20_DIGUVAKALVATALA,Nagireddypalli,,,0,0,,,0,,,
198,11_C_65_20,KDP_C_68_20_DIGUVAKALVATALA,Nagarajupalli,,,2,1,,,3,,,
199,11_C_65_20,KDP_C_68_20_DIGUVAKALVATALA,Paluru,2,1,,,,,3,,,
200,11_C_65_20,KDP_C_68_20_DIGUVAKALVATALA,Gopalapuram,0,0,,,,,0,,,
201,11_C_65_20,KDP_C_68_20_DIGUVAKALVATALA,B.Venkatapuram,0,0,,,,,0,,,
202,11_C_65_21,KDP_C_68_21_PEDDAMUDIUM,Peddamudium,13,1,,,,,14,,,
203,11_C_65_21,KDP_C_68_21_PEDDAMUDIUM,Suddapalli,19,1,,,,,20,,,
204,11_C_65_21,KDP_C_68_21_PEDDAMUDIUM,Jangalapalli,13,1,,,,,14,,,
205,11_C_65_21,KDP_C_68_21_PEDDAMUDIUM,J.Kothapalli,5,1,,,,,6,,,
206,11_C_65_21,KDP_C_68_21_PEDDAMUDIUM,Uppaluru,3,1,,,,,4,,,
207,11_C_65_21,KDP_C_68_21_PEDDAMUDIUM,Balapanagudur,3,1,,,,,4,,,
208,11_C_65_21,KDP_C_68_21_PEDDAMUDIUM,Gopayapalli,7,1,,,,,8,,,
209,11_C_65_22,KDP_C_68_22_RAJUPALEM,Nemalladinne,5,1,,,,,6,,,
210,11_C_65_22,KDP_C_68_22_RAJUPALEM,N.Kottalapalli,9,0,,,,,9,,,
211,11_C_65_22,KDP_C_68_22_RAJUPALEM,Peddapasupala,7,1,,,,,8,,,
212,11_C_65_22,KDP_C_68_22_RAJUPALEM,Ulavapalli,5,1,,,,,6,,,
213,11_C_65_22,KDP_C_68_22_RAJUPALEM,Vellala,7,0,,,,,7,,,
214,11_C_65_22,KDP_C_68_22_RAJUPALEM,Paidala,5,0,,,,,5,,,
215,11_C_65_22,KDP_C_68_22_RAJUPALEM,Daddanala,5,0,,,,,5,,,
216,11_C_65_22,KDP_C_68_22_RAJUPALEM,Kulluru,8,1,,,,,9,,,
217,11_C_65_22,KDP_C_68_22_RAJUPALEM,Gadeguduru,5,0,,,,,5,,,
