IWM_Village_Name,Location_ID
Ayyavaripalle,12511
Ayyavaripalle-1,12521
Ayyavaripalle-2,12534
Ayyavaripalle-3,12750
Ayyavaripalle-4,12853
Ayyavaripalle-5,13995
Ayyavaripalle-6,16150
Ayyavaripeta,18621
Ayyavaripolavaram,19800
B. Kothuru,19748
B. Savaram,21363
B. Velamalakota,19251
B.C.Khandriga,17137
B.D.Pakalu,23845
B.Kondepadu,20619
B.Kothakota,16105
B.Pappuru-1,13643
B.R. Tallavalasa,28270
B.Ramannapalem,19419
B.Sivaramapatnam,19402
B.Thandrapadu,11100
B.Venkatapuram,12895
Babbidi,24562
Babbilova,23853
Babusala,22283
Bachaluru,23184
Bachchupalle,14142
Bachepalle,12617
Bada Puram,10886
Badabanda,25855
Badadam,19256
Badadanampalle,18760
Badagam,25435
Badam,26730
Badam-1,26982
BADAMA,22466
Badambeeru,22280
BADAMEEDAKAMMAPALLE,16420
Badampudi,20390
Badanapadu,23847
Badangi-1,26537
Badarala,20251
BADASALLU,23746
Baddepudi,12556
Baddevolu,14041
Baddevolu-1,14816
Baddidi,24716
Baddigummi,23103
Baddimetta,23862
Badekhanpeta,11261
Bademela,22376
Badevalasa,25864
Badevalasa-1,27089
Badikayalapalle,16232
Badimela,22902
Badinehal,11144
Badineni Palle,12245
Badiyapadu,22061
Baduguleru,11695
Baduguvanilanka,20369
Badveedu,10867
Badvel-1,13432
Bagada,25109
Bagarugudi,23377
Baggamdhoravalasa,25592
Baginayakana Halli,13547
Baguvalasa,26188
Baguvalasa-1,27165
Bahadapalle,25026
Bahadur Venkatapuram,15810
Bahirajapalle,14766
Bahubalendrunigudem,21090
Bahussainpalem,21657
Bai Penta,18409
Baidalapuram,25198
Baippagari Palle,17159
Baipparedlapalle,17259
Bairaganipalle (Rural),17392
Bairaguda,29107
Baireddipalle,17185
Bairisarangapuram,24817
Bairodivalasa,22792
Bairuguda,27577
Bairupalle,17238
Baitakodiambedu,16719
Baitapalle,16720
Baithinilanka,22692
Bakara Narasinga Rayani Peta,17077
Bakarapuram,14331
Bakkannapalem,28659
Bakkapatugunta,16362
Bakkupeta,25762
Bakubeda,22131
Bakuru,22815
Bakurupalem,28506
Bala Puram,11148
Balabadram,23669
BALABADRAPADU,24235
Balabhadra Rajapuram,27053
Balabhadrapuram,19642
Balabhadrapuram-1,20101
Balada,22188
Balada-1,24996
Baladur,11440
Balaga (Rural),27303
Balagudaba,25284
Balajipeta-1,23627
Balajipuram,24786
Balajulla,22101
Balakavi Valasa,26624
Balakrishna -Rajapuram,28144
Balakrishnapuram,17110
Balakrishnapuram-1,24381
Balamalu,23356
BALAMUNUSANKA,23490
Balantharam,20579
Balaobanapalle,17328
Balapam,23023
Balapana Gudur,12888
Balapanur-1,11719
Balapanur-2,13902
Balaram,24209
Balarampuram,19266
Balarevulu,24155
Balasamudram,15299
Balasamudram-1,15591
Balaseema,26804
Balavenkata Puram,12240
Balayapalle-1,12648
Balayapalle-2,12883
Balayapalle-3,15066
Balemarru,17856
Balesu,24616
Baliaguda  @  Cheedivalasa,27540
Baligam,24863
Balighattam,28496
Balighattam-1,29009
Balijapadu,19290
Balijapalem,12533
Balijepalle,18015
Balijepalle-1,21789
Balijipeta,23430
Balimela,24041
Balivada,27498
Balive,20459
BALIYAGUDA,22095
Baliyaguda-1,27190
Baliyaguda-2,27470
Baliyaguda-3,28202
Baliyaputtuga,24588
Balla,17356
Ballagaruvu,28243
Ballakkivaripalle,13308
Ballakrishnapuram,25635
Ballamamidi,27512
Ballanki,28409
Ballanki Tuni K.P.Rajapuram,28406
Ballapurai,22526
Ballavaram,12042
Ballavolu,14909
Ballekallu,11475
Balleru,24929
Balli Palle,12244
Ballikurava,18453
Ballipadu,19921
Ballipadu-1,20708
Ballipadu-2,21207
Balliparru,21020
Balliparru-1,21609
Balliparru-2,21676
Balliputtuga,24582
Balluguda,22349
Ballur,11874
Balupalle,14260
Balupalle-1,15910
Baluroda,22551
Balusukura pakalu,24195
Balusulapalem,18488
Balusupadu,17554
Balusupadu-1,17872
Bammidi,25166
Bamsuguda,27747
Banadi,28400
Banaganapalle-1,12089
Banam,27264
Banavanur,11443
Banavasi-1,11159
Banda,23907
Banda konda,28197
Banda valasa,28394
Bandabayalu,23381
Bandaganipalle,13189
Bandakindapalle,16193
Bandakonda,19039
Bandalu,23203
Bandaluppi,25492
Bandamamidi,22772
Bandamamillu,18659
Bandamcherla,19961
Bandameedapalle,14029
Bandameedi Agraharam,11383
Bandanapudi,20421
Bandapai,25391
Bandapalle,17086
Bandapalle-1,17213
Bandapalle-2,19159
Bandapalle-3,25478
Bandapanuvalasa,22285
Bandapolam,23051
Bandapuram,19959
Bandarlagudem,19638
Bandarlapalle,15735
Bandarlapalle-1,17170
Bandarlapalle-2,17263
Bandarugudem,20981
Bandarugunta,15257
BANDARULANKA,21026
Bandarupalle-1,13846
Bandarupalle-2,18037
Bandaruvaripalle,16352
Bandasettipalle (Rural),17390
Bandaveedhi,23235
Bandellapaya,11043
Bandepalle,14634
Bandepalle-1,14780
Bandi Atmakur-1,11536
Bandigedda,24336
Bandipalem,17607
Bandirevu,24118
Bandivalasa,24123
Bandivarigudem,19654
Bandiveligandla,11167
Bandlamudi,11477
Bandlapai,16464
Bandlapalle,13753
Bandlapalle-1,14695
Bandlapalle-2,14820
Bandlapalle-3,14886
Bandlapalle-4,16744
Bandrevu,15391
Bandur,12890
Bangaram garuvu,28161
Bangarammapalem,28646
Bangarammapeta,15800
Bangarammapeta-1,24217
Bangarammapeta-2,26402
Bangarammapeta-3,27217
Bangarampeta,27763
Bangarayyapadu,23988
Bangarrajupeta,28396
Bangaru mamidi,22604
Bangaru metta,22399
Bangaru metta-1,22407
Bangaru metta-2,22681
Bangaru puttu,22388
Bangarubudi,22891
Bangarudoddi,23389
Bangarugummi,23728
Bangarumamidi,23402
Bangarumetta,22328
Bangarumetta-1,23098
Bangarupalem-1,24005
Bangarupeta,15397
Bangaruvalasa,25621
Bangaruvalasa-1,25778
Bangaruyachasamudram,15316
Bangurupalle,22178
Banjarukesupuram,24954
Banjaruyuvaraja Puram,24858
Banjeerupeta,25936
Banjoda,27909
Banjukuppa,24876
Bankuruvalasa,26450
Bannur,10852
Bannur-1,11173
Bantakunta,10979
Bantanahal,12360
Banthimadugu Gollapalle,17350
Bantrothuputtu,22719
Bantukotturu,25216
Bantumakkuva,25811
Bantumilli-1,21074
Bantumilli-2,21569
Bantupalle,27759
Bantupalle-1,28255
Banumukkala,12141
Bapabhupalapatnam,19316
Bapaladoddi,11004
BAPANAPUT,22177
Bapannadhara,19301
Bapatla (M),28930
Bapatla East (Rural),28888
Bapatla West (Rural),10828
Bapiraju kothapalle,18714
Bapirajugudem,20357
Bapulapadu,20886
Bapuram,11035
Bapuram-1,12055
Barada,22077
Barangi banda,22777
Barapalle,22689
Baratam,26208
Baridiputtu,22767
Barisingi,22877
Barisingi-1,23526
Barlada,22205
Barlapudi,21710
Barli,25917
Barluputtu,22699
Barna,25636
Barnaguda,25702
Barrimamidi,19008
Barrinkalapadu,19631
Barripadu,21619
Barsingimetta,23519
Barthangi,24816
Baruva,24753
Baruvapeta,24702
Basaladoddi,10930
Basangi,25006
Basangi Kothuru,23722
Basapuram,11495
