Sr.No,watershed code,gw watershed name,Village code,village name,Population [command area],Population [non command area],total Population,LPCD
247,13_C_68_45(a),KU_C_KD_Sanjamala(a),7,Sivavaram,1497,0,1497,82335
248,13_C_68_45(a),KU_C_KD_Sanjamala(a),1,Vasantapuram,613,0,613,33715
249,13_C_68_45(a),KU_C_KD_Sanjamala(a),2,Hotramanudinne,276,0,276,15180
250,13_C_68_45(a),KU_C_KD_Sanjamala(a),3,Kamalapuri,991,0,991,54505
251,13_C_68_45(a),KU_C_KD_Sanjamala(a),4,Natlakothur,346,0,346,19030
252,13_C_68_45(a),KU_C_KD_Sanjamala(a),5,Mudigodu,897,0,897,49335
253,13_C_68_45(a),KU_C_KD_Sanjamala(a),6,Bondaladinne,547,0,547,30085
254,13_C_68_45(a),KU_C_KD_Sanjamala(a),7,Akumalla,3174,0,3174,174570
255,13_C_68_45(a),KU_C_KD_Sanjamala(a),8,Mukkamalla,2093,0,2093,115115
256,13_C_68_45(a),KU_C_KD_Sanjamala(a),9,Eggoni,652,0,652,35860
257,13_C_68_45(a),KU_C_KD_Sanjamala(a),10,Sanjamala,4132,0,4132,227260
258,13_c_68_45(b),KU_C_KD_Sanjamala(b),1,Petnikota,,6581,6581,361955
259,13_c_68_45(b),KU_C_KD_Sanjamala(b),9,Itikyala,,4238,4238,233090
260,13_c_68_45(b),KU_C_KD_Sanjamala(b),8,Kolimigundla,,4844,4844,266420
261,13_c_68_45(b),KU_C_KD_Sanjamala(b),7,Kalavatala,,1117,1117,61435
262,13_c_68_45(b),KU_C_KD_Sanjamala(b),3,Meerjapuram,,849,849,46695
263,13_c_68_45(b),KU_C_KD_Sanjamala(b),2,Belum,,3614,3614,198770
264,13_c_68_45(b),KU_C_KD_Sanjamala(b),6,Nandipadu,,1633,1633,89815
265,13_c_68_45(b),KU_C_KD_Sanjamala(b),4,B.Singavaram,,1295,1295,71225
266,13_c_68_45(b),KU_C_KD_Sanjamala(b),5,Kotapadu,,1558,1558,85690
267,13_c_68_45(b),KU_C_KD_Sanjamala(b),18,Chanugondla,1952,,1952,107360
268,13_c_68_45(b),KU_C_KD_Sanjamala(b),19,Sunkesula,1969,,1969,108295
269,13_c_68_45(b),KU_C_KD_Sanjamala(b),12,Alavakonda,3888,,3888,213840
270,13_c_68_45(b),KU_C_KD_Sanjamala(b),11,Muchalapuri,351,,351,19305
271,13_c_68_45(b),KU_C_KD_Sanjamala(b),18,Kanala,3371,,3371,185405
272,13_c_68_45(b),KU_C_KD_Sanjamala(b),17,Mangapalle,581,,581,31955
