,,7,Command area,,,,,,,,,,,,Non-Command area,,,,,,,,,,,,Poor quality,,,,,,,,,,,
Sr.No,Watershed name,,Agriculture,,,,Domestic,,,,Industrial,,,,Agriculture,,,,Domestic,,,,Industrial,,,,Agriculture,,,,,,,,Industrial,,,
,,Type of well,yield,No.of ,Days of operation of wells          ,,yield,No.of ,Days of operation of wells          ,,yield,No.of ,Days of operation of wells          ,,yield,No.of ,Days of operation of wells          ,,yield,No.of ,Days of operation of wells          ,,yield,No.of ,Days of operation of wells          ,,yield,No.of ,Days of operation of wells          ,,,,,,yield,No.of ,Days of operation of wells          ,
,,,lph,wells,Monsoon,Non - Monsoon,lph,wells,Monsoon,Non - Monsoon,lph,wells,Monsoon,Non - Monsoon,lph,wells,Monsoon,Non - Monsoon,lph,wells,Monsoon,Non - Monsoon,lph,wells,Monsoon,Non - Monsoon,lph,wells,Monsoon,Non - Monsoon,,,,,lph,wells,Monsoon,Non - Monsoon
72,WG_I_Pedapadu,DW+PS/DCB,7714.2857142857,,30,90,4285.7142857143,,120,240,7142.8571428572,,120,240,3571.4285714286,,90,90,714.2857142857,,180,185,714.2857142857,,120,120,7142.8571428572,,40,90,,,,,7142.8571428572,,120,240
73,WG_I_Pedapadu,BWs,12571.4285714286,,30,90,5142.8571428572,,120,240,7142.8571428572,,120,240,5000,,40,90,1428.5714285714,,180,185,1428.5714285714,,120,120,14285.7142857143,,40,90,,,,,7142.8571428572,,120,240
74,WG_I_Pedapadu,STW,15428.5714285714,,30,90,5142.8571428572,,120,240,7142.8571428572,,120,240,10000,,40,90,3571.4285714286,,180,185,3571.4285714286,,120,120,22000,,40,90,,,,,7142.8571428572,,120,240
75,WG_I_Pedapadu,MTW,21428.5714285714,,30,90,10285.7142857143,,120,240,7142.8571428572,,120,240,15000,,40,90,3571.4285714286,,180,185,3571.4285714286,,120,120,45000,,40,90,,,,,7142.8571428572,,120,240
76,WG_I_Pedapadu,Deep TW,28571.4285714286,,30,90,10285.7142857143,,120,240,14285.7142857143,,120,240,20000,,40,90,7142.8571428572,,180,185,7142.8571428572,,120,120,64285.7142857143,,40,90,,,,,14285.7142857143,,120,240
77,WG_I_Pedapadu,Filter Points,14285.7142857143,,30,90,5142.8571428572,,120,240,7142.8571428572,,120,240,6000,,40,90,1428.5714285714,,180,185,1428.5714285714,,120,120,7142.8571428572,,40,90,,,,,7142.8571428572,,120,240
78,WG_I_ODJS_TANUKU,DW,3857.1428571429,,40,90,857.1428571429,,120,240,3571.4285714286,,120,240,3857.1428571429,,40,90,857.1428571429,,120,240,3571.4285714286,,120,240,3857.1428571429,,40,90,,,,,3571.4285714286,,120,240
79,WG_I_ODJS_TANUKU,DW+PS/DCB,7142.8571428572,,40,90,4285.7142857143,,120,240,7142.8571428572,,120,240,5714.2857142857,,40,90,4285.7142857143,,120,240,7142.8571428572,,120,240,7142.8571428572,,40,90,,,,,7142.8571428572,,120,240
80,WG_I_ODJS_TANUKU,BWs,14285.7142857143,,40,90,5142.8571428572,,120,240,7142.8571428572,,120,240,9285.7142857143,,40,90,5142.8571428572,,120,240,7142.8571428572,,120,240,14285.7142857143,,40,90,,,,,7142.8571428572,,120,240
81,WG_I_ODJS_TANUKU,STW,22000,,40,90,5142.8571428572,,120,240,7142.8571428572,,120,240,22000,,40,90,5142.8571428572,,120,240,7142.8571428572,,120,240,22000,,40,90,,,,,7142.8571428572,,120,240
82,WG_I_ODJS_TANUKU,MTW,45000,,40,90,10285.7142857143,,120,240,7142.8571428572,,120,240,45000,,40,90,10285.7142857143,,120,240,7142.8571428572,,120,240,45000,,40,90,,,,,7142.8571428572,,120,240
83,WG_I_ODJS_TANUKU,Deep TW,64285.7142857143,,40,90,10285.7142857143,,120,240,14285.7142857143,,120,240,64285.7142857143,,40,90,10285.7142857143,,120,240,14285.7142857143,,120,240,64285.7142857143,,40,90,,,,,14285.7142857143,,120,240
84,WG_I_ODJS_TANUKU,Filter Points,7142.8571428572,,40,90,5142.8571428572,,120,240,7142.8571428572,,120,240,7857.1428571429,,40,90,5142.8571428572,,120,240,7142.8571428572,,120,240,7142.8571428572,,40,90,,,,,7142.8571428572,,120,240
85,WG_I_ODJS_UNDRAJAVARAM,DW,3857.1428571429,,40,90,857.1428571429,,120,240,3571.4285714286,,120,240,3857.1428571429,,40,90,857.1428571429,,120,240,3571.4285714286,,120,240,3857.1428571429,,40,90,,,,,3571.4285714286,,120,240
86,WG_I_ODJS_UNDRAJAVARAM,DW+PS/DCB,7142.8571428572,,40,90,4285.7142857143,,120,240,7142.8571428572,,120,240,5714.2857142857,,40,90,4285.7142857143,,120,240,7142.8571428572,,120,240,7142.8571428572,,40,90,,,,,7142.8571428572,,120,240
87,WG_I_ODJS_UNDRAJAVARAM,BWs,14285.7142857143,,40,90,5142.8571428572,,120,240,7142.8571428572,,120,240,9285.7142857143,,40,90,5142.8571428572,,120,240,7142.8571428572,,120,240,14285.7142857143,,40,90,,,,,7142.8571428572,,120,240
88,WG_I_ODJS_UNDRAJAVARAM,STW,22000,,40,90,5142.8571428572,,120,240,7142.8571428572,,120,240,22000,,40,90,5142.8571428572,,120,240,7142.8571428572,,120,240,22000,,40,90,,,,,7142.8571428572,,120,240
89,WG_I_ODJS_UNDRAJAVARAM,MTW,45000,,40,90,10285.7142857143,,120,240,7142.8571428572,,120,240,45000,,40,90,10285.7142857143,,120,240,7142.8571428572,,120,240,45000,,40,90,,,,,7142.8571428572,,120,240
90,WG_I_ODJS_UNDRAJAVARAM,Deep TW,64285.7142857143,,40,90,10285.7142857143,,120,240,14285.7142857143,,120,240,64285.7142857143,,40,90,10285.7142857143,,120,240,14285.7142857143,,120,240,64285.7142857143,,40,90,,,,,14285.7142857143,,120,240
91,WG_I_ODJS_UNDRAJAVARAM,Filter Points,7142.8571428572,,40,120,5142.8571428572,,120,240,7142.8571428572,,120,240,7857.1428571429,,40,90,5142.8571428572,,120,240,7142.8571428572,,120,240,7142.8571428572,,40,90,,,,,7142.8571428572,,120,240
92,WG_I_ODJS_Peravali,DW,3857.1428571429,,40,90,857.1428571429,,120,240,3571.4285714286,,120,240,3857.1428571429,,40,90,857.1428571429,,120,240,3571.4285714286,,120,240,3857.1428571429,,40,90,,,,,3571.4285714286,,120,240
