,,7,"Command area",,0.3,,,,,,,,,,"Non-Command area",,,,,,,,,,,,"Poor quality",,,,,,,,,,,
"Sr.No","Watershed name",,"Agriculture",,,,"Domestic",,,,"Industrial",,,,"Agriculture",,,,"Domestic",,,,"Industrial",,,,"Agriculture",,,,,,,,"Industrial",,,
,,"Type of well","yield","No.of ","Days of operation of wells          ",,"yield","No.of ","Days of operation of wells          ",,"yield","No.of ","Days of operation of wells          ",,"yield","No.of ","Days of operation of wells          ",,"yield","No.of ","Days of operation of wells          ",,"yield","No.of ","Days of operation of wells          ",,"yield","No.of ","Days of operation of wells          ",,,,,,"yield","No.of ","Days of operation of wells          ",
,,,"lph","wells","Monsoon","Non - Monsoon","lph","wells","Monsoon","Non - Monsoon","lph","wells","Monsoon","Non - Monsoon","lph","wells","Monsoon","Non - Monsoon","lph","wells","Monsoon","Non - Monsoon","lph","wells","Monsoon","Non - Monsoon","lph","wells","Monsoon","Non - Monsoon",,,,,"lph","wells","Monsoon","Non - Monsoon"
99,"Ctr_Papa_Kush_Pedda","DW",,,,,,,,,,,,,1215,,50,100,180,,120,240,1125,,120,240,,,,,,,,,1125,,,
100,"Ctr_Papa_Kush_Pedda","DW+PS/DCB",,,,,,,,,,,,,1125,,50,100,1350,,120,240,2250,,120,240,,,,,,,,,2250,,,
101,"Ctr_Papa_Kush_Pedda","BWs",,,,,,,,,,,,,2250,,50,100,2700,,120,240,2250,,120,240,,,,,,,,,2250,,,
102,"Ctr_Papa_Kush_Pedda","STW",,,,,,,,,,,,,6930,,50,100,1620,,120,240,2250,,120,240,,,,,,,,,2250,,,
103,"Ctr_Papa_Kush_Pedda","MTW",,,,,,,,,,,,,14175,,50,100,3240,,120,240,2250,,120,240,,,,,,,,,2250,,,
104,"Ctr_Papa_Kush_Pedda","Deep TW",,,,,,,,,,,,,20250,,50,100,3240,,120,240,4500,,120,240,,,,,,,,,4500,,,
105,"Ctr_Papa_Kush_Pedda","Filter Points",,,,,,,,,,,,,2250,,50,100,1620,,120,240,2250,,120,240,,,,,,,,,2250,,,
106,"Ctr-Ch-Pasala-Pasalavandlapalle","DW",,,,,,,,,,,,,1215,,40,90,180,,120,240,1125,,120,240,,,,,,,,,1125,,,
107,"Ctr-Ch-Pasala-Pasalavandlapalle","DW+PS/DCB",,,,,,,,,,,,,1125,,40,88,1350,,120,240,2250,,120,240,,,,,,,,,2250,,,
108,"Ctr-Ch-Pasala-Pasalavandlapalle","BWs",,,,,,,,,,,,,2250,,40,90,2700,,120,240,2250,,120,240,,,,,,,,,2250,,,
109,"Ctr-Ch-Pasala-Pasalavandlapalle","STW",,,,,,,,,,,,,6930,,40,90,1620,,120,240,2250,,120,240,,,,,,,,,2250,,,
110,"Ctr-Ch-Pasala-Pasalavandlapalle","MTW",,,,,,,,,,,,,14175,,40,90,3240,,120,240,2250,,120,240,,,,,,,,,2250,,,
111,"Ctr-Ch-Pasala-Pasalavandlapalle","Deep TW",,,,,,,,,,,,,20250,,40,90,3240,,120,240,4500,,120,240,,,,,,,,,4500,,,
112,"Ctr-Ch-Pasala-Pasalavandlapalle","Filter Points",,,,,,,,,,,,,2250,,40,90,1620,,120,240,2250,,120,240,,,,,,,,,2250,,,
113,"Ctr-Ch-Satyavathi-Cherlopalle","DW",,,,,,,,,,,,,1215,,60,110,180,,120,240,1125,,120,240,,,,,,,,,1125,,,
114,"Ctr-Ch-Satyavathi-Cherlopalle","DW+PS/DCB",,,,,,,,,,,,,1125,,60,110,1350,,120,240,2250,,120,240,,,,,,,,,2250,,,
115,"Ctr-Ch-Satyavathi-Cherlopalle","BWs",,,,,,,,,,,,,2250,,60,110,2700,,120,240,2250,,120,240,,,,,,,,,2250,,,
116,"Ctr-Ch-Satyavathi-Cherlopalle","STW",,,,,,,,,,,,,6930,,60,110,1620,,120,240,2250,,120,240,,,,,,,,,2250,,,
117,"Ctr-Ch-Satyavathi-Cherlopalle","MTW",,,,,,,,,,,,,14175,,60,110,3240,,120,240,2250,,120,240,,,,,,,,,2250,,,
118,"Ctr-Ch-Satyavathi-Cherlopalle","Deep TW",,,,,,,,,,,,,20250,,60,110,3240,,120,240,4500,,120,240,,,,,,,,,4500,,,
119,"Ctr-Ch-Satyavathi-Cherlopalle","Filter Points",,,,,,,,,,,,,3600,,60,110,1620,,120,240,2250,,120,240,,,,,,,,,2250,,,
120,"Ctr-Ch-Doddipalle-Enugondapalem","DW",,,,,,,,,,,,,1215,,50,100,180,,120,240,1125,,120,240,,,,,,,,,1125,,,
121,"Ctr-Ch-Doddipalle-Enugondapalem","DW+PS/DCB",,,,,,,,,,,,,1350,,50,100,1350,,120,240,2250,,120,240,,,,,,,,,2250,,,
122,"Ctr-Ch-Doddipalle-Enugondapalem","BWs",,,,,,,,,,,,,2250,,50,100,2700,,120,240,2250,,120,240,,,,,,,,,2250,,,
123,"Ctr-Ch-Doddipalle-Enugondapalem","STW",,,,,,,,,,,,,6930,,50,100,1620,,120,240,2250,,120,240,,,,,,,,,2250,,,
124,"Ctr-Ch-Doddipalle-Enugondapalem","MTW",,,,,,,,,,,,,14175,,50,100,3240,,120,240,2250,,120,240,,,,,,,,,2250,,,
125,"Ctr-Ch-Doddipalle-Enugondapalem","Deep TW",,,,,,,,,,,,,20250,,50,100,3240,,120,240,4500,,120,240,,,,,,,,,4500,,,
126,"Ctr-Ch-Doddipalle-Enugondapalem","Filter Points",,,,,,,,,,,,,2250,,50,100,1620,,120,240,2250,,120,240,,,,,,,,,2250,,,
127,"Ctr-Ch-Marripadu-Tarikonda","DW",,,,,,,,,,,,,1215,,45,90,180,,120,240,1125,,120,240,,,,,,,,,1125,,,
128,"Ctr-Ch-Marripadu-Tarikonda","DW+PS/DCB",,,,,,,,,,,,,1125,,45,88,1350,,120,240,2250,,120,240,,,,,,,,,2250,,,
129,"Ctr-Ch-Marripadu-Tarikonda","BWs",,,,,,,,,,,,,2475,,45,90,2700,,120,240,2250,,120,240,,,,,,,,,2250,,,
130,"Ctr-Ch-Marripadu-Tarikonda","STW",,,,,,,,,,,,,6930,,45,90,1620,,120,240,2250,,120,240,,,,,,,,,2250,,,
131,"Ctr-Ch-Marripadu-Tarikonda","MTW",,,,,,,,,,,,,14175,,45,90,3240,,120,240,2250,,120,240,,,,,,,,,2250,,,
132,"Ctr-Ch-Marripadu-Tarikonda","Deep TW",,,,,,,,,,,,,20250,,45,90,3240,,120,240,4500,,120,240,,,,,,,,,4500,,,
133,"Ctr-Ch-Marripadu-Tarikonda","Filter Points",,,,,,,,,,,,,3150,,45,90,1620,,120,240,2250,,120,240,,,,,,,,,2250,,,
134,"Ctr-Ch-Thettuvanka-Vayalpadu","DW",,,,,,,,,,,,,1215,,45,90,180,,120,240,1125,,120,240,,,,,,,,,1125,,,
135,"Ctr-Ch-Thettuvanka-Vayalpadu","DW+PS/DCB",,,,,,,,,,,,,1125,,45,90,1350,,120,240,2250,,120,240,,,,,,,,,2250,,,
136,"Ctr-Ch-Thettuvanka-Vayalpadu","BWs",,,,,,,,,,,,,2475,,45,90,2700,,120,240,2250,,120,240,,,,,,,,,2250,,,
137,"Ctr-Ch-Thettuvanka-Vayalpadu","STW",,,,,,,,,,,,,6930,,45,90,1620,,120,240,2250,,120,240,,,,,,,,,2250,,,
