sr.no,,,village name,No. M.I.Tanks command area,,Number of M.I.Tanks [Non command area],,"Number of M.I.Tanks PQ Area
[Poor GW Quality area]",
,Watershed code ,GW watershed name,,Number,spread ha,Number,spread ha,Number,spread ha
248,10-C-69-8,Ctr-Papa-Mudivedu,Panchalamari,,,4,70,,
249,10-C-69-8,Ctr-Papa-Mudivedu,Marri makulapalli,,,10,16,,
250,10-C-69-8,Ctr-Papa-Mudivedu,Renu makulapalli,,,18,91,,
251,10-C-69-8,Ctr-Papa-Mudivedu,Kosuvaripalli,,,31,94,,
252,10-C-69-8,Ctr-Papa-Mudivedu,Gundlapalli,,,10,58,,
253,10-C-69-8,Ctr-Papa-Mudivedu,Diguvapalem,,,3,11,,
254,10-C-69-9,Ctr_Papa_Kush_Pedda,Kandriga,,,,,,
255,10-C-69-9,Ctr_Papa_Kush_Pedda,Sangasamudram,,,14,69,,
256,10-C-69-9,Ctr_Papa_Kush_Pedda,Gurramkonda,,,33,73,,
257,10-C-69-9,Ctr_Papa_Kush_Pedda,Forest,,,,,,
258,10-C-69-9,Ctr_Papa_Kush_Pedda,Forest,,,,,,
259,10-C-69-9,Ctr_Papa_Kush_Pedda,Kotakonda,,,8,77,,
260,10-C-69-9,Ctr_Papa_Kush_Pedda,Kukkarajupalli,,,12,68,,
261,10-C-69-9,Ctr_Papa_Kush_Pedda,Forest,,,,,,
262,10-C-69-9,Ctr_Papa_Kush_Pedda,Peddamandyam,,,23,109,,
263,10-C-69-9,Ctr_Papa_Kush_Pedda,Papepalli,,,18,74,,
264,10-C-69-9,Ctr_Papa_Kush_Pedda,Kalicharla,,,33,141,,
265,10-C-69-9,Ctr_Papa_Kush_Pedda,Siddavaram,,,12,34,,
266,10-C-69-9,Ctr_Papa_Kush_Pedda,Sivapuram,,,3,21,,
267,10-C-69-9,Ctr_Papa_Kush_Pedda,Veligallu,,,15,65,,
268,10-C-71-10,Ctr-Ch-Pasala-Pasalavandlapalle,Forest,,,,,,
269,10-C-71-10,Ctr-Ch-Pasala-Pasalavandlapalle,Forest,,,,,,
270,10-C-71-10,Ctr-Ch-Pasala-Pasalavandlapalle,Pasalavandlapalli,,,3,5,,
271,10-C-71-11,Ctr-Ch-Satyavathi-Cherlopalle,Ellutla,,,13,63,,
272,10-C-71-11,Ctr-Ch-Satyavathi-Cherlopalle,Cherlopalli,,,12,23,,
273,10-C-71-11,Ctr-Ch-Satyavathi-Cherlopalle,Chittiboyanapalli,,,3,11,,
274,10-C-71-11,Ctr-Ch-Satyavathi-Cherlopalle,Sarimadugu,,,11,36,,
275,10-C-71-11,Ctr-Ch-Satyavathi-Cherlopalle,Nadimkandriga,,,13,59,,
276,10-C-71-11,Ctr-Ch-Satyavathi-Cherlopalle,Forest,,,,,,
277,10-C-71-11,Ctr-Ch-Satyavathi-Cherlopalle,Forest,,,,,,
278,10-C-71-11,Ctr-Ch-Satyavathi-Cherlopalle,Kalakada Kothapalli,,,,,,
279,10-C-71-11,Ctr-Ch-Satyavathi-Cherlopalle,Devalapalli,,,8,51,,
280,10-C-71-11,Ctr-Ch-Satyavathi-Cherlopalle,Kadirayacheruvu,,,9,25,,
281,10-C-71-11,Ctr-Ch-Satyavathi-Cherlopalle,Nadimcherla,,,13,55,,
282,10-C-71-11,Ctr-Ch-Satyavathi-Cherlopalle,Madinenipalem,,,,,,
283,10-C-71-11,Ctr-Ch-Satyavathi-Cherlopalle,Kona,,,12,26,,
284,10-C-71-11,Ctr-Ch-Satyavathi-Cherlopalle,Gudibanda,,,11,30,,
285,10-C-71-12,Ctr-Ch-Doddipalle-Enugondapalem,Marrimakulapalli,,,4,15,,
286,10-C-71-12,Ctr-Ch-Doddipalle-Enugondapalem,Forest,,,,,,
287,10-C-71-12,Ctr-Ch-Doddipalle-Enugondapalem,Forest,,,,,,
288,10-C-71-12,Ctr-Ch-Doddipalle-Enugondapalem,Gangapuram,,,16,58,,
