GW Watershed Name,Iwm basin names,GW Village Name,iwm village names
Ctr-Ch-Regadakalva-Madanapalle,CTR_CH_REGADAKALVA_MADANAPALLE-MB,Bodevaripalli,Bodevaripalle
ctr-pa-Niva-Chittoor,CTR_PALAR__NIVA_CHITTOOR-MB,Bodigutlapalli,Bodaguttapalle
Ctr-pa-Duggamma eru,CTR_PALAR__DUGGAMMAERU_V.KOTA-MB,Bodiguttapalli,Bodiguttapalle
Ctr-Ch-CG Gallu Vanka-Rompicherla,CTR_CH__CG GALLU VANKA_ROMPICHERLA-MB,Bodireddigaripalli,Bodireddigaripalle
Ctr-Ch-CG Gallu Vanka-Rompicherla,CTR_CH__CG GALLU VANKA_ROMPICHERLA-MB,Bodu Malluvaripalle,Bodumalluvaripalle
Ctr-pa-kuppam vanka,CTR_PALAR__KUPPAMVANKA_KUPPAM-MB,Boggupalli,Boggupalle
Ctr-Swarna-Thondamanadu-Yerpedu,CTR_SWARNA__THONDAMANADU_YERPEDU-MB,Bokkasam palem,Bokkasam Palem
Ctr-pa-Peddapanjani,CTR_PALAR__PEDDAPANJANIVANKA_PEDDAPANJANI-MB,Bommarajupalli,Bommarajupalle
ctr-pa-Gudipala-Gudipala,CTR_PALAR__GUDIPALA_GUDIPALA-MB,Bommasamudram,Bomma Samudram
Ctr-Ch-CG Gallu Vanka-Rompicherla,CTR_CH__CG GALLU VANKA_ROMPICHERLA-MB,Bommayapalli,Bommaiahgari Palle
ctr_pa_GDNellore_GDNellore,CTR_PALAR__G.D.NELLORE_G.D.NELLORE-MB,Bommayapalli,Bommaiahgari Palle
Ctr-pa-Thotlachruvu vanka,CTR_PALAR__THOTLACHERUVUVANKA_RAMAKUPPAM-MB,Bondalagunta,Bondalagunta
Ctr-Kalangi-KVB Puram-KVB Puram,CTR_KALANGI__KVB PURAM_KVB PURAM-MB,Bonupalle,Bonupalle-1
Ctr_Papa_Gummasamudram,CTR_PAPA_GUMMASAMUDRAM-MB,Boorlapalle,Boorlapalle
Ctr-Arani-Arani-Narayana vanam,CTR_ARANI__NAGALAPURAM_NAGALAPURAM-MB,Bopparajupalem,Boppa Raju Palem
