,,,,CA,NCA,PQA,
,,,,Industrial,Industrial,Industrial,
Sr.no,Watershed code,GW watershed name,village name,Industrial Wells,Industrial Wells,Industrial Wells,Total 
217,10-C-69-9,Ctr_Papa_Kush_Pedda,Sangasamudram,,,,0
218,10-C-69-9,Ctr_Papa_Kush_Pedda,Gurramkonda,,,,0
219,10-C-69-9,Ctr_Papa_Kush_Pedda,Forest,,,,0
220,10-C-69-9,Ctr_Papa_Kush_Pedda,Forest,,,,0
221,10-C-69-9,Ctr_Papa_Kush_Pedda,Kotakonda,,,,0
222,10-C-69-9,Ctr_Papa_Kush_Pedda,Kukkarajupalli,,,,0
223,10-C-69-9,Ctr_Papa_Kush_Pedda,Forest,,,,0
224,10-C-69-9,Ctr_Papa_Kush_Pedda,Peddamandyam,,,,0
225,10-C-69-9,Ctr_Papa_Kush_Pedda,Papepalli,,,,0
226,10-C-69-9,Ctr_Papa_Kush_Pedda,Kalicharla,,,,0
227,10-C-69-9,Ctr_Papa_Kush_Pedda,Siddavaram,,,,0
228,10-C-69-9,Ctr_Papa_Kush_Pedda,Sivapuram,,,,0
229,10-C-69-9,Ctr_Papa_Kush_Pedda,Veligallu,,,,0
230,10-C-71-10,Ctr-Ch-Pasala-Pasalavandlapalle,Forest,,,,0
231,10-C-71-10,Ctr-Ch-Pasala-Pasalavandlapalle,Forest,,,,0
232,10-C-71-10,Ctr-Ch-Pasala-Pasalavandlapalle,Pasalavandlapalli,,,,0
233,10-C-71-11,Ctr-Ch-Satyavathi-Cherlopalle,Ellutla,,,,0
234,10-C-71-11,Ctr-Ch-Satyavathi-Cherlopalle,Cherlopalli,,,,0
235,10-C-71-11,Ctr-Ch-Satyavathi-Cherlopalle,Chittiboyanapalli,,,,0
236,10-C-71-11,Ctr-Ch-Satyavathi-Cherlopalle,Sarimadugu,,,,0
237,10-C-71-11,Ctr-Ch-Satyavathi-Cherlopalle,Nadimkandriga,,,,0
238,10-C-71-11,Ctr-Ch-Satyavathi-Cherlopalle,Forest,,,,0
239,10-C-71-11,Ctr-Ch-Satyavathi-Cherlopalle,Forest,,,,0
240,10-C-71-11,Ctr-Ch-Satyavathi-Cherlopalle,Kalakada Kothapalli,,,,0
