"Sr.no",,,"Village name","T.Area (ha)","Watershed command area ",,,,"Watershed Non command Area",,,,"Watershed poor quality Area",,,,,,,,,,,,,,,,,
,"Water shed code","Watershed name",,,"Recghare","Hilly","Forest","Total","Recghare","Hilly","Forest","Total","Recghare","Hilly","Forest","Total",,,,,,,,,,,,,,
92,"09_C_76_42","NLR_C_76_TADA","KARUR",631,0,,,0,631,,,631,0,,,,,,"Penna",,"Kalangi","09_C_76_42","NLR_C_76_TADA",9,"Nellore",46,"Tada ",9133460190113,19,"KARUR"
93,"09_C_76_42","NLR_C_76_TADA","BHEEMULAVARIPALEM",174,0,,,0,174,,,174,0,,,,,,"Penna",,"Kalangi","09_C_76_42","NLR_C_76_TADA",9,"Nellore",46,"Tada ",9133460200113,20,"BHEEMULAVARIPALEM"
94,"09_C_76_42","NLR_C_76_TADA","PERIAVATTU",301,0,,,0,301,,,301,0,,,,,,"Penna",,"Kalangi","09_C_76_42","NLR_C_76_TADA",9,"Nellore",46,"Tada ",9133460210115,21,"PERIAVATTU"
95,"09_C_76_42","NLR_C_76_TADA","RAMAPURAM",699,0,,,0,699,,,699,0,,,,,,"Penna",,"Kalangi","09_C_76_42","NLR_C_76_TADA",9,"Nellore",46,"Tada ",9133460220116,22,"RAMAPURAM"
96,"09_C_76_42","NLR_C_76_TADA","PANNAMGADU",393,0,,,0,393,,,393,0,,,,,,"Penna",,"Kalangi","09_C_76_42","NLR_C_76_TADA",9,"Nellore",46,"Tada ",9133460230116,23,"PANNAMGADU"
97,"09_C_76_42","NLR_C_76_TADA","Pulicat lake",10190,0,,,0,0,,,,10190,,,10190,,,"Penna",,"Kalangi","09_C_76_42","NLR_C_76_TADA",9,"Nellore",46,"Tada ",,0,"Pulicat lake"
99,"09_C_72_12","NLR_C_72_A.S.PETA","Ravulakollu",458,0,,,,458,,0,458,0.01,,,0.01,,,"Penna",,"Lower Pennar","09_C_72_12","NLR_C_72_A.S.PETA",9,"Nellore",7,"Kaligiri ",9125070050108,5,"Ravulakollu"
100,"09_C_72_12","NLR_C_72_A.S.PETA","Kaligiri ",2467,0,,0,,2467,,,2467,0,,,,,,"Penna",,"Lower Pennar","09_C_72_12","NLR_C_72_A.S.PETA",9,"Nellore",7,"Kaligiri ",9125070060109,6,"Kaligiri "
101,"09_C_72_12","NLR_C_72_A.S.PETA","Veerannakollu",1408,0,,0,,1404,4,,1408,0,,,,,,"Penna",,"Lower Pennar","09_C_72_12","NLR_C_72_A.S.PETA",9,"Nellore",7,"Kaligiri ",9125070070110,7,"Veerannakollu"
102,"09_C_72_12","NLR_C_72_A.S.PETA","Nagasamudram",2173,0,,0,,2173,,,2173,0,,,,,,"Penna",,"Lower Pennar","09_C_72_12","NLR_C_72_A.S.PETA",9,"Nellore",7,"Kaligiri ",9125070080110,8,"Nagasamudram"
103,"09_C_72_12","NLR_C_72_A.S.PETA","Venkannapalem",262,0,,0,,262,,0,262,0,,,,,,"Penna",,"Lower Pennar","09_C_72_12","NLR_C_72_A.S.PETA",9,"Nellore",7,"Kaligiri ",9125070090109,9,"Venkannapalem"
104,"09_C_72_12","NLR_C_72_A.S.PETA","Peddaannalur",1246,0,,,,1246,,260,1246,0,,,,,,"Penna",,"Lower Pennar","09_C_72_12","NLR_C_72_A.S.PETA",9,"Nellore",7,"Kaligiri ",9128070100111,10,"Peddaannalur"
105,"09_C_72_12","NLR_C_72_A.S.PETA","Velagapadu",2043,0,,,,2043,,,2043,0,,,,,,"Penna",,"Lower Pennar","09_C_72_12","NLR_C_72_A.S.PETA",9,"Nellore",7,"Kaligiri ",9128070110111,11,"Velagapadu"
106,"09_C_72_12","NLR_C_72_A.S.PETA","Kavalimustapuram",1285,0,,,,1285,,,1285,0,,,,,,"Penna",,"Lower Pennar","09_C_72_12","NLR_C_72_A.S.PETA",9,"Nellore",7,"Kaligiri ",9128070160117,16,"Kavalimustapuram"
