,,,,CA,NCA,PQA,
,,,,Industrial,Industrial,Industrial,
Sr.no,Watershed code,GW watershed name,village name,Industrial Wells,Industrial Wells,Industrial Wells,Total 
238,09_C_72_13,NLR_C_72_KOVUR,Chowkicherla,,,,0
239,09_C_72_13,NLR_C_72_KOVUR,Dampuru,,,,0
240,09_C_72_13,NLR_C_72_KOVUR,Vavilla,,,,0
241,09_C_72_13,NLR_C_72_KOVUR,Dandigunta,,,,0
242,09_C_72_13,NLR_C_72_KOVUR,Utukur,,,,0
243,09_C_72_13,NLR_C_72_KOVUR,Alaganipadu,,,,0
244,09_C_72_13,NLR_C_72_KOVUR,Vidavalur,,,,0
245,09_C_72_13,NLR_C_72_KOVUR,Mudivarti,,,,0
246,09_C_72_13,NLR_C_72_KOVUR,Allurpadu,,,,0
247,09_C_72_13,NLR_C_72_KOVUR,Ramannapalem,,,,0
248,09_C_72_13,NLR_C_72_KOVUR,North rajupalem,,,,0
249,09_C_72_13,NLR_C_72_KOVUR,Yellayapalem,,,,0
250,09_C_72_13,NLR_C_72_KOVUR,Maneguntapadu,,,,0
251,09_C_72_13,NLR_C_72_KOVUR,Munulapudi,,,,0
252,09_C_72_13,NLR_C_72_KOVUR,Vavveru,,,,0
253,09_C_72_13,NLR_C_72_KOVUR,Nagamambapuram,,,,0
254,09_C_72_13,NLR_C_72_KOVUR,Rebala,,,,0
255,09_C_72_13,NLR_C_72_KOVUR,Iskapalem,,,,0
256,09_C_72_13,NLR_C_72_KOVUR,Chellayapalem,,,,0
257,09_C_72_13,NLR_C_72_KOVUR,Kavetipalem,,,,0
258,09_C_72_13,NLR_C_72_KOVUR,Panchedu,,,,0
259,09_C_72_13,NLR_C_72_KOVUR,Minagallu,,,,0
260,09_C_72_13,NLR_C_72_KOVUR,Jonnawada,,,,0
261,09_C_72_13,NLR_C_72_KOVUR,Penuballe,,,,0
262,09_C_72_13,NLR_C_72_KOVUR,Kalayakagolu,,,,0
263,09_C_72_13,NLR_C_72_KOVUR,Srirangarajapuram,,,,0
264,09_C_72_13,NLR_C_72_KOVUR,Damaramadugu,,,,0
265,09_C_72_13,NLR_C_72_KOVUR,Korimerla kandriga,,,,0
266,09_C_72_13,NLR_C_72_KOVUR,Talupurupadu,,,,0
267,09_C_72_13,NLR_C_72_KOVUR,Chennavarappadu,,,,0
268,09_C_72_13,NLR_C_72_KOVUR,Marripadu,,,,0
269,09_C_72_13,NLR_C_72_KOVUR,Jangala khandrika,,,,0
270,09_C_72_13,NLR_C_72_KOVUR,Kaligirikonduru,,,,0
271,09_C_72_13,NLR_C_72_KOVUR,Vangallu,,,,0
272,09_C_72_13,NLR_C_72_KOVUR,Tarunavai,,,,0
273,09_C_72_13,NLR_C_72_KOVUR,Sangam,,,,0
274,09_C_72_13,NLR_C_72_KOVUR,Korimerla,,1,,1
275,09_C_72_13,NLR_C_72_KOVUR,Padamatipalem,,,,0
276,09_C_72_13,NLR_C_72_KOVUR,Duvvuru,,,,0
277,09_C_72_13,NLR_C_72_KOVUR,Makthapuram,,,,0
278,09_C_72_13,NLR_C_72_KOVUR,Annareddipalem,,,,0
279,09_C_72_13,NLR_C_72_KOVUR,Patur,,,,0
280,09_C_72_13,NLR_C_72_KOVUR,Gangavaram,,,,0
281,09_C_72_13,NLR_C_72_KOVUR,Pothireddipalem,,,,0
282,09_C_72_13,NLR_C_72_KOVUR,Padugupadu,,,,0
283,09_C_72_13,NLR_C_72_KOVUR,Kovur,,,,0
284,09_C_72_13,NLR_C_72_KOVUR,Modegunta,,,,0
285,09_C_72_13,NLR_C_72_KOVUR,Veguru,,,,0
286,09_C_72_13,NLR_C_72_KOVUR,Leguntapadu,,,,0
287,09_C_72_13,NLR_C_72_KOVUR,Inamadugu,,,,0
288,09_C_72_13,NLR_C_72_KOVUR,Cherlopalem,,,,0
289,09_C_72_13,NLR_C_72_KOVUR,Damaramadugu,,,,0
290,09_C_72_13,NLR_C_72_KOVUR,Talupurupadu,,,,0
291,09_C_72_13,NLR_C_72_KOVUR,Chennavarappadu,,,,0
292,09_C_72_13,NLR_C_72_KOVUR,Marripadu,,,,0
293,09_C_72_13,NLR_C_72_KOVUR,Jangala khandrika,,,,0
294,09_C_72_13,NLR_C_72_KOVUR,Kaligirikonduru,,,,0
295,09_C_72_13,NLR_C_72_KOVUR,Vangallu,,,,0
296,09_C_72_13,NLR_C_72_KOVUR,Tarunavai,,,,0
297,09_C_72_13,NLR_C_72_KOVUR,Sangam ,,,,0
298,09_C_72_13,NLR_C_72_KOVUR,Korimerla,,,,0
299,09_C_72_13,NLR_C_72_KOVUR,Padamatipalem,11,,,11
300,09_C_72_13,NLR_C_72_KOVUR,Duvvuru,6,,,6
301,09_C_72_13,NLR_C_72_KOVUR,Makthapuram,,,,0
302,09_C_72_13,NLR_C_72_KOVUR,Annareddipalem,,,,0
303,09_C_72_13,NLR_C_72_KOVUR,Patur,,,,0
304,09_C_72_13,NLR_C_72_KOVUR,Gangavaram,,,,0
305,09_C_72_13,NLR_C_72_KOVUR,Pothireddipalem,,,,0
306,09_C_72_13,NLR_C_72_KOVUR,Padugupadu,,,,0
307,09_C_72_13,NLR_C_72_KOVUR,Kovur,,,,0
308,09_C_72_13,NLR_C_72_KOVUR,Modegunta,,,,0
309,09_C_72_13,NLR_C_72_KOVUR,Veguru,,,,0
310,09_C_72_13,NLR_C_72_KOVUR,Leguntapadu,,,,0
311,09_C_72_13,NLR_C_72_KOVUR,Inamadugu,,,,0
312,09_C_72_13,NLR_C_72_KOVUR,Cherlopalem,,,,0
313,09_C_72_13,NLR_C_72_KOVUR,Total,,,,0
314,09_C_72_19,NLR_C_72_NELLORE,Ayyavaripalem,,,,0
315,09_C_72_19,NLR_C_72_NELLORE,Toderu,,,,0
316,09_C_72_19,NLR_C_72_NELLORE,Marupuru,,,,0
317,09_C_72_19,NLR_C_72_NELLORE,Kandamur,,,,0
318,09_C_72_19,NLR_C_72_NELLORE,Sajjapuram,,,,0
319,09_C_72_19,NLR_C_72_NELLORE,Vellanti,,,,0
320,09_C_72_19,NLR_C_72_NELLORE,Mulumudi,,,,0
321,09_C_72_19,NLR_C_72_NELLORE,Ayyavaripalem,,,,0
322,09_C_72_19,NLR_C_72_NELLORE,Toderu,,,,0
323,09_C_72_19,NLR_C_72_NELLORE,Marupuru,,,,0
324,09_C_72_19,NLR_C_72_NELLORE,Kandamur,,,,0
325,09_C_72_19,NLR_C_72_NELLORE,Sajjapuram,,,,0
326,09_C_72_19,NLR_C_72_NELLORE,Vellanti,,,,0
327,09_C_72_19,NLR_C_72_NELLORE,Mulumudi,,,,0
328,09_C_72_19,NLR_C_72_NELLORE,Devarapalem,,,,0
329,09_C_72_19,NLR_C_72_NELLORE,Pottepalem,,,,0
330,09_C_72_19,NLR_C_72_NELLORE,Nellore rural,11,,,11
331,09_C_72_19,NLR_C_72_NELLORE,Nellore urban,6,,,6
332,09_C_72_19,NLR_C_72_NELLORE,Allipuram,,,,0
333,09_C_72_19,NLR_C_72_NELLORE,Gudipallipadu,,,,0
334,09_C_72_19,NLR_C_72_NELLORE,Pedacherukuru,,,,0
335,09_C_72_19,NLR_C_72_NELLORE,Chintareddipalem,,,,0
336,09_C_72_19,NLR_C_72_NELLORE,Kondayapalem-Nellore urban,,,,0
337,09_C_72_19,NLR_C_72_NELLORE,Padarupalli-Nellore urban,,,,0
338,09_C_72_19,NLR_C_72_NELLORE,Vedayapalem-Nellore urban,,,,0
339,09_C_72_19,NLR_C_72_NELLORE,Ambapuram,,,,0
340,09_C_72_19,NLR_C_72_NELLORE,Vogurupadu,,,,0
341,09_C_72_19,NLR_C_72_NELLORE,Akkacheruvupadu,,,,0
342,09_C_72_19,NLR_C_72_NELLORE,Mannavarappadu,,,,0
343,09_C_72_19,NLR_C_72_NELLORE,Mogallapalem,,,,0
344,09_C_72_19,NLR_C_72_NELLORE,South Mopuru,,,,0
345,09_C_72_19,NLR_C_72_NELLORE,Upputuru,,,,0
346,09_C_72_19,NLR_C_72_NELLORE,Bujabujanellore,,,,0
347,09_C_72_19,NLR_C_72_NELLORE,Pallepadu,,,,0
348,09_C_72_19,NLR_C_72_NELLORE,Leburu-I,,,,0
349,09_C_72_19,NLR_C_72_NELLORE,Nidumusali,,,,0
