Sr.no,,,Village name,T.Area (ha),Watershed command area ,,,,Watershed Non command Area,,,,Watershed poor quality Area,,,,,,,,,,,,,,,,,
,Water shed code,Watershed name,,,Recghare,Hilly,Forest,Total,Recghare,Hilly,Forest,Total,Recghare,Hilly,Forest,Total,Water shed code,Watershed name,DIS code,district,mandal code,mandal,janmaboomi code,village code,,,,,,
52,10-C-76-43,Ctr-Kalangi-Katuru-Katuru,Putteri,717,717,,0,717,0,0,0,0,,,,,,,Kalangi,Katuru,,10-C-76-43,Ctr-Kalangi-Katuru-Katuru,10,Chittoor,16,B N Kandriga,10136160070107,,Putteri
53,10-C-76-43,Ctr-Kalangi-Katuru-Katuru,Peddapalavedu,660,660,,0,660,0,0,0,0,,,,,,,Kalangi,Katuru,,10-C-76-43,Ctr-Kalangi-Katuru-Katuru,10,Chittoor,16,B N Kandriga,10136160100109,,Peddapalavedu
54,10-C-76-43,Ctr-Kalangi-Katuru-Katuru,Vijayagopalapuram,238,238,,0,238,0,0,0,0,,,,,,,Kalangi,Katuru,,10-C-76-43,Ctr-Kalangi-Katuru-Katuru,10,Chittoor,16,B N Kandriga,10136160110110,,Vijayagopalapuram
55,10-C-76-43,Ctr-Kalangi-Katuru-Katuru,Kananambedu,681,618,63,0,681,0,0,0,0,,,,,,,Kalangi,Katuru,,10-C-76-43,Ctr-Kalangi-Katuru-Katuru,10,Chittoor,16,B N Kandriga,10136160150113,,Kananambedu
56,10-C-76-44,Ctr-Kalangi-KVB Puram-KVB Puram,Adavaram,7593,0,,,,6359,1234,4870,7593,,,,,,,Kalangi,KVB Puram,,10-C-76-44,Ctr-Kalangi-KVB Puram-KVB Puram,10,Chittoor,23,KVB Puram,10135230210107,,Adavaram
57,10-C-76-44,Ctr-Kalangi-KVB Puram-KVB Puram,Katrapalli,3620,0,,,,3619,1,2996,3620,,,,,,,Kalangi,KVB Puram,,10-C-76-44,Ctr-Kalangi-KVB Puram-KVB Puram,10,Chittoor,23,KVB Puram,10135230240119,,Katrapalli
58,10-C-76-44,Ctr-Kalangi-KVB Puram-KVB Puram,Thimmasamudram,2700,0,,,,2379,321,2104,2700,,,,,,,Kalangi,KVB Puram,,10-C-76-44,Ctr-Kalangi-KVB Puram-KVB Puram,10,Chittoor,23,KVB Puram,10135230030103,3,Thimmasamudram
59,10-C-76-44,Ctr-Kalangi-KVB Puram-KVB Puram,Suramala,440,0,,,,440,,190,440,,,,,,,Kalangi,KVB Puram,,10-C-76-44,Ctr-Kalangi-KVB Puram-KVB Puram,10,Chittoor,23,KVB Puram,10135230100106,10,Suramala
60,10-C-76-44,Ctr-Kalangi-KVB Puram-KVB Puram,Chellamambapuram,198,0,,,,81,117,60,198,,,,,,,Kalangi,KVB Puram,,10-C-76-44,Ctr-Kalangi-KVB Puram-KVB Puram,10,Chittoor,23,KVB Puram,10136230070106,7,Chellamambapuram
61,10-C-76-44,Ctr-Kalangi-KVB Puram-KVB Puram,Kalathuru,1147,0,,,,677,470,306,1147,,,,,,,Kalangi,KVB Puram,,10-C-76-44,Ctr-Kalangi-KVB Puram-KVB Puram,10,Chittoor,23,KVB Puram,10135230220117,22,Kalathuru
62,10-C-76-44,Ctr-Kalangi-KVB Puram-KVB Puram,KVB puram,301,0,,,,301,,65,301,,,,,,,Kalangi,KVB Puram,,10-C-76-44,Ctr-Kalangi-KVB Puram-KVB Puram,10,Chittoor,23,KVB Puram,10135230230118,23,KVB puram
63,10-C-76-44,Ctr-Kalangi-KVB Puram-KVB Puram,Perindesam,1055,0,,,,1055,0,222,1055,,,,,,,Kalangi,KVB Puram,,10-C-76-44,Ctr-Kalangi-KVB Puram-KVB Puram,10,Chittoor,23,KVB Puram,10135230140111,14,Perindesam
64,10-C-76-44,Ctr-Kalangi-KVB Puram-KVB Puram,MA Rajulakandriga,801,0,,,,801,,198,801,,,,,,,Kalangi,KVB Puram,,10-C-76-44,Ctr-Kalangi-KVB Puram-KVB Puram,10,Chittoor,23,KVB Puram,10135230200115,20,MA Rajulakandriga
65,10-C-76-44,Ctr-Kalangi-KVB Puram-KVB Puram,Subramanyapuram,281,0,,,,0,281,184,281,,,,,,,Kalangi,KVB Puram,,10-C-76-44,Ctr-Kalangi-KVB Puram-KVB Puram,10,Chittoor,23,KVB Puram,10135230350125,25,Subramanyapuram
66,10-C-76-44,Ctr-Kalangi-KVB Puram-KVB Puram,Adaram,786,0,,,,786,,213,786,,,,,,,Kalangi,KVB Puram,,10-C-76-44,Ctr-Kalangi-KVB Puram-KVB Puram,10,Chittoor,23,KVB Puram,10135230080107,8,Adaram
67,10-C-76-44,Ctr-Kalangi-KVB Puram-KVB Puram,Ragigunta,640,0,,,,512,128,141,640,,,,,,,Kalangi,KVB Puram,,10-C-76-44,Ctr-Kalangi-KVB Puram-KVB Puram,10,Chittoor,23,KVB Puram,10135230130101,13,Ragigunta
68,10-C-76-44,Ctr-Kalangi-KVB Puram-KVB Puram,Rangaiah gunta,387,0,,,,76,311,165,387,,,,,,,Kalangi,KVB Puram,,10-C-76-44,Ctr-Kalangi-KVB Puram-KVB Puram,10,Chittoor,23,KVB Puram,10135230190112,19,Rangaiah gunta
69,10-C-76-44,Ctr-Kalangi-KVB Puram-KVB Puram,Kanchera chenganna kandriga,214,0,,,,0,214,68,214,,,,,,,Kalangi,KVB Puram,,10-C-76-44,Ctr-Kalangi-KVB Puram-KVB Puram,10,Chittoor,23,KVB Puram,10135230260120,26,Kanchera chenganna kandriga
70,10-C-76-44,Ctr-Kalangi-KVB Puram-KVB Puram,Pathapalem,2763,0,,,,2762,1,1752,2763,,,,,,,Kalangi,KVB Puram,,10-C-76-44,Ctr-Kalangi-KVB Puram-KVB Puram,10,Chittoor,23,KVB Puram,10135230290120,29,Pathapalem
71,10-C-76-44,Ctr-Kalangi-KVB Puram-KVB Puram,Kovanur,1752,1745,7,906,1752,0,0,0,0,,,,,,,Kalangi,KVB Puram,,10-C-76-44,Ctr-Kalangi-KVB Puram-KVB Puram,10,Chittoor,23,KVB Puram,10135230020102,2,Kovanur
72,10-C-76-44,Ctr-Kalangi-KVB Puram-KVB Puram,Gnanamamba puram @Pavanivarikandriga,425,407,18,68,425,0,0,0,0,,,,,,,Kalangi,KVB Puram,,10-C-76-44,Ctr-Kalangi-KVB Puram-KVB Puram,10,Chittoor,23,KVB Puram,10135230010101,,Gnanamamba puram @Pavanivarikandriga
73,10-C-76-44,Ctr-Kalangi-KVB Puram-KVB Puram,Bramhanacheruvu,171,0,,,,171,,60,171,,,,,,,Kalangi,KVB Puram,,10-C-76-44,Ctr-Kalangi-KVB Puram-KVB Puram,10,Chittoor,23,KVB Puram,10135230110104,11,Bramhanacheruvu
74,10-C-76-44,Ctr-Kalangi-KVB Puram-KVB Puram,Venkatapuram,380,0,,,,380,,216,380,,,,,,,Kalangi,KVB Puram,,10-C-76-44,Ctr-Kalangi-KVB Puram-KVB Puram,10,Chittoor,23,KVB Puram,10135230060109,,Venkatapuram
75,10-C-76-44,Ctr-Kalangi-KVB Puram-KVB Puram,Angericheruvu,305,0,,,,305,,121,305,,,,,,,Kalangi,KVB Puram,,10-C-76-44,Ctr-Kalangi-KVB Puram-KVB Puram,10,Chittoor,23,KVB Puram,10135230040109,4,Angericheruvu
76,10-C-76-44,Ctr-Kalangi-KVB Puram-KVB Puram,Bramhanapalli,1382,0,,,,1335,47,984,1382,,,,,,,Kalangi,KVB Puram,,10-C-76-44,Ctr-Kalangi-KVB Puram-KVB Puram,10,Chittoor,23,KVB Puram,10135230120109,12,Bramhanapalli
77,10-C-76-44,Ctr-Kalangi-KVB Puram-KVB Puram,Bakkapotukunta,1260,0,,,,1260,0,120,1260,,,,,,,Kalangi,KVB Puram,,10-C-76-44,Ctr-Kalangi-KVB Puram-KVB Puram,10,Chittoor,23,KVB Puram,10135230160112,16,Bakkapotukunta
78,10-C-76-44,Ctr-Kalangi-KVB Puram-KVB Puram,Timmanaidugunta,213,0,,,,213,,81,213,,,,,,,Kalangi,KVB Puram,,10-C-76-44,Ctr-Kalangi-KVB Puram-KVB Puram,10,Chittoor,23,KVB Puram,10135230150112,15,Timmanaidugunta
79,10-C-76-44,Ctr-Kalangi-KVB Puram-KVB Puram,Pudi (a) Chennakesava-puram,1245,0,,,,1206,39,606,1245,,,,,,,Kalangi,KVB Puram,,10-C-76-44,Ctr-Kalangi-KVB Puram-KVB Puram,10,Chittoor,23,KVB Puram,10135230180113,18,Pudi (a) Chennakesava-puram
80,10-C-76-44,Ctr-Kalangi-KVB Puram-KVB Puram,Kandluru,505,0,,,,505,,153,505,,,,,,,Kalangi,KVB Puram,,10-C-76-44,Ctr-Kalangi-KVB Puram-KVB Puram,10,Chittoor,23,KVB Puram,10135230170108,17,Kandluru
81,10-C-76-44,Ctr-Kalangi-KVB Puram-KVB Puram,Anjuru,1381,1381,,447,1381,0,,0,0,,,,,,,Kalangi,KVB Puram,,10-C-76-44,Ctr-Kalangi-KVB Puram-KVB Puram,10,Chittoor,23,KVB Puram,10136230060105,6,Anjuru
82,10-C-76-44,Ctr-Kalangi-KVB Puram-KVB Puram,Guntipedu,571,0,,,,571,,229,571,,,,,,,Kalangi,KVB Puram,,10-C-76-44,Ctr-Kalangi-KVB Puram-KVB Puram,10,Chittoor,23,KVB Puram,10136230050104,5,Guntipedu
83,10-C-76-44,Ctr-Kalangi-KVB Puram-KVB Puram,Forest,,0,,,,0,,,,,,,,,,Kalangi,KVB Puram,,10-C-76-44,Ctr-Kalangi-KVB Puram-KVB Puram,10,Chittoor,23,KVB Puram,,,Forest
84,10-C-76-44,Ctr-Kalangi-KVB Puram-KVB Puram,Bonupalle,1414,1340,74,265,1414,0,0,,0,,,,,,,Kalangi,KVB Puram,,10-C-76-44,Ctr-Kalangi-KVB Puram-KVB Puram,10,Chittoor,15,Thottambedu,10136150410127,41,Bonupalle
85,10-C-76-44,Ctr-Kalangi-KVB Puram-KVB Puram,Sri Krishnapuram,433,433,,0,433,0,,,0,,,,,,,Kalangi,KVB Puram,,10-C-76-44,Ctr-Kalangi-KVB Puram-KVB Puram,10,Chittoor,15,Thottambedu,10136150390124,39,Sri Krishnapuram
86,10-C-76-44,Ctr-Kalangi-KVB Puram-KVB Puram,Kanchanapalli,297,297,,0,297,0,,,0,,,,,,,Kalangi,KVB Puram,,10-C-76-44,Ctr-Kalangi-KVB Puram-KVB Puram,10,Chittoor,15,Thottambedu,10136150400126,40,Kanchanapalli
87,10-C-76-44,Ctr-Kalangi-KVB Puram-KVB Puram,Chittatur,1497,1497,,0,1497,0,,,0,,,,,,,Kalangi,KVB Puram,,10-C-76-44,Ctr-Kalangi-KVB Puram-KVB Puram,10,Chittoor,15,Thottambedu,10136150280125,38,Chittatur
88,10-C-76-44,Ctr-Kalangi-KVB Puram-KVB Puram,Dongalamadugu,110,0,,,0,110,,0,110,,,,,,,Kalangi,KVB Puram,,10-C-76-44,Ctr-Kalangi-KVB Puram-KVB Puram,10,Chittoor,15,Thottambedu,10136150370124,37,Dongalamadugu
89,10-C-76-44,Ctr-Kalangi-KVB Puram-KVB Puram,Sivanadhapalem,615,597,18,,615,0,0,0,0,,,,,,,Kalangi,KVB Puram,,10-C-76-44,Ctr-Kalangi-KVB Puram-KVB Puram,10,Chittoor,15,Thottambedu,10136150360123,36,Sivanadhapalem
90,10-C-76-44,Ctr-Kalangi-KVB Puram-KVB Puram,Forest,,0,,,,0,,,,,,,,,,Kalangi,KVB Puram,,10-C-76-44,Ctr-Kalangi-KVB Puram-KVB Puram,10,Chittoor,,Nagalapuram,,,Forest
