,,,,"Command Area",,,,,,,,"Non-Command Area",,,,,,,,"Poor GW quality area",,,,,,,
,,,,"Irrigated",,,,,,,,"Irrigated",,,,,,,,"Irrigated",,,,,,,
"Sr.no","Watershed code","GW watershed name","village name","DW","DW PS","BW","STW","MTW","DTW","FP","Total","DW","DW PS","BW","STW","MTW","DTW","FP","Total","DW","DW PS","BW","STW","MTW","DTW","FP","Total"
1383,"10-C-81-68","Ctr-pa-Duggamma eru","Ogu",562,562,1241,0,0,562,,2927,,10,33,,,,4,47,,,,,,,,0
1384,"10-C-81-68","Ctr-pa-Duggamma eru","Mattiguttapalli",69,69,128,0,0,69,,335,,3,9,,,,0,12,,,,,,,,0
1385,"10-C-81-68","Ctr-pa-Duggamma eru","Yalakallu",1993,1993,3965,536,0,1993,,10480,,13,142,,,,3,158,,,,,,,,0
1386,"10-C-81-68","Ctr-pa-Duggamma eru","M.doddi",2195,2195,8866,1083,0,2195,,16534,,19,198,,,,12,229,,,,,,,,0
1387,"10-C-81-68","Ctr-pa-Duggamma eru","B.C.Palli",2260,2260,2915,851,0,2260,,10546,,18,200,,,,4,222,,,,,,,,0
1388,"10-C-81-68","Ctr-pa-Duggamma eru","C.M.Palli",443,443,2132,166,0,443,,3627,,17,34,,,,2,53,,,,,,,,0
1389,"10-C-81-68","Ctr-pa-Duggamma eru","K.G.Palli",137,137,198,0,0,137,,609,,18,6,,,,2,26,,,,,,,,0
1390,"10-C-81-68","Ctr-pa-Duggamma eru","S.b.Palli",324,324,1025,0,0,324,,1997,,14,42,,,,3,59,,,,,,,,0
1391,"10-C-81-68","Ctr-pa-Duggamma eru","Kothakota",842,842,2088,0,0,842,,4614,,23,88,,,,10,121,,,,,,,,0
1392,"10-C-81-68","Ctr-pa-Duggamma eru","Jola.v.palli",107,107,4738,0,0,107,,5059,,2,12,,,,1,15,,,,,,,,0
1393,"10-C-81-68","Ctr-pa-Duggamma eru","Pandyalamadugu",803,803,3206,1,0,803,,5616,,25,104,,,,5,134,,,,,,,,0
1394,"10-C-81-68","Ctr-pa-Duggamma eru","Gorivimakulapalli",849,849,3216,0,0,849,,5763,,16,80,,,,7,103,,,,,,,,0
1395,"10-C-81-69","Ctr-pa-Thotlachruvu vanka","Peddur",790,790,4357,0,40,750,,6727,,8,19,,,,11,38,,,,,,,,0
1396,"10-C-81-69","Ctr-pa-Thotlachruvu vanka","Ramakuppam",558,558,6291,0,55,503,,7965,,24,75,,,,9,108,,,,,,,,0
1397,"10-C-81-69","Ctr-pa-Thotlachruvu vanka","Kempasamudram",559,559,1376,0,157,402,,3053,,7,61,,,,2,70,,,,,,,,0
1398,"10-C-81-69","Ctr-pa-Thotlachruvu vanka","Thimmasamudram",91,91,823,0,21,70,,1096,,1,6,,,,1,8,,,,,,,,0
1399,"10-C-81-69","Ctr-pa-Thotlachruvu vanka","Chennareddipalli",103,103,22,0,29,74,,331,,3,24,,,,2,29,,,,,,,,0
1400,"10-C-81-69","Ctr-pa-Thotlachruvu vanka","Athikuppam",126,126,871,0,19,107,,1249,,7,30,,,,1,38,,,,,,,,0
1401,"10-C-81-69","Ctr-pa-Thotlachruvu vanka","Manendram",787,787,1824,0,112,675,,4185,,14,100,,,,3,117,,,,,,,,0
1402,"10-C-81-69","Ctr-pa-Thotlachruvu vanka","Muddanapalli",506,506,2461,0,67,439,,3979,,17,50,,,,4,71,,,,,,,,0
1403,"10-C-81-69","Ctr-pa-Thotlachruvu vanka","Bandarlapalli",2568,2568,6034,0,911,1657,,13738,,27,160,,,,28,215,,,,,,,,0
1404,"10-C-81-69","Ctr-pa-Thotlachruvu vanka","Giddapalle",60,60,361,0,14,46,,541,,2,7,,,,2,11,,,,,,,,0
1405,"10-C-81-69","Ctr-pa-Thotlachruvu vanka","Pamuboyanapalli",80,80,167,0,39,41,,407,,2,10,,,,0,12,,,,,,,,0
1406,"10-C-81-69","Ctr-pa-Thotlachruvu vanka","Kenchanaballa",290,290,1410,0,60,230,,2280,,9,29,,,,2,40,,,,,,,,0
1407,"10-C-81-69","Ctr-pa-Thotlachruvu vanka","Pacharlamakulapalli",334,334,1142,0,53,281,,2144,,7,60,,,,5,72,,,,,,,,0
1408,"10-C-81-69","Ctr-pa-Thotlachruvu vanka","Reddivanipodu",123,123,298,54,0,123,,721,,2,3,,,,0,5,,,,,,,,0
1409,"10-C-81-69","Ctr-pa-Thotlachruvu vanka","Papireddivuru",36,36,0,0,0,36,,108,,2,6,,,,0,8,,,,,,,,0
1410,"10-C-81-69","Ctr-pa-Thotlachruvu vanka","Virnamala",1087,1087,5181,197,250,837,,8639,,45,25,,,,2,72,,,,,,,,0
1411,"10-C-81-69","Ctr-pa-Thotlachruvu vanka","Balaobanapalli",77,77,458,0,22,55,,689,,7,22,,,,1,30,,,,,,,,0
1412,"10-C-81-69","Ctr-pa-Thotlachruvu vanka","Vijalapuram",280,280,1303,0,101,179,,2143,,0,31,,,,3,34,,,,,,,,0
1413,"10-C-81-69","Ctr-pa-Thotlachruvu vanka","Kadasinakupam",157,157,141,0,0,157,,612,,7,30,,,,1,38,,,,,,,,0
1414,"10-C-81-69","Ctr-pa-Thotlachruvu vanka","Killakipodu",280,280,233,6,86,194,,1079,,0,45,,,,2,47,,,,,,,,0
1415,"10-C-81-69","Ctr-pa-Thotlachruvu vanka","Battuvaripalli",45,45,88,0,0,45,,223,,3,11,,,,0,14,,,,,,,,0
1416,"10-C-81-69","Ctr-pa-Thotlachruvu vanka","Ankireddipipalle",52,52,397,0,0,52,,553,,4,21,,,,1,26,,,,,,,,0
1417,"10-C-81-69","Ctr-pa-Thotlachruvu vanka","Vusiniganipalli",145,145,1233,0,0,145,,1668,,4,43,,,,0,47,,,,,,,,0
