,,,,Irrigated with Groundwater,,,,,,,,,,,,Irrigated with Mi tanks,,,,,,,,,,,,Irrigated with surface water,,,,,,,,,,,
S.No,Watershed code,Watershed Name, Village Name,command area (ha),,,,"Non command area  (ha)
",,,,Poor GW Quality area,,,,command area,,,,"Non command area
 ",,,,Poor GW quality area,,,,command area,,,,"Non command area
 ",,,,Poor GW quality area,,,
,,,,Paddy,,Non-paddy,,Paddy,,Non-paddy,,Paddy,,Non-paddy,,Paddy,,Non-paddy,,Paddy,,Non-paddy,,Paddy,,Non-paddy,,Paddy,,Non-paddy,,Paddy,,Non-paddy,,Paddy,,Non-paddy,
,,,,Kharif,Rabi,Kharif,Rabi,Kharif,Rabi,Kharif,Rabi,Kharif,Rabi,Kharif,Rabi,Kharif,Rabi,Kharif,Rabi,Kharif,Rabi,Kharif,Rabi,Kharif,Rabi,Kharif,Rabi,Kharif,Rabi,Kharif,Rabi,Kharif,Rabi,Kharif,Rabi,Kharif,Rabi,Kharif,Rabi
109,10-C-76-45,Ctr_Kalangi_Nirpakota,Kadur,2,2,387,332,0,0,0,0,,,,,0,123,24,60,0,0,0,0,,,,,,,,,,,,,,,,
110,10-C-76-45,Ctr_Kalangi_Nirpakota,Nellatur,4,4,431,238,0,0,0,0,,,,,0,44,15,186,0,0,0,0,,,,,,,,,,,,,,,,
111,10-C-76-45,Ctr_Kalangi_Nirpakota,Gudalavaripalem,0,0,0,0,4,4,407,275,,,,,0,0,0,0,0,19,22,155,,,,,,,,,,,,,,,,
112,10-C-76-45,Ctr_Kalangi_Nirpakota,Kolathur,0,0,0,0,7,5,329,188,,,,,0,0,0,0,2,119,5,88,,,,,,,,,,,,,,,,
113,10-C-76-45,Ctr_Kalangi_Nirpakota,Thonduru,0,0,0,0,0,0,248,137,,,,,0,0,0,0,0,0,0,201,,,,,,,,,,,,,,,,
114,10-C-76-45,Ctr_Kalangi_Nirpakota,Siddama Agraharam,0,0,0,0,0,0,123,121,,,,,0,0,0,0,0,0,0,108,,,,,,0,,,,,,,,,,
115,10-C-76-45,Ctr_Kalangi_Nirpakota,Vittaiah Palem,0,0,124,114,0,0,0,0,,,,,0,7,0,153,0,0,0,0,,,,,,,,,,,,,,,,
116,10-C-76-45,Ctr_Kalangi_Nirpakota,Maruduvada,12,3,347,270,0,0,0,0,,,,,9,61,25,199,0,0,0,0,,,,,,,,,,,,,,,,
117,10-C-76-45,Ctr_Kalangi_Nirpakota,Amburu,8,4,468,324,0,0,0,0,,,,,4,44,4,120,0,0,0,0,,,,,,,,,,,,,,,,
118,10-C-76-45,Ctr_Kalangi_Nirpakota,Ayyavaripalem,1,1,306,305,0,0,0,0,,,,,0,23,50,156,0,0,0,0,,,,,,,,,,,,,,,,
119,10-C-76-45,Ctr_Kalangi_Nirpakota,Santavelur,7,24,669,589,0,0,0,0,,,,,0,191,64,411,0,0,0,0,,,,,,,,,,,,,,,,
120,10-C-76-45,Ctr_Kalangi_Nirpakota,Satambedu,0,0,557,388,0,0,0,0,,,,,0,13,4,182,0,0,0,0,,,,,,,,,,,,,,,,
121,10-C-76-45,Ctr_Kalangi_Nirpakota,Isukapalem,0,0,0,0,3,24,761,476,,,,,0,0,0,0,0,0,62,123,,,,,,,,,,,,,,,,
122,10-C-76-45,Ctr_Kalangi_Nirpakota,Kuvvakolli,0,9,545,343,0,0,0,0,,,,,0,98,144,363,0,0,0,0,,,,,,,,,,,,,,,,
