"sr.no",,,"village name","No. M.I.Tanks command area",,"Number of M.I.Tanks [Non command area]",,"Number of M.I.Tanks PQ Area
[Poor GW Quality area]",
,"Watershed code ","GW watershed name",,"Number","spread ha","Number","spread ha","Number","spread ha"
198,"08_C_57_3","PKM_C_GKM_Tripuranthakam","Rajupalem",1,5,,,0,0
199,"08_C_57_3","PKM_C_GKM_Tripuranthakam","Lellapalli",,,1,5,0,0
200,"08_C_57_3","PKM_C_GKM_Tripuranthakam","Viswanathapuram",1,6,,,0,0
201,"08_C_57_3","PKM_C_GKM_Tripuranthakam","S.Narasingapuram",,,,,0,0
202,"08_C_57_3","PKM_C_GKM_Tripuranthakam","Miriyampalli",1,6,,,0,0
203,"08_C_57_3","PKM_C_GKM_Tripuranthakam","RF",,,,,0,0
204,"08_C_57_4","PKM_C_GKM_Tripuranthakam","Gollapalli",1,30,,,,
205,"08_C_57_5","PKM_C_GKM_Tripuranthakam","Dupadu",,,,,,
206,"08-C-57-02","PKM-C-GKM-PULLALACHERUVU","Garapenta(RF)",0.001,0.001,0,0,0,0
207,"08-C-57-02","PKM-C-GKM-PULLALACHERUVU","Uppaladinne(RF)",0.001,0.001,0,0,0,0
208,"08-C-57-02","PKM-C-GKM-PULLALACHERUVU","Chowtapalli",0.001,0.001,0,0,0,0
209,"08-C-57-02","PKM-C-GKM-PULLALACHERUVU","Pullalacheruvu",0.001,0.001,5,75,0,0
210,"08-C-57-02","PKM-C-GKM-PULLALACHERUVU","Manepalli",0,0,0.001,0.001,0,0
211,"08-C-57-02","PKM-C-GKM-PULLALACHERUVU","Ayyagaripalli",0,0,0.001,0.001,0,0
212,"08-C-57-02","PKM-C-GKM-PULLALACHERUVU","Chotapacherla",0,0,0.001,0.001,0,0
213,"08-C-57-02","PKM-C-GKM-PULLALACHERUVU","I.T.Varam",3,25,0.001,0.001,0,0
214,"08-C-57-02","PKM-C-GKM-PULLALACHERUVU","Ganapavaram",1,9,0.001,0.001,0,0
215,"08-C-57-02","PKM-C-GKM-PULLALACHERUVU","Medapi",1,6,0.001,0.001,0,0
216,"08-C-57-02","PKM-C-GKM-PULLALACHERUVU","Annasamudram",0,0,0.001,0.001,0,0
217,"08-C-57-02","PKM-C-GKM-PULLALACHERUVU","R.F",,,,,0,0
218,"08_C_58_24","PKM_C_Romperu_Vetapalem ","Vetapalem ",1,3.4,0,0,,
219,"08_C_58_24","PKM_C_Romperu_Vetapalem ","Pandillapalli",0,0,0,0,,
220,"08_C_58_24","PKM_C_Romperu_Vetapalem ","Pullaripalem",0,0,0,0,,
221,"08_C_58_24","PKM_C_Romperu_Vetapalem ","Nayunipalli",0,0,0,0,,
222,"08_C_58_24","PKM_C_Romperu_Vetapalem ","Kothapeta",,,,,,
223,"08_C_57_04","PKM_C_GKM_Kurichedu","P.Veerayapalem",2,12,,,0,0
224,"08_C_57_04","PKM_C_GKM_Kurichedu","Bayyavaram",1,4,,,0,0
225,"08_C_57_04","PKM_C_GKM_Kurichedu","Kurichedu",1,4,,,0,0
226,"08_C_57_04","PKM_C_GKM_Kurichedu","Namassivayapuram",,,1,3,0,0
227,"08_C_57_04","PKM_C_GKM_Kurichedu","Mallayapalem",,,1,2,0,0
228,"08_C_57_04","PKM_C_GKM_Kurichedu","Peerambotlapalem",,,0,0,0,0
229,"08_C_57_04","PKM_C_GKM_Kurichedu","Peddavaram",,,0,0,0,0
