"S.No","Watershed code","Watershed Name"," Village Name","Artificial recharge structure [comand area]",,,,,,,,,,"Artificial recharge structure [Non-comand area]",,,,,,,,,,"Artificial recharge structure [Poor-comand area]",,,,,,,,,
,,,,"Number PTs","Storage 
ha-m","Number mini PTs","Storage 
ha-m","Number CDs","Storage 
ha-m","Number dop/ farm ponds","Storage 
ha-m","other structures","Storage [ha.m]","Number PTs","Storage 
ha-m","Number mini PTs","Storage 
ha-m","Number CDs","Storage 
ha-m","Number dop/ farm ponds","Storage 
ha-m","other structures","Storage [ha.m]","Number PTs","Storage 
ha-m","Number mini PTs","Storage 
ha-m","Number CDs","Storage 
ha-m","Number dop/ form ponds","Storage 
ha-m","other structures","Storage [ha.m]"
112,"08-c-58-29","PKM-C-G&M-CHEEMAKUTHY","Nelaturu",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,"08-c-58-29","PKM-C-G&M-CHEEMAKUTHY","Maddipadu ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,"08-c-58-29","PKM-C-G&M-CHEEMAKUTHY","Lingamguntla",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,"08-c-58-29","PKM-C-G&M-CHEEMAKUTHY","Ilapavuluru",2,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,"08-c-58-29","PKM-C-G&M-CHEEMAKUTHY","Rangasaipuram",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,"08-c-58-29","PKM-C-G&M-CHEEMAKUTHY","Pallamalli",2,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118,"08-c-58-29","PKM-C-G&M-CHEEMAKUTHY","Nekunambad",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,"08-c-58-29","PKM-C-G&M-CHEEMAKUTHY","Chandrapadu",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,"08-c-58-29","PKM-C-G&M-CHEEMAKUTHY","T.Gudipadu",2,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,"08-c-58-29","PKM-C-G&M-CHEEMAKUTHY","Bandlamudi",3,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
