,,,,CA,NCA,PQA,,,,,
,,,,Industrial,Industrial,Industrial,,,,,
Sr.no,Watershed code,GW watershed name,village name,Industrial Wells,Industrial Wells,Industrial Wells,Total ,,,,
216,08-C-57-02,PKM-C-GKM-PULLALACHERUVU,Annasamudram,0.001,0.001,0,0.002,,,,
217,08-C-57-02,PKM-C-GKM-PULLALACHERUVU,R.F,,,0,0,,,,
218,08-C-57-03,PKM-C-GKM-PULLALACHERUVU,R.F,,,0,0,,,,
219,08_C_58_24,PKM_C_Romperu_Vetapalem ,Vetapalem ,8,,,8,,,,
220,08_C_58_24,PKM_C_Romperu_Vetapalem ,Pandillapalli,2,,,2,,,,
221,08_C_58_24,PKM_C_Romperu_Vetapalem ,Pullaripalem,1,,,1,,,,
222,08_C_58_24,PKM_C_Romperu_Vetapalem ,Nayunipalli,1,,,1,,,,
223,08_C_58_24,PKM_C_Romperu_Vetapalem ,Kothapeta,10,,,10,,,,
224,08_C_57_04,PKM_C_GKM_Kurichedu,P.Veerayapalem,,0,0,0,,,,
225,08_C_57_04,PKM_C_GKM_Kurichedu,Bayyavaram,,0,0,0,,,,
226,08_C_57_04,PKM_C_GKM_Kurichedu,Kurichedu,,0,0,0,,,,
227,08_C_57_04,PKM_C_GKM_Kurichedu,Namassivayapuram,,0,0,0,,,,
228,08_C_57_04,PKM_C_GKM_Kurichedu,Mallayapalem,,0,0,0,,,,
229,08_C_57_04,PKM_C_GKM_Kurichedu,Peerambotlapalem,,0,0,0,,,,
230,08_C_57_04,PKM_C_GKM_Kurichedu,Peddavaram,,0,0,0,,,,
231,08_C_57_04,PKM_C_GKM_Kurichedu,Dekanakonda,,0,0,0,,,,
232,08_C_56_25,PKM_C_ROMPERU_INKOLLU,Santaravuru ,0,0,0,0,,,,
233,08_C_56_25,PKM_C_ROMPERU_INKOLLU,Nagandla,0,0,0,0,,,,
234,08_C_56_25,PKM_C_ROMPERU_INKOLLU,Idupulapadu,0,0,0,0,,,,
235,08_C_56_25,PKM_C_ROMPERU_INKOLLU,Pusapadu,0,0,0,0,,,,
236,08_C_56_25,PKM_C_ROMPERU_INKOLLU,Pavuluru  ,0,0,0,0,,,,
237,08_C_56_25,PKM_C_ROMPERU_INKOLLU,Inkollu    ,0,0,0,0,,,,
238,08_C_56_25,PKM_C_ROMPERU_INKOLLU,Bheemavaram,0,0,0,0,,,,
239,08_C_56_25,PKM_C_ROMPERU_INKOLLU,Dronadula,0,0,0,0,,,,
240,08_C_56_25,PKM_C_ROMPERU_INKOLLU,KOLALAPUDI,0,0,0,0,,,,
241,08_C_56_25,PKM_C_ROMPERU_INKOLLU,Timmasamudram,0,0,0,0,,,,
242,08_C_56_25,PKM_C_ROMPERU_INKOLLU,Nuthalapadu,0,0,0,0,,,,
243,08_C_56_25,PKM_C_ROMPERU_INKOLLU,Punuru,0,0,0,0,,,,
244,08_C_57_13,PKM_C_GKM_Darsi,Denuvukonda,0,0,0,0,,,,
245,08_C_57_13,PKM_C_GKM_Darsi,Darsi,0,0,0,0,,,,
246,08_C_57_13,PKM_C_GKM_Darsi,E.Veerayapalem,0,0,0,0,,,,
247,08_C_57_13,PKM_C_GKM_Darsi,T.choutapalem,0,0,0,0,,,,
248,08_C_57_13,PKM_C_GKM_Darsi,Akkamambapuram,0,0,0,0,,,,
249,08_C_57_13,PKM_C_GKM_Darsi,Cheruvukommupalem,0,0,0,0,,,,
250,08_C_57_13,PKM_C_GKM_Darsi,Mohiddinpuram,0,0,0,0,,,,
251,08_C_57_13,PKM_C_GKM_Darsi,POTHAKAMURU,0,0,0,0,,,,
252,08_C_57_13,PKM_C_GKM_Darsi,Samanthapudi,0,0,0,0,,,,
253,08_C_57_13,PKM_C_GKM_Darsi,Seetasagar,0,0,0,0,,,,
254,08_C_57_13,PKM_C_GKM_Darsi,Brundavanam,0,0,0,0,,,,
255,08_C_57_13,PKM_C_GKM_Darsi,Pulipadu,0,0,0,0,,,,
256,08_C_57_13,PKM_C_GKM_Darsi,Singanapalem,0,0,0,0,,,,
257,08_C_57_13,PKM_C_GKM_Darsi,Bellamkondavaripalem,0,0,0,0,,,,
258,08_C_57_13,PKM_C_GKM_Darsi,Dosakayalapadu,0,0,0,0,,,,
259,08_C_57_13,PKM_C_GKM_Darsi,Lakkavaram,0,0,0,0,,,,
260,08_C_57_13,PKM_C_GKM_Darsi,Madhava varam,0,0,0,0,,,,
261,08_C_57_13,PKM_C_GKM_Darsi,Mannepalli,0,0,0,0,,,,
262,08_C_57_13,PKM_C_GKM_Darsi,Nagambotlapalem,0,0,0,0,,,,
263,08_C_57_13,PKM_C_GKM_Darsi,Ramabhadrapuram,0,0,0,0,,,,
264,08_C_57_13,PKM_C_GKM_Darsi,Sarvamitta,0,0,0,0,,,,
265,08_C_57_13,PKM_C_GKM_Darsi,Siva ramapuram,0,0,0,0,,,,
266,08_C_57_13,PKM_C_GKM_Darsi,Somavarappadu,0,0,0,0,,,,
267,08_C_57_13,PKM_C_GKM_Darsi,TALLURU,0,0,0,0,,,,
268,08_C_57_13,PKM_C_GKM_Darsi,Vittalapuram,0,0,0,0,,,,
269,08_C_55_18,PKM_C_Ogeru_S.Maguluru,Kopparapalem,,,,0,,,,
270,08_C_55_18,PKM_C_Ogeru_S.Maguluru,Vellalacheruvu,0,,,0,,,,
271,08_C_55_18,PKM_C_Ogeru_S.Maguluru,Gopapuram Agraharam,0,,,0,,,,
272,08_C_55_18,PKM_C_Ogeru_S.Maguluru,Kamepalli,0,,,0,,,,
273,08_C_55_18,PKM_C_Ogeru_S.Maguluru,Santhamaguluru ,,,,0,,,,
274,08_C_55_18,PKM_C_Ogeru_S.Maguluru,Tangedumalli,0,,,0,,,,
275,08_C_55_18,PKM_C_Ogeru_S.Maguluru,Gurizepalli,0,,,0,,,,
276,08_C_55_18,PKM_C_Ogeru_S.Maguluru,Kopparam,0,,,0,,,,
