,,,Command area,,,,,,,,,,,,Non-Command area,,,,,,,,,,,,Poor quality,,,,,,,,,,,
Sr.No,Watershed name,,Agriculture,,,,Domestic,,,,Industrial,,,,Agriculture,,,,Domestic,,,,Industrial,,,,Agriculture,,,,,,,3.401360544,Industrial,,,
,,Type of well,yield,No.of ,Days of operation of wells          ,,yield,No.of ,Days of operation of wells          ,,yield,No.of ,Days of operation of wells          ,,yield,No.of ,Days of operation of wells          ,,yield,No.of ,Days of operation of wells          ,,yield,No.of ,Days of operation of wells          ,,yield,No.of ,Days of operation of wells          ,,,,,,yield,No.of ,Days of operation of wells          ,
,,,lph,wells,Monsoon,Non - Monsoon,lph,wells,Monsoon,Non - Monsoon,lph,wells,Monsoon,Non - Monsoon,lph,wells,Monsoon,Non - Monsoon,lph,wells,Monsoon,Non - Monsoon,lph,wells,Monsoon,Non - Monsoon,lph,wells,Monsoon,Non - Monsoon,,,,,lph,wells,Monsoon,Non - Monsoon
86,PKM_C_GKM_Kurichedu,DW+PS/DCB,4285.714286,,40,90,571.4285714,,120,240,2857.142857,,120,240,4285.714286,,40,90,571.4285714,,120,240,2857.142857,,120,240,4285.714286,,40,90,,,,,2857.142857,,120,240
87,PKM_C_GKM_Kurichedu,BWs,7142.857143,,40,90,857.1428571,,120,240,4285.714286,,120,240,7142.857143,,40,90,857.1428571,,120,240,4285.714286,,120,240,7142.857143,,40,90,,,,,4285.714286,,120,240
88,PKM_C_GKM_Kurichedu,STW,22000,,40,90,5142.857143,,120,240,7142.857143,,120,240,22000,,40,90,5142.857143,,120,240,7142.857143,,120,240,22000,,40,90,,,,,7142.857143,,120,240
89,PKM_C_GKM_Kurichedu,MTW,45000,,40,90,10285.71429,,120,240,7142.857143,,120,240,45000,,40,90,10285.71429,,120,240,7142.857143,,120,240,45000,,40,90,,,,,7142.857143,,120,240
90,PKM_C_GKM_Kurichedu,Deep TW,64285.71429,,40,90,10285.71429,,120,240,14285.71429,,120,240,64285.71429,,40,90,10285.71429,,120,240,14285.71429,,120,240,64285.71429,,40,90,,,,,14285.71429,,120,240
91,PKM_C_GKM_Kurichedu,Filter Points,7142.857143,,40,90,857.1428571,,120,240,4285.714286,,120,240,7142.857143,,40,90,857.1428571,,120,240,4285.714286,,120,240,7142.857143,,40,90,,,,,4285.714286,,120,240
92,PKM_C_ROMPERU_INKOLLU,DW,2857.142857,,40,90,285.7142857,,120,240,1428.571429,,120,240,2857.142857,,40,90,285.7142857,,120,240,1428.571429,,120,240,2857.142857,,40,90,,,,,1428.571429,,120,240
93,PKM_C_ROMPERU_INKOLLU,DW+PS/DCB,4285.714286,,40,90,571.4285714,,120,240,2857.142857,,120,240,4285.714286,,40,90,571.4285714,,120,240,2857.142857,,120,240,4285.714286,,40,90,,,,,2857.142857,,120,240
94,PKM_C_ROMPERU_INKOLLU,BWs,7142.857143,,40,90,857.1428571,,120,240,4285.714286,,120,240,7142.857143,,40,90,857.1428571,,120,240,4285.714286,,120,240,7142.857143,,40,90,,,,,4285.714286,,120,240
95,PKM_C_ROMPERU_INKOLLU,STW,22000,,40,90,5142.857143,,120,240,7142.857143,,120,240,22000,,40,90,5142.857143,,120,240,7142.857143,,120,240,22000,,40,90,,,,,7142.857143,,120,240
96,PKM_C_ROMPERU_INKOLLU,MTW,45000,,40,90,10285.71429,,120,240,7142.857143,,120,240,45000,,40,90,10285.71429,,120,240,7142.857143,,120,240,45000,,40,90,,,,,7142.857143,,120,240
