,,7,Command area,,142.8571428571,,,,,,,,,,Non-Command area,,,,,,,,,,,,Poor quality,,,,,,,,,,,
Sr.No,Watershed name,,Agriculture,,,,Domestic,,,,Industrial,,,,Agriculture,,,,Domestic,,,,Industrial,,,,Agriculture,,,,,,,,Industrial,,,
,,Type of well,yield,No.of ,Days of operation of wells          ,,yield,No.of ,Days of operation of wells          ,,yield,No.of ,Days of operation of wells          ,,yield,No.of ,Days of operation of wells          ,,yield,No.of ,Days of operation of wells          ,,yield,No.of ,Days of operation of wells          ,,yield,No.of ,Days of operation of wells          ,,,,,,yield,No.of ,Days of operation of wells          ,
,,,lph,wells,Monsoon,Non - Monsoon,lph,wells,Monsoon,Non - Monsoon,lph,wells,Monsoon,Non - Monsoon,lph,wells,Monsoon,Non - Monsoon,lph,wells,Monsoon,Non - Monsoon,lph,wells,Monsoon,Non - Monsoon,lph,wells,Monsoon,Non - Monsoon,,,,,lph,wells,Monsoon,Non - Monsoon
59,VZM_NAG_VEG_THERLAM,BWs,5000,67.2,40,90,857.1428571429,16.2,120,240,7142.8571428572,0,120,240,5000,580.2,40,90,857.1428571429,206.4,120,240,7142.8571428572,0,120,240,14285.7142857143,0,40,90,,,,,7142.8571428572,,40,90
60,VZM_NAG_VEG_THERLAM,STW,5714.2857142857,67.2,40,90,0,16.2,120,240,7142.8571428572,0,120,240,6428.5714285714,580.2,40,90,0,206.4,120,240,7142.8571428572,0,120,240,22000,0,40,90,,,,,7142.8571428572,,40,90
61,VZM_NAG_VEG_THERLAM,MTW,0,67.2,40,90,0,16.2,120,240,7142.8571428572,0,120,240,0,580.2,40,90,0,206.4,120,240,7142.8571428572,0,120,240,45000,0,40,90,,,,,7142.8571428572,,40,90
62,VZM_NAG_VEG_THERLAM,Deep TW,0,67.2,40,90,0,16.2,120,240,14285.7142857143,0,120,240,0,580.2,40,90,0,206.4,120,240,14285.7142857143,0,120,240,64285.7142857143,0,40,90,,,,,14285.7142857143,,40,90
63,VZM_NAG_VEG_THERLAM,Filter Points,0,67.2,40,90,0,6.4,120,240,7142.8571428572,0,120,240,0,48.6,40,90,0,206.4,120,240,7142.8571428572,0,120,240,7142.8571428572,0,40,90,,,,,7142.8571428572,,40,90
64,VZM_NAG_VEG_VOTTIGEDDA,DW,3571.4285714286,12.6,40,90,142.8571428571,6.4,120,240,3571.4285714286,0,120,240,3571.4285714286,48.6,40,90,285.7142857143,47.8,120,240,3571.4285714286,0,120,240,3857.1428571429,0,40,90,,,,,3571.4285714286,,40,90
65,VZM_NAG_VEG_VOTTIGEDDA,DW+PS/DCB,4285.7142857143,12.6,40,90,571.4285714286,6.4,120,240,7142.8571428572,0,120,240,4285.7142857143,48.6,40,90,714.2857142857,47.8,120,240,7142.8571428572,0,120,240,7142.8571428572,0,40,90,,,,,7142.8571428572,,40,90
66,VZM_NAG_VEG_VOTTIGEDDA,BWs,4285.7142857143,12.6,40,90,714.2857142857,6.4,120,240,7142.8571428572,0,120,240,5000,48.6,40,90,714.2857142857,47.8,120,240,7142.8571428572,0,120,240,14285.7142857143,0,40,90,,,,,7142.8571428572,,40,90
67,VZM_NAG_VEG_VOTTIGEDDA,STW,0,12.6,40,90,0,6.4,120,240,7142.8571428572,0,120,240,0,48.6,40,90,0,47.8,120,240,7142.8571428572,0,120,240,22000,0,40,90,,,,,7142.8571428572,,40,90
68,VZM_NAG_VEG_VOTTIGEDDA,MTW,0,12.6,40,90,0,6.4,120,240,7142.8571428572,0,120,240,0,48.6,40,90,0,47.8,120,240,7142.8571428572,0,120,240,45000,0,40,90,,,,,7142.8571428572,,40,90
69,VZM_NAG_VEG_VOTTIGEDDA,Deep TW,6428.5714285714,12.6,40,90,0,6.4,120,240,14285.7142857143,0,120,240,6428.5714285714,48.6,40,90,0,47.8,120,240,14285.7142857143,0,120,240,64285.7142857143,0,40,90,,,,,14285.7142857143,,40,90
70,VZM_NAG_VEG_VOTTIGEDDA,Filter Points,6428.5714285714,12.6,40,90,0,68,120,240,7142.8571428572,0,120,240,6428.5714285714,12.8,40,90,0,47.8,120,240,7142.8571428572,0,120,240,7142.8571428572,0,40,90,,,,,7142.8571428572,,40,90
71,VZM_NAG_VOTTIGEDDA,DW,2857.1428571429,121,40,90,214.2857142857,68,120,240,3571.4285714286,0,120,240,3571.4285714286,12.8,40,90,285.7142857143,88.2,120,240,3571.4285714286,0,120,240,3857.1428571429,0,40,90,,,,,3571.4285714286,,40,90
72,VZM_NAG_VOTTIGEDDA,DW+PS/DCB,4285.7142857143,121,40,90,714.2857142857,68,120,240,7142.8571428572,0,120,240,4285.7142857143,12.8,40,90,714.2857142857,88.2,120,240,7142.8571428572,0,120,240,7142.8571428572,0,40,90,,,,,7142.8571428572,,40,90
73,VZM_NAG_VOTTIGEDDA,BWs,4285.7142857143,121,40,90,714.2857142857,68,120,240,7142.8571428572,0,120,240,5000,12.8,40,90,714.2857142857,88.2,120,240,7142.8571428572,0,120,240,14285.7142857143,0,40,90,,,,,7142.8571428572,,40,90
