,,,Command area,,0.8,,,,,,,,,,Non-Command area,,,,,,,,,,,,Poor quality,,,,,,,,,,,
Sr.No,Watershed name,,Agriculture,,,,Domestic,,,,Industrial,,,,Agriculture,,,,Domestic,,,,Industrial,,,,Agriculture,,,,,,,,Industrial,,,
,,Type of well,yield,No.of ,Days of operation of wells          ,,yield,No.of ,Days of operation of wells          ,,yield,No.of ,Days of operation of wells          ,,yield,No.of ,Days of operation of wells          ,,yield,No.of ,Days of operation of wells          ,,yield,No.of ,Days of operation of wells          ,,yield,No.of ,Days of operation of wells          ,,,,,,yield,No.of ,Days of operation of wells          ,
,,,lph,wells,Monsoon,Non - Monsoon,lph,wells,Monsoon,Non - Monsoon,lph,wells,Monsoon,Non - Monsoon,lph,wells,Monsoon,Non - Monsoon,lph,wells,Monsoon,Non - Monsoon,lph,wells,Monsoon,Non - Monsoon,lph,wells,Monsoon,Non - Monsoon,,,,,lph,wells,Monsoon,Non - Monsoon
77,Skl_F_Vamsadhara_Vamsadhara_W3_Sarubujjili,Filter Points,4000,0,40,90,0,,120,240,0,,120,240,4000,0,40,90,0,,120,240,0,,120,240,,,,,,,,,,,,
78,Skl_F_Vamsadhara_Vamsadhara_W4_Gara,DW,1728,702.7582289998,75,120,384,550,120,240,0,,120,240,1728,47.0043902439,75,120,384,122,120,240,0,,120,240,,,,,,,,,,,,
79,Skl_F_Vamsadhara_Vamsadhara_W4_Gara,DW+PS/DCB,2560,129,75,120,1920,24.365607686,120,240,0,,120,240,2560,61,75,120,1920,2.555799458,120,240,0,,120,240,,,,,,,,,,,,
80,Skl_F_Vamsadhara_Vamsadhara_W4_Gara,BWs,5120,0,75,120,2304,,120,240,0,,120,240,5120,0,75,120,2304,,120,240,0,,120,240,,,,,,,,,,,,
81,Skl_F_Vamsadhara_Vamsadhara_W4_Gara,STW,5120,7,75,120,2304,,120,240,0,,120,240,5120,7,75,120,0,,120,240,0,,120,240,,,,,,,,,,,,
82,Skl_F_Vamsadhara_Vamsadhara_W4_Gara,MTW,5120,0,75,120,0,,120,240,0,,120,240,5120,0,75,120,0,,120,240,0,,120,240,,,,,,,,,,,,
83,Skl_F_Vamsadhara_Vamsadhara_W4_Gara,Deep TW,5120,0,75,120,0,,120,240,0,,120,240,5120,0,75,120,0,,120,240,0,,120,240,,,,,,,,,,,,
84,Skl_F_Vamsadhara_Vamsadhara_W4_Gara,Filter Points,5120,1624,75,120,2304,,120,240,0,,120,240,5120,48,75,120,0,,120,240,0,,120,240,,,,,,,,,,,,
85,Skl_F_Bahuda_Ichapuram,DW,0,,,,0,,,,0,,,,2159.92,157,70,120,479.92,1170,120,240,0,,120,240,,,,,,,,,,,,
86,Skl_F_Bahuda_Ichapuram,DW+PS/DCB,0,,,,0,,,,0,,,,2400.16,2,70,120,2400.16,61,120,240,0,,120,240,,,,,,,,,,,,
87,Skl_F_Bahuda_Ichapuram,BWs,0,,,,0,,,,0,,,,5600,5,70,120,2880.08,,120,240,0,,120,240,,,,,,,,,,,,
88,Skl_F_Bahuda_Ichapuram,STW,0,,,,0,,,,0,,,,5600,1315,70,120,0,,120,240,0,,120,240,,,,,,,,,,,,
89,Skl_F_Bahuda_Ichapuram,MTW,0,,,,0,,,,0,,,,5600,,70,120,0,,120,240,0,,120,240,,,,,,,,,,,,
90,Skl_F_Bahuda_Ichapuram,Deep TW,0,,,,0,,,,0,,,,5600,,70,120,0,,120,240,0,,120,240,,,,,,,,,,,,
91,Skl_F_Bahuda_Ichapuram,Filter Points,0,,,,0,,,,0,,,,5600,,70,120,0,,120,240,0,,120,240,,,,,,,,,,,,
92,Skl_F_Kandivalasagedda_PBVaram,DW,0,,,,0,,,,0,,,,392.1176,1601,75,120,479.92,294,120,240,0,,120,240,,,,,,,,,,,,
93,Skl_F_Kandivalasagedda_PBVaram,DW+PS/DCB,0,,,,0,,,,0,,,,588.0392,91,75,120,2400.16,18,120,240,0,,120,240,,,,,,,,,,,,
94,Skl_F_Kandivalasagedda_PBVaram,BWs,0,,,,0,,,,0,,,,2744,35,75,120,2880.08,,120,240,9600.08,38,120,240,,,,,,,,,,,,
