S.No,Watershed code,Watershed Name, Village Name,Length ,Design depth of flow,Bed width,Side Slopes,WettedPerimeter,Wetted area,Canal seepage factor, No.of operating days of canal,, Recharge from canal (ha.m),,Annual Recharge,,,,,,,,,,,,,,
49,01_F_06_04,Skl_F_Nagavali_Nagavali_E_Srikakulam,LANKAM,,,,,,,,,,,,,,,Between Mahanadi & Godavari,Nagavali,Nagavali_E,01_F_06_04,Skl_F_Nagavali_Nagavali_E_Srikakulam,1,Srikakulam,11,BOORJA,01015110470118,047,LANKAM
50,01_F_06_04,Skl_F_Nagavali_Nagavali_E_Srikakulam,LABHAM,,,,,,,,,,,,,,,Between Mahanadi & Godavari,Nagavali,Nagavali_E,01_F_06_04,Skl_F_Nagavali_Nagavali_E_Srikakulam,1,Srikakulam,11,BOORJA,01015110480120,048,LABHAM
51,01_F_06_04,Skl_F_Nagavali_Nagavali_E_Srikakulam,LATCHAYYAPETA,,,,,,,,,,,,,,,Between Mahanadi & Godavari,Nagavali,Nagavali_E,01_F_06_04,Skl_F_Nagavali_Nagavali_E_Srikakulam,1,Srikakulam,11,BOORJA,01015110490121,049,LATCHAYYAPETA
52,01_F_06_04,Skl_F_Nagavali_Nagavali_E_Srikakulam,KANTLAM,,,,,,,,,,,,,,,Between Mahanadi & Godavari,Nagavali,Nagavali_E,01_F_06_04,Skl_F_Nagavali_Nagavali_E_Srikakulam,1,Srikakulam,11,BOORJA,01015110500121,050,KANTLAM
53,01_F_06_04,Skl_F_Nagavali_Nagavali_E_Srikakulam,O.V.PETA,,,,,,,,,,,,,,,Between Mahanadi & Godavari,Nagavali,Nagavali_E,01_F_06_04,Skl_F_Nagavali_Nagavali_E_Srikakulam,1,Srikakulam,11,BOORJA,01015110510122,051,O.V.PETA
54,01_F_06_04,Skl_F_Nagavali_Nagavali_E_Srikakulam,AHOBALACHARYULAPETA,,,,,,,,,,,,,,,Between Mahanadi & Godavari,Nagavali,Nagavali_E,01_F_06_04,Skl_F_Nagavali_Nagavali_E_Srikakulam,1,Srikakulam,11,BOORJA,01015110520123,052,AHOBALACHARYULAPETA
55,01_F_06_04,Skl_F_Nagavali_Nagavali_E_Srikakulam,UPPINIVALASA,,,,,,,,,,,,,,,Between Mahanadi & Godavari,Nagavali,Nagavali_E,01_F_06_04,Skl_F_Nagavali_Nagavali_E_Srikakulam,1,Srikakulam,11,BOORJA,01015110530123,053,UPPINIVALASA
56,01_F_06_04,Skl_F_Nagavali_Nagavali_E_Srikakulam,VYKUNTAPURAM,,,,,,,,,,,,,,,Between Mahanadi & Godavari,Nagavali,Nagavali_E,01_F_06_04,Skl_F_Nagavali_Nagavali_E_Srikakulam,1,Srikakulam,11,BOORJA,01015110540124,054,VYKUNTAPURAM
57,01_F_06_04,Skl_F_Nagavali_Nagavali_E_Srikakulam,GUDIGEDDA V.PURAM(UI),,,,,,,,,,,,,,,Between Mahanadi & Godavari,Nagavali,Nagavali_E,01_F_06_04,Skl_F_Nagavali_Nagavali_E_Srikakulam,1,Srikakulam,11,BOORJA,01015110600126,060,GUDIGEDDA V.PURAM(UI)
58,01_F_06_04,Skl_F_Nagavali_Nagavali_E_Srikakulam,BODDAPADU,,,,,,,,,,,,,,,Between Mahanadi & Godavari,Nagavali,Nagavali_E,01_F_06_04,Skl_F_Nagavali_Nagavali_E_Srikakulam,1,Srikakulam,11,BOORJA,01015110610124,061,BODDAPADU
59,01_F_06_04,Skl_F_Nagavali_Nagavali_E_Srikakulam,MAHAJANAMVARIPETA (UI),,,,,,,,,,,,,,,Between Mahanadi & Godavari,Nagavali,Nagavali_E,01_F_06_04,Skl_F_Nagavali_Nagavali_E_Srikakulam,1,Srikakulam,11,BOORJA,01015110620123,062,MAHAJANAMVARIPETA (UI)
60,01_F_06_04,Skl_F_Nagavali_Nagavali_E_Srikakulam,CHALIKAM,,,,,,,,,,,,,,,Between Mahanadi & Godavari,Nagavali,Nagavali_E,01_F_06_04,Skl_F_Nagavali_Nagavali_E_Srikakulam,1,Srikakulam,11,BOORJA,01015110630126,063,CHALIKAM
