"Sr.no",,,"village name","No. M.I.Tanks command area",,"Number of M.I.Tanks [Non command area]",,"Number of M.I.Tanks PQ Area
[Poor GW Quality area]",
,"Watershed code ","GW watershed name",,"Number","spread ha","Number","spread ha","Number","spread ha"
191,"01_F_06_01","Skl_F_Nagavali_Ottigedda_Veeraghattam","GUJJI",,0,,0,,
192,"01_F_06_01","Skl_F_Nagavali_Ottigedda_Veeraghattam","CHINATANKIDI(UI)",,0,,0,,
193,"01_F_06_01","Skl_F_Nagavali_Ottigedda_Veeraghattam","BARNA",,0,,0,,
194,"01_F_06_01","Skl_F_Nagavali_Ottigedda_Veeraghattam","CHINAPALLANKI",,0,,0,,
195,"01_F_06_01","Skl_F_Nagavali_Ottigedda_Veeraghattam","MEENAKKOTA",,0,,0,,
196,"01_F_06_01","Skl_F_Nagavali_Ottigedda_Veeraghattam","ATCHABA",,0,,0,,
197,"01_F_06_01","Skl_F_Nagavali_Ottigedda_Veeraghattam","PEDAKAMBA",,0,,0,,
198,"01_F_06_01","Skl_F_Nagavali_Ottigedda_Veeraghattam","CHINAKAMBA",,0,,0,,
199,"01_F_06_01","Skl_F_Nagavali_Ottigedda_Veeraghattam","JONAGA",,0,,0,,
200,"01_F_06_01","Skl_F_Nagavali_Ottigedda_Veeraghattam","MANDA",,0,,0,,
201,"01_F_06_01","Skl_F_Nagavali_Ottigedda_Veeraghattam","NOWGADA",,0,,0,,
202,"01_F_06_01","Skl_F_Nagavali_Ottigedda_Veeraghattam","KIRAPA",,0,,0,,
203,"01_F_06_01","Skl_F_Nagavali_Ottigedda_Veeraghattam","TURAIPUVALASA",,0,,0,,
204,"01_F_06_01","Skl_F_Nagavali_Ottigedda_Veeraghattam","PEDDURU",,0,,0,,
205,"01_F_06_01","Skl_F_Nagavali_Ottigedda_Veeraghattam","KONDA PETA",,0,,0,,
206,"01_F_06_01","Skl_F_Nagavali_Ottigedda_Veeraghattam","WABA",,0,,0,,
207,"01_F_06_01","Skl_F_Nagavali_Ottigedda_Veeraghattam","YENUGUPETA",,0,,0,,
208,"01_F_06_01","Skl_F_Nagavali_Ottigedda_Veeraghattam","KUDDAPALLI",,0,,0,,
209,"01_F_06_01","Skl_F_Nagavali_Ottigedda_Veeraghattam","GOIDI",,0,,0,,
210,"01_F_06_01","Skl_F_Nagavali_Ottigedda_Veeraghattam","SAVARAGONDI",,0,,0,,
211,"01_F_06_01","Skl_F_Nagavali_Ottigedda_Veeraghattam","VALAGEDDA",,0,,0,,
212,"01_F_06_01","Skl_F_Nagavali_Ottigedda_Veeraghattam","RASOOLPETA",,0,,0,,
213,"01_F_06_01","Skl_F_Nagavali_Ottigedda_Veeraghattam","DARABA",,0,,0,,
214,"01_F_06_01","Skl_F_Nagavali_Ottigedda_Veeraghattam","NARAMDASUPETA(UI)",,0,,0,,
215,"01_F_06_01","Skl_F_Nagavali_Ottigedda_Veeraghattam","PAJJADA",,0,,0,,
216,"01_F_06_01","Skl_F_Nagavali_Ottigedda_Veeraghattam","THOTTADI",,0,,0,,
217,"01_F_06_01","Skl_F_Nagavali_Ottigedda_Veeraghattam","KINDANGI",,0,,0,,
218,"01_F_06_01","Skl_F_Nagavali_Ottigedda_Veeraghattam","ADDAKULAGUDA",,0,,0,,
219,"01_F_06_01","Skl_F_Nagavali_Ottigedda_Veeraghattam","SILAGAM",,0,,0,,
220,"01_F_06_01","Skl_F_Nagavali_Ottigedda_Veeraghattam","BETHUPURAM",,0,,0,,
221,"01_F_06_01","Skl_F_Nagavali_Ottigedda_Veeraghattam","JAJJUVA",,0,,0,,
222,"01_F_06_01","Skl_F_Nagavali_Ottigedda_Veeraghattam","VAJJAIGUDA",,0,,0,,
223,"01_F_06_01","Skl_F_Nagavali_Ottigedda_Veeraghattam","ADALI",,0,,0,,
224,"01_F_06_01","Skl_F_Nagavali_Ottigedda_Veeraghattam","SANTHAMALLI",,0,,0,,
225,"01_F_06_01","Skl_F_Nagavali_Ottigedda_Veeraghattam","KUSIMI",,0,,0,,
226,"01_F_06_01","Skl_F_Nagavali_Ottigedda_Veeraghattam","JILLEDIPADU",,0,,0,,
227,"01_F_06_01","Skl_F_Nagavali_Ottigedda_Veeraghattam","MUTYALU",,0,,0,,
