Sr.no,,,Village name,T.Area (ha),Watershed command area ,,,,Watershed Non command Area,,,,Watershed poor quality Area,,,
,Water shed code,Watershed name,,,Recghare,Hilly,Forest,Total,Recghare,Hilly,Forest,Total,Recghare,Hilly,Forest,Total
191,06-D-49-07,Kri-D-49-Gampalagudem,Vinagadapa,1984,1984,0,0,1984,0,0,0,0,0,,,
192,06-D-49-07,Kri-D-49-Gampalagudem,Narikampadu,470,220,250,300,470,0,0,0,0,0,,,
193,06-D-49-07,Kri-D-49-Gampalagudem,Anumullanka,983,433,550,600,983,0,0,0,0,0,,,
194,06-D-49-07,Kri-D-49-Gampalagudem,Gullapudi,1105.14,806.0490909091,299.0909090909,340,1105.14,0,0,0,0,0,,,
195,06-D-49-03,Kri-D-49-Jayanthi,Veerullapadu,839,839,0,0,839,0,0,0,0,0,,,
196,06-D-49-03,Kri-D-49-Jayanthi,Jayanthi,2739,2739,0,0,2739,0,0,0,0,0,,,
197,06-D-49-03,Kri-D-49-Jayanthi,Dodda Devarapadu,512,512,0,0,512,0,0,0,0,0,,,
198,06-D-49-03,Kri-D-49-Jayanthi,Ramapuram,165,165,0,0,165,0,0,0,0,0,,,
199,06-D-51-18,Kri-D-51-Kanchikacherla ,Peddapuram,755,755,0,0,755,0,0,0,0,0,,,
200,06-D-51-18,Kri-D-51-Kanchikacherla ,G.Madhavaram,644,644,0,0,644,0,0,0,0,0,,,
201,06-D-51-18,Kri-D-51-Kanchikacherla ,Thimmapuram,978,928,50,160,978,0,0,0,0,0,,,
202,06-D-51-18,Kri-D-51-Kanchikacherla ,Alluru,1189,1189,0,0,1189,0,0,0,0,,,,
203,06-D-51-18,Kri-D-51-Kanchikacherla ,Chennaraopalem,1123,1063,60,80,1123,0,0,0,0,,,,
204,06-D-51-18,Kri-D-51-Kanchikacherla ,Jujjuru,2559,2499,60,140,2559,0,0,0,0,,,,
205,06-D-51-18,Kri-D-51-Kanchikacherla ,N.R.Palem,1064,964,100,220,1064,0,0,0,0,,,,
206,06-D-51-18,Kri-D-51-Kanchikacherla ,Jaganadhapuram,282,282,0,0,282,0,0,0,0,,,,
207,06-D-51-18,Kri-D-51-Kanchikacherla ,Ponnavaram,626,626,0,0,626,0,0,0,0,,,,
208,06-D-51-18,Kri-D-51-Kanchikacherla ,Peerakalapadu,397,397,0,0,397,0,0,0,0,,,,
209,06-D-51-18,Kri-D-51-Kanchikacherla ,Gottumukkala,757,507,250,600,757,0,0,0,0,,,,
210,06-D-51-18,Kri-D-51-Kanchikacherla ,Kanchikacherla,2950,2950,0,0,2950,0,0,0,0,,,,
211,06-D-51-18,Kri-D-51-Kanchikacherla ,Paritala,1998,1843,155,310,1998,0,0,0,0,,,,
212,06-D-51-18,Kri-D-51-Kanchikacherla ,Bathinapadu,651,651,0,0,651,0,0,0,0,,,,
213,06-D-51-18,Kri-D-51-Kanchikacherla ,Chevitikallu,924,924,0,0,924,0,0,0,0,,,,
214,06-D-51-18,Kri-D-51-Kanchikacherla ,Kunikanapadu,385,385,0,0,385,0,0,0,0,,,,
215,06-D-51-18,Kri-D-51-Kanchikacherla ,Ghani Atkur,1889,1889,0,0,1889,0,0,0,0,,,,
216,06-D-51-18,Kri-D-51-Kanchikacherla ,Damuluru,1029,1029,0,0,1029,0,0,0,0,,,,
217,06-D-51-18,Kri-D-51-Kanchikacherla ,Chilukuru,408,408,0,0,408,0,0,0,0,,,,
218,06-D-51-18,Kri-D-51-Kanchikacherla ,Ketanakonda,247,247,0,50,247,0,0,0,0,,,,
219,06-D-51-18,Kri-D-51-Kanchikacherla ,Kachavaram,396,396,0,80,396,0,0,0,0,,,,
220,06-D-51-18,Kri-D-51-Kanchikacherla ,Kotikalapudi,617,617,0,0,617,0,0,0,0,,,,
221,06-D-51-18,Kri-D-51-Kanchikacherla ,Mulapadu,311,311,0,150,311,0,0,0,0,,,,
222,06-D-51-18,Kri-D-51-Kanchikacherla ,Jupudi,773,773,0,60,773,0,0,0,0,,,,
223,06-D-51-18,Kri-D-51-Kanchikacherla ,Ibrahimpatnam,1521,1021,500,900,1521,0,0,0,0,,,,
224,06-D-51-18,Kri-D-51-Kanchikacherla ,Z.N.Pothavaram,336,236,100,190,336,0,0,0,0,,,,
225,06-D-51-18,Kri-D-51-Kanchikacherla ,Trilochanapuram,711,611,100,461,711,0,0,0,0,,,,
226,06-D-51-18,Kri-D-51-Kanchikacherla ,Jamimachavaram,138,113,25,100,138,0,0,0,0,,,,
227,06-D-51-18,Kri-D-51-Kanchikacherla ,Navepothavaram,412,262,150,200,412,0,0,0,0,,,,
228,06-I-40-12,Kri-I-40-Chatrai,Somavaram,1932,1882,50,323,1932,0,0,0,0,0,,,
229,06-I-40-12,Kri-I-40-Chatrai,Kothagudem,602,602,0,0,602,0,0,0,0,0,,,
230,06-I-40-12,Kri-I-40-Chatrai,Tummagudem,1480,1480,0,499,1480,0,0,0,0,0,,,
231,06-I-40-12,Kri-I-40-Chatrai,Chittapur,1444,1381,63,66,1444,0,0,0,0,0,,,
232,06-I-40-12,Kri-I-40-Chatrai,Arugolanupeta,1834,1834,0,654,1834,0,0,0,0,0,,,
