,,,,Command Area,,Non command Area,,Poor quality area,,,,,
,,,,Residential,,Residential,,Residential,,,,,
Sr.no,Watershed code,GW watershed name,village name,DWDW/HP,DW PWS,DWDW/HP,DW PWS,DWDW/HP,DW PWS,Total,,,
170,06-D-49-11,Kri-D-49-Vissannapeta,Narsapuram,46,9,0,0,,,55,,,
171,06-D-49-11,Kri-D-49-Vissannapeta,Putrela,73,11,0,0,,,84,,,
172,06-D-49-11,Kri-D-49-Vissannapeta,Kalagara,42,14,0,0,,,56,,,
173,06-D-49-11,Kri-D-49-Vissannapeta,Korlamanda,30,10,0,0,,,40,,,
174,06-D-49-11,Kri-D-49-Vissannapeta,Chanubanda,59,12,0,0,,,71,,,
175,06-D-49-11,Kri-D-49-Vissannapeta,Krishnaraopalem,13,3,0,0,,,16,,,
176,06-D-49-11,Kri-D-49-Vissannapeta,Kanumuru,39,6,0,0,,,45,,,
177,06-D-49-11,Kri-D-49-Vissannapeta,Muchinapalli,40,9,0,0,,,49,,,
178,06-D-49-11,Kri-D-49-Vissannapeta,Ganugapadu,23,1,0,0,,,24,,,
179,06-D-49-07,Kri-D-49-Gampalagudem,Gampalagudem,72,7,0,0,,,79,,,
180,06-D-49-07,Kri-D-49-Gampalagudem,Arlapadu,24,3,0,0,,,27,,,
181,06-D-49-07,Kri-D-49-Gampalagudem,Chennavaram,6,2,0,0,,,8,,,
182,06-D-49-07,Kri-D-49-Gampalagudem,Gosaveedu,34,6,0,0,,,40,,,
183,06-D-49-07,Kri-D-49-Gampalagudem,Kothapalli,21,3,0,0,,,24,,,
184,06-D-49-07,Kri-D-49-Gampalagudem,Lingala,29,2,0,0,,,31,,,
185,06-D-49-07,Kri-D-49-Gampalagudem,Meduru,46,4,0,0,,,50,,,
186,06-D-49-07,Kri-D-49-Gampalagudem,Pedakomira,34,2,0,0,,,36,,,
187,06-D-49-07,Kri-D-49-Gampalagudem,Vinagadapa,47,7,0,0,,,54,,,
188,06-D-49-07,Kri-D-49-Gampalagudem,Narikampadu,3,1,0,0,,,4,,,
189,06-D-49-07,Kri-D-49-Gampalagudem,Anumullanka,24,4,0,0,,,28,,,
190,06-D-49-07,Kri-D-49-Gampalagudem,Gullapudi,34,2,0,0,,,36,,,
