S.No,Watershed code,Watershed Name, Village Name,Length ,Design depth of flow,Bed width,Side Slopes,WettedPerimeter,Wetted area,Canal seepage factor, No.of operating days of canal,, Recharge from canal (ha.m),,Annual Recharge,,
,,,,mts,mts,mts,( degrees ),mts,( m.sq mts.),( ha.m/d/m.sq.m ),Monsoon ,N-Monsoon,Monsoon ,Non-Monsoon,( ha.m ),,
117,06-D-51-19,Kri-D-51-Chandarlapadu,Pokkunuru,10458,0.38,2.89,33.69,4.2601119068,0.0445522503,3.5,120,20,18.7119451349,3.1186575225,21.8306026574,Pokkunu minor,Minor 
118,06-D-51-19,Kri-D-51-Chandarlapadu,Kodavatikallu,,,,33.69,0,0,3.5,,,0,0,0,,
119,06-D-51-19,Kri-D-51-Chandarlapadu,Veladikothapalem,,,,33.69,0,0,3.5,,,0,0,0,,
120,06-D-51-19,Kri-D-51-Chandarlapadu,Punnavalli,,,,33.69,0,0,3.5,,,0,0,0,,
121,06-D-51-19,Kri-D-51-Chandarlapadu,Popuru,,,,33.69,0,0,3.5,,,0,0,0,,
122,06-D-51-19,Kri-D-51-Chandarlapadu,Vipareetalapadu,,,,,,,3.5,,,,,,,
123,06-D-49-02,Kri-D-49-Nemali,Ummadidevarapalli,1195,0.4,0.8,60,1.7237604307,0.0020598937,3.5,120,20,0.8651553602,0.14419256,1.0093479202,Vutukuru major-II,Major
124,06-D-49-02,Kri-D-49-Nemali,Nemali,1550,0.35,0.55,60,1.3582903769,0.0021053501,3.5,120,20,0.8842470353,0.1473745059,1.0316215412,Vutukuru minor of Vutukuru major-II,Minor 
125,06-D-49-02,Kri-D-49-Nemali,Konijerla,1000,0.35,0.55,60,1.3582903769,0.0013582904,3.5,30,20,0.1426204896,0.0950803264,0.237700816,Vutukuru minor of Vutukuru major-II,Minor 
126,06-D-49-04,Kri-D-49-Utukuru,Utukuru,986,0.75,2.8,60,3.8392304845,0.0037854813,3.5,0,20,0,0.264983688,0.264983688,Peddakomera Major,Major
127,06-D-49-04,Kri-D-49-Utukuru,Utukuru,1195,0.4,0.8,60,1.3542562584,0.0016183362,3.5,0,20,0,0.113283536,0.113283536,Vutukuru major-II,Major
128,06-D-49-04,Kri-D-49-Utukuru,Utukuru,1550,0.35,0.55,60,1.0349742261,0.0016042101,3.5,0,20,0,0.1122947035,0.1122947035,Vutukuru minor of Vutukuru major-II,Minor 
129,06-D-49-04,Kri-D-49-Utukuru,Dundiralapadu,,,,,,,,,,,,,,
130,06-D-49-04,Kri-D-49-Utukuru,Penugolenu,,,,,,,,,,,,,,
131,06-D-49-04,Kri-D-49-Utukuru,Tunikipadu,,,,,,,,,,,,,,
132,06-D-49-04,Kri-D-49-Utukuru,Rajavaram,,,,,,,,,,,,,,
133,06-D-49-07,Kri-D-49-Talluru,Kakaravai,,,,,,,,,,,,,,
134,06-D-49-07,Kri-D-49-Talluru,Machinenipalem,,,,,,,,,,,,,,
135,06-D-49-07,Kri-D-49-Talluru,Talluru,,,,,,,,,,,,,,
136,06-D-49-07,Kri-D-49-Talluru,Vemulanarva,,,,,,,,,,,,,,
137,06-D-49-10,Kri-D-49--K.Atmakuru,K.Atmakuru,981,1.3,7.4,60,10.4022213998,0.0102045792,3.5,30,30,1.0714808153,1.0714808153,2.1429616306,Mulapadu major,Major
138,06-D-49-10,Kri-D-49--K.Atmakuru,Jonnalagadda,0,1.3,7.4,60,10.4022213998,0,,,,0,0,0,,
139,06-D-49-10,Kri-D-49--K.Atmakuru,V.Annavaram,0,1.3,7.4,60,10.4022213998,0,,,,0,0,0,,
140,06-D-49-05,Kri-D-49-Veerulapadu,Torragudipadu,2000,0.75,5.8,45,7.9213203436,0.0158426407,3.5,0,20,0,1.1089848481,1.1089848481,Munneru ,Main
141,06-D-49-05,Kri-D-49-Veerulapadu,Damuluru,,,,,,,,,,,,,,
142,06-D-49-05,Kri-D-49-Veerulapadu,Somavaram,,,,,,,,,,,,,,
143,06-D-49-05,Kri-D-49-Veerulapadu,Rudravaram,2530,0.75,2.6,60,4.3320508076,0.0109600885,3.5,0,20,0,0.767206198,0.767206198,Munneru ,Main
144,06-D-49-05,Kri-D-49-Veerulapadu,Gollamudi,,,,,,,,,,,,,,
145,06-D-49-05,Kri-D-49-Veerulapadu,Raghavapuram,,,,,,,,,,,,,,
146,06-D-49-05,Kri-D-49-Veerulapadu,Pallempalli,981,1.1,7.4,60,9.9403411844,0.0097514747,3.5,0,20,0,0.6826032291,0.6826032291,Mulapadu Major,Major
147,06-D-49-05,Kri-D-49-Veerulapadu,Konatanapalli,981,1.1,7.4,60,9.9403411844,0.0097514747,3.5,0,30,0,1.0239048437,1.0239048437,Mulapadu Major,Major
148,06-D-49-05,Kri-D-49-Veerulapadu,Choutapalli,981,1.1,7.4,60,9.9403411844,0.0097514747,3.5,0,30,0,1.0239048437,1.0239048437,Mulapadu Major,Major
149,06-D-49-05,Kri-D-49-Veerulapadu,Chattannavaram,981,1.1,7.4,60,9.9403411844,0.0097514747,3.5,0,30,0,1.0239048437,1.0239048437,Mulapadu Major,Major
150,06-D-49-05,Kri-D-49-Veerulapadu,Dachavaram,981,1.1,7.4,60,9.9403411844,0.0097514747,3.5,0,30,0,1.0239048437,1.0239048437,Mulapadu Major,Major
151,06-D-49-05,Kri-D-49-Veerulapadu,Vellanki,981,1.1,7.4,60,9.9403411844,0.0097514747,3.5,0,30,0,1.0239048437,1.0239048437,Mulapadu Major,Major
152,06-D-49-05,Kri-D-49-Veerulapadu,Tatigummi,981,1.1,7.4,60,9.9403411844,0.0097514747,3.5,0,30,0,1.0239048437,1.0239048437,Mulapadu Major,Major
153,06-D-49-05,Kri-D-49-Veerulapadu,Gokharajupalli,981,1.1,7.4,60,9.9403411844,0.0097514747,3.5,0,30,0,1.0239048437,1.0239048437,Mulapadu Major,Major
154,06-D-49-05,Kri-D-49-Veerulapadu,Nandaluru,981,1.1,7.4,60,9.9403411844,0.0097514747,3.5,0,30,0,1.0239048437,1.0239048437,Mulapadu Major,Major
155,06-D-49-05,Kri-D-49-Veerulapadu,Bodawada,981,1.1,7.4,60,9.9403411844,0.0097514747,3.5,0,30,0,1.0239048437,1.0239048437,Mulapadu Major,Major
156,06-D-49-05,Kri-D-49-Veerulapadu,Lakshmipuram,981,1.1,7.4,60,9.9403411844,0.0097514747,3.5,0,30,0,1.0239048437,1.0239048437,Mulapadu Major,Major
157,06-D-49-05,Kri-D-49-Veerulapadu,Jammavaram,,,,,,,,,,,,,,
158,06-D-49-01,Kri-D-49-Peddavaram,Akkapalem,1609,0.5,2.5,60,3.192820323,0.0051372479,3.5,0,20,0,0.359607353,0.359607353,Gampalagudem Major,Major
159,06-D-49-01,Kri-D-49-Peddavaram,Chintalapadu,1609,0.5,2.5,60,3.6547005384,0.0058804132,3.5,0,20,0,0.4116289216,0.4116289216,Gampalagudem Major,Major
160,06-D-49-01,Kri-D-49-Peddavaram,Chintalapadu,1813,0.35,0.9,60,1.7082903769,0.0030971305,3.5,0,20,0,0.2167991317,0.2167991317,13L Minor of Gampalagudem Major,Minor 
161,06-D-49-01,Kri-D-49-Peddavaram,Erramadu,1609,0.5,2.5,60,3.6547005384,0.0058804132,3.5,0,20,0,0.4116289216,0.4116289216,Gampalagudem Major,Major
162,06-D-49-01,Kri-D-49-Peddavaram,Mustikuntla,1609,0.5,2.5,60,3.6547005384,0.0058804132,3.5,0,20,0,0.4116289216,0.4116289216,Gampalagudem Major,Major
163,06-D-49-01,Kri-D-49-Peddavaram,Munukulla,1609,0.5,2.5,60,3.6547005384,0.0058804132,3.5,0,20,0,0.4116289216,0.4116289216,Gampalagudem Major,Major
164,06-D-49-08,Kri-D-49-Tiruvuru,Tiruvuru,7800,1.1,2.3,60,4.8403411844,0.0377546612,3.5,0,20,0,2.6428262867,2.6428262867,Tiruvuru major ,Major
165,06-D-49-07,Kri-D-49-Tiruvuru,Tiruvuru,2057,0.35,0.9,30,2.3,0.0047311,3.5,0,20,0,0.331177,0.331177,1L(A),Minor
166,06-D-49-06,Kri-D-49-Tiruvuru,Tiruvuru,660,0.2,0.5,30,1.3,0.000858,3.5,0,20,0,0.06006,0.06006,4R(A),Minor
167,06-D-49-05,Kri-D-49-Tiruvuru,Tiruvuru,1092,0.2,0.5,30,1.3,0.0014196,3.5,0,20,0,0.099372,0.099372,6L(A),Minor
168,06-D-49-04,Kri-D-49-Tiruvuru,Tiruvuru,195,0.21,0.3,30,1.14,0.0002223,3.5,0,20,0,0.015561,0.015561,9L(A),Minor
169,06-D-49-03,Kri-D-49-Tiruvuru,Tiruvuru,450,0.21,0.3,30,1.14,0.000513,3.5,0,20,0,0.03591,0.03591,12L(A),Minor
170,06-D-49-02,Kri-D-49-Tiruvuru,Tiruvuru,300,0.1,0.3,30,0.7,0.00021,3.5,0,20,0,0.0147,0.0147,13L(A),Minor
171,06-D-49-01,Kri-D-49-Tiruvuru,Tiruvuru,825,0.1,0.5,30,0.9,0.0007425,3.5,0,20,0,0.051975,0.051975,16L(A),Minor
172,06-D-4900,Kri-D-49-Tiruvuru,Tiruvuru,440,0.15,0.45,30,1.05,0.000462,3.5,0,20,0,0.03234,0.03234,18R(A),Minor
