S.No,Watershed code,Watershed Name,Village Name,command area,,,,Non command area,,,,Poor GW quality area,,,
,,,,Paddy,,Non-paddy,,Paddy,,Non-paddy,,Paddy,,Non-paddy,
,,,,Kharif,Rabi,Kharif,Rabi,Kharif,Rabi,Kharif,Rabi,Kharif,Rabi,Kharif,Rabi
190,06-I-52-39,Kri-I-52-Pamarru,Yelakuru,155.4,0,0,0,,,,,,,,
191,06-I-52-39,Kri-I-52-Pamarru,Kondiparru,333.06,0,0,0,,,,,,,,
192,06-I-52-39,Kri-I-52-Pamarru,Remmanapudi,288.95,0,0,0,,,,,,,,
193,06-I-52-39,Kri-I-52-Pamarru,Pedamaddali,1025.9,0,0,0,,,,,,,,
194,06-I-52-39,Kri-I-52-Pamarru,Addada,188.59,0,0,0,,,,,,,,
195,06-I-52-39,Kri-I-52-Pamarru,Inampudi,357.75,0,0,0,,,,,,,,
196,06-I-52-39,Kri-I-52-Pamarru,Jamigolvepalli,322.14,0,0,0,,,,,,,,
197,06-I-52-39,Kri-I-52-Pamarru,Komaravolu,487.66,0,0,0,,,,,,,,
198,06-I-52-39,Kri-I-52-Pamarru,Mallavaram,90.25,12.95,0,0,,,,,,,,
199,06-I-52-39,Kri-I-52-Pamarru,Mir-imam-palem,101.98,35.61,0,0,,,,,,,,
200,06-I-52-44,Kri-I-52-Ghantasala,Gantasala,1532.17,0,0,0,,,,,,,,
201,06-I-52-44,Kri-I-52-Ghantasala,Kothapalli,459.33,0,0,0,,,,,,,,
202,06-I-52-44,Kri-I-52-Ghantasala,Tadepalli,261.43,0,0,0,,,,,,,,
203,06-I-52-44,Kri-I-52-Ghantasala,Teluguravupalem,199.11,0,0,0,,,,,,,,
204,06-I-52-44,Kri-I-52-Ghantasala,Kodali,749.9,0,0,0,,,,,,,,
205,06-I-52-44,Kri-I-52-Ghantasala,Srikakulam,702.95,0,0,0,,,,,,,,
206,06-I-52-44,Kri-I-52-Ghantasala,Chinakallepalli,176.45,0,0,0,,,,,,,,
207,06-I-52-44,Kri-I-52-Ghantasala,Vemulapalli,354.92,0,0,0,,,,,,,,
