,,,,"Command Area",,,,,,,"Non-Command Area",,,,,,,"Poor GW quality area",,,,,,,
,,,,"Irrigated",,,,,,,"Irrigated",,,,,,,"Irrigated",,,,,,,
"Sr.no","Watershed code","GW watershed name","village name","DW","DW PS","BW","STW","MTW","DTW","FP","DW","DW PS","BW","STW","MTW","DTW","FP","DW","DW PS","BW","STW","MTW","DTW","FP",
99,"04_F_19-6_11-007","EG-MHG-Ylw- Eleswaram","Kandarada",0,0,0,0,0,0,51,0,0,0,0,0,0,0,,,,,,,,
100,"04_F_19-6_11-007","EG-MHG-Ylw- Eleswaram","Kumarapuram",0,0,0,0,0,0,11,0,0,0,0,0,0,0,,,,,,,,
101,"04_F_19-6_11-007","EG-MHG-Ylw- Eleswaram","Jalluru",0,0,0,0,0,0,3,0,0,0,0,0,0,0,,,,,,,,
102,"04_F_19-6_11-007","EG-MHG-Ylw- Eleswaram","Govindarajupalem",0,0,0,0,0,0,4,0,0,0,0,0,0,0,,,,,,,,
103,"04_F_19-6_11-007","EG-MHG-Ylw- Eleswaram","Fakrudinpalem",0,0,0,0,0,0,1,0,0,0,0,0,0,0,,,,,,,,
104,"04_F_19-6_11-007","EG-MHG-Ylw- Eleswaram","Mallam",0,0,0,0,0,0,2,0,0,0,0,0,0,0,,,,,,,,
105,"04_F_19-6_11-007","EG-MHG-Ylw- Eleswaram","Virawada",0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
106,"04_F_19-6_11-007","EG-MHG-Ylw- Eleswaram","Veeraraghavapuram",0,0,0,0,0,0,5,0,0,0,0,0,0,0,,,,,,,,
107,"04_F_19-6_11-007","EG-MHG-Ylw- Eleswaram","Mangiturti",0,0,0,0,0,0,8,0,0,0,0,0,0,0,,,,,,,,
108,"04_F_19-6_11-007","EG-MHG-Ylw- Eleswaram","Kolanka",0,0,0,0,0,0,1,0,0,0,0,0,0,0,,,,,,,,
109,"04_F_19-6_11-007","EG-MHG-Ylw- Eleswaram","Jammulapalli",0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
110,"04_F_19-6_11-007","EG-MHG-Ylw- Eleswaram","Pithapuram",0,0,0,0,0,0,22,0,0,0,0,0,0,0,,,,,,,,
111,"04_F_19-6_11-007","EG-MHG-Ylw- Eleswaram","Madhavapuram",0,0,0,0,0,0,4,0,0,0,0,0,0,0,,,,,,,,
112,"04_F_19-6_11-007","EG-MHG-Ylw- Eleswaram","Navakandrawada",0,0,0,6,0,0,0,0,0,0,0,0,0,0,,,,,,,,
113,"04_F_19-6_11-007","EG-MHG-Ylw- Eleswaram","Agraharam ",0,0,0,15,0,0,0,0,0,0,0,0,0,0,,,,,,,,
114,"04_F_19-6_11-007","EG-MHG-Ylw- Eleswaram","Chitrada",0,0,0,18,5,0,0,0,0,0,0,0,0,0,,,,,,,,
115,"04_F_19-6_11-007","EG-MHG-Ylw- Eleswaram","Illindarada",0,0,0,0,61,0,0,0,0,0,0,0,0,0,,,,,,,,
116,"04_F_19-6_11-007","EG-MHG-Ylw- Eleswaram","Somavaram",0,0,0,6,0,0,24,0,0,0,0,0,0,0,,,,,,,,
117,"04_F_19-6_11-007","EG-MHG-Ylw- Eleswaram","Virava",0,0,0,0,5,26,0,0,0,0,0,0,0,0,,,,,,,,
118,"04_F_19-6_11-007","EG-MHG-Ylw- Eleswaram","Kondevaram",0,0,0,0,0,0,49,0,0,0,0,0,0,0,,,,,,,,
119,"04_F_19-6_11-007","EG-MHG-Ylw- Eleswaram","Yendpalli",0,0,0,0,0,0,17,0,0,0,0,0,0,0,,,,,,,,
120,"04_F_19-6_11-007","EG-MHG-Ylw- Eleswaram","Vakatippa",0,0,0,85,74,46,56,0,0,0,0,0,0,0,,,,,,,,
121,"04_F_19-6_11-007","EG-MHG-Ylw- Eleswaram","Kottapalli",0,0,0,0,0,0,8,0,0,0,0,0,0,0,,,,,,,,
122,"04_F_19-6_11-007","EG-MHG-Ylw- Eleswaram","Kutukudumilli",0,0,0,0,0,0,23,0,0,0,0,0,0,0,,,,,,,,
