"GW Watershed Name","Iwm basin names","GW Village Name","iwm village names"
"EG-MHG-Pp- Sankhavaram","EG-MHG-PP-SANKHAVARAM-MB","Chakirevulapalem","Chakirevulapalem"
"EG-MHG-Pd- Y.Ramavaram","EG-MHG-PD-Y RAMAVARAM-MB","Chakirevulapalem","Chakirevulapalem"
"EG-G-Pm- Kutravada","EG-G-PM-KUTRAVADA-MB","CHAKKAVADA","Chakkavada"
"EG_G_LGD_ Upplguptam","UPPALAGUPTAM-MB","Challapalli","T. Challapalle"
"EG-MHG-Pp- Sankhavaram","EG-MHG-PP-SANKHAVARAM-MB","Challeru","Challeru"
"EG-MHG-Pd- Y.Ramavaram","EG-MHG-PD-Y RAMAVARAM-MB","CHAMAGADDA","Chamagedda-2"
"EG-MHG-ThW-Tuni","EG-MHG-THW-TUNI-MB","Chamavaram","Chamavaram-1"
"EG-G-Sb- Vattigedda","EG-G-SB2-VATTIGEDDA-MB","Chananuru","Chanaganuru"
"EG-MHG-Ylw- Eleswaram","EG-MHG-YLW-ELESWARAM-MB","Chandramampalli","Chandramampalle"
"EG-MHG-Pd- Y.Ramavaram","EG-MHG-PD-Y RAMAVARAM-MB","Chaparathipalem","Chaparatipalem"
"EG-G-Pm- Kutravada","EG-G-PM-KUTRAVADA-MB","CHATLAVADA","Chatlavada"
"EG-G-Pm- Kutravada","EG-G-PM-KUTRAVADA-MB","CHAVIDIKOTA","Chavidikota"
"EG-MHG-Pd- Y.Ramavaram","EG-MHG-PD-Y RAMAVARAM-MB","CHAVITIDIBBALU","Chavitidibbalu"
"EG-MHG-Sg- Prathipadu","EG-MHG-SG-PRATHIPADU-MB","Chebrolu","Chebrolu-2"
"EG_G_LGD_ Kajuluru","KAJULURU-MB","Cheduwada","Cheduvada"
"EG-MHG-Pd- Y.Ramavaram","EG-MHG-PD-Y RAMAVARAM-MB","CHEEDIPALEM","Cheedipalem"
"EG-G-Mv- Kondamodalu","EG-G-MV-KONDAMODALU-MB","CHELAKAVEEDHI","Chelakaveedhi"
"EG_G_LGD_ Rayavaram","RAYAVARAM-MB","Chelluru","Chelluru-1"
"EG-MHG-Pd- Y.Ramavaram","EG-MHG-PD-Y RAMAVARAM-MB","CHENDURTHI","Chendurthi"
"EG-MHG-Sg- Prathipadu","EG-MHG-SG-PRATHIPADU-MB","Chendurti","Chendurthi-1"
"EG-MHG-ThW-Tuni","EG-MHG-THW-TUNI-MB","Chepuru","Chepuru"
"EG-MHG-Dg- Bornagudem","EG-MHG-DG-BORNAGUDEM-MB","Cherukumpalem","Chervukommupalem"
"EG-G-Sp- Rchodavaram","EG-G-SP-RAMPACHODAVARAM-MB","Cheruvupalem","Cheruvupalem"
"EG-MHG-Pd- Y.Ramavaram","EG-MHG-PD-Y RAMAVARAM-MB","CHERUVURU","Cheruvuru"
"EG_G_LGD_ Katrenikona","KATRENIKONA-MB","Cheyyeru","Cheyyeru-1"
"EG-MHG-Ylw- Eleswaram","EG-MHG-YLW-ELESWARAM-MB","Chidiga","CHIDIGA"
"EG-MHG-Sg- Prathipadu","EG-MHG-SG-PRATHIPADU-MB","Chikilinta","Chikilinta"
"EG-MHG-Pd- Y.Ramavaram","EG-MHG-PD-Y RAMAVARAM-MB","Chikkapugadda","Chikkapugedda"
"EG-G-Sp- Rchodavaram","EG-G-SP-RAMPACHODAVARAM-MB","Chilakamamidi","Chilakamamidi"
"EG-G-Sb- Vattigedda","EG-G-SB2-VATTIGEDDA-MB","Chilakaveedhilanka","Chilakaveedhilanka"
"EG-MHG-Yle- Kirlampudi","EG-MHG-YLE-KIRLAMPUDI-MB","Chillangi","Chillangi"
"EG-MHG-Pd- Y.Ramavaram","EG-MHG-PD-Y RAMAVARAM-MB","CHINA ADDAPALLI","China Addapalle"
"EG-MHG-Pp- Sankhavaram","EG-MHG-PP-SANKHAVARAM-MB","China Mallapuram","China Mallapuram"
"EG-G-Sp- Rchodavaram","EG-G-SP-RAMPACHODAVARAM-MB","Chinabarangi","China Barangi"
"EG-G-Zk-Rangampet","EG-G-ZK-RANGAMPETA-MB","Chinabrahmadevaram","Chinabrahmadevam"
"EG-G-Zk-Rangampet","EG-G-ZK-RANGAMPETA-MB","Chinadwrapudi","Chinadevarapudi"
"EG_G_LGD_ Upplguptam","UPPALAGUPTAM-MB","Chinagadavilli","Chinagedavalli"
"EG-G-BkNe-Gangavaram","EG-G-BKNE-GANGAVARAM-MB","Chinagarlapadu","Chinagarlapadu-1"
"EG-G-Sp- Rchodavaram","EG-G-SP-RAMPACHODAVARAM-MB","Chinageddada","Chinageddada"
"EG-MHG-Sg- Prathipadu","EG-MHG-SG-PRATHIPADU-MB","Chinajaggannapeta","China Jaggampeta-1"
"EG-G-BkW- Sitanagaram","EG-G-BKW-SITANAGARAM-MB","chinakodepudi","Chinakondepudi"
"EG_G_LGD_Karapa","KARAPA-MB","Chinamamidada","China Mamidada"
"EG-MHG-Pd- Y.Ramavaram","EG-MHG-PD-Y RAMAVARAM-MB","Chinamunakanagedda","Chinamunakanagedda"
"EG-MHG-Md- Jaddangi","EG-MHG-MD-JADDANGI-MB","CHINARELLANGIPADU","Chinarellangipadu"
"EG-MHG-Sg- Prathipadu","EG-MHG-SG-PRATHIPADU-MB","Chinasankarlapudi","China Sankarlapudi"
"EG-MHG-Pd- Y.Ramavaram","EG-MHG-PD-Y RAMAVARAM-MB","Chinavadisakarra","Chinavadisakarra"
"EG-MHG-Pd- Y.Ramavaram","EG-MHG-PD-Y RAMAVARAM-MB","CHINAVULEMPADU","Chinavulempadu"
"EG-MHG-Mg- Addateegala","EG-MHG-MG-ADDATEEGALA-MB","Chinna Addateegala","Chinna Addateegala"
"EG-MHG-Pd- Y.Ramavaram","EG-MHG-PD-Y RAMAVARAM-MB","Chinnapadu","Chinnampadu"
"EG-MHG-Pd- Y.Ramavaram","EG-MHG-PD-Y RAMAVARAM-MB","CHINTA KOYYA","Chinta Koyya"
"EG-G-Mv- Kondamodalu","EG-G-MV-KONDAMODALU-MB","CHINTALAGUDEM","Chintalagudem"
"EG_G_LGD_ Razole","RAZOLE-MB","Chintalapalli","Chintalapalle-2"
"EG-MHG-Sg- Prathipadu","EG-MHG-SG-PRATHIPADU-MB","Chintaluru","Chintaluru"
"EG_G_LGD_ Alamuru","ALAMURU-MB","Chintaluru","Chintaluru"
"EG-G-LGD- Ainavilli","AINAVILLI-MB","Chintanalanka","Chintana Lanka"
"EG-G-LGD- Pedapudi","PEDAPUDI-MB","Chintapalli","Chintapalle-3"
"EG-MHG-Pd- Y.Ramavaram","EG-MHG-PD-Y RAMAVARAM-MB","CHINTHAKARRAPALEM","Chinthakarrapalem"
"EG-MHG-Pd- Y.Ramavaram","EG-MHG-PD-Y RAMAVARAM-MB","CHINTHALAPUDI","Chinthalapudi"
"EG_G_LGD_ Katrenikona","KATRENIKONA-MB","Chirrayanam","Pothukurru"
"EGG_LGD_ Ambajipeta","AMBAJIPETA-MB","Chirutapudi","Chiratapudi"
"EG-MHG-Ylw- Eleswaram","EG-MHG-YLW-ELESWARAM-MB","Chitrada","Chitrada"
"EG_G_LGD_ Rcpuram","RAMACHANDRAPURAM-MB","Chodavaram","Chodavaram-8"
"EG-G-BkNe-Gangavaram","EG-G-BKNE-GANGAVARAM-MB","Chodavaram","Chodavaram-8"
"EG_G_LGD_ Tallarevu","THALLAREVU-MB","Chollangi","Chollangi"
"EG_G_LGD_ Tallarevu","THALLAREVU-MB","Chollangipeta","Chollangi Peta"
"EG-G-Sp- Rchodavaram","EG-G-SP-RAMPACHODAVARAM-MB","CHOPPAKONDA","Choppakonda"
"EG-MHG-Pd- Y.Ramavaram","EG-MHG-PD-Y RAMAVARAM-MB","Choppanagadda","Choppanagadda"
"EG_G_LGD_ Alamuru","ALAMURU-MB","Choppella","Choppela-1"
"EG-MHG-Pd- Y.Ramavaram","EG-MHG-PD-Y RAMAVARAM-MB","CHUPPARIPALEM","Chupparipalem"
"EG-MHG-Mg- Addateegala","EG-MHG-MG-ADDATEEGALA-MB","D.Ammapeta","D. Ammapeta"
"EG-MHG-Mg- Addateegala","EG-MHG-MG-ADDATEEGALA-MB","D.Bhimavaram","Bhimavaram-5"
"EG-MHG-Mg- Addateegala","EG-MHG-MG-ADDATEEGALA-MB","D.Chodavaram","Chodavaram-6"
"EG-MHG-Pp- Sankhavaram","EG-MHG-PP-SANKHAVARAM-MB","D.Jagannadhapuram","Dhara Jagannadhapuram"
"EG-MHG-Mg- Addateegala","EG-MHG-MG-ADDATEEGALA-MB","D.Kothuru","D. Kothuru"
"EG-MHG-Ylw- Eleswaram","EG-MHG-YLW-ELESWARAM-MB","D.Krishnavaram","D. Krishnavaram"
"EG-MHG-Pp- Sankhavaram","EG-MHG-PP-SANKHAVARAM-MB","D.Mallapuram","Dhara Mallapuram"
"EG-MHG-Pp- Sankhavaram","EG-MHG-PP-SANKHAVARAM-MB","D.Pidapala","D. Pydipala"
"EG-MHG-Ylw- Eleswaram","EG-MHG-YLW-ELESWARAM-MB","D.Pinjarikonda","D. Pinjarikonda"
"EG-MHG-ThE- Kotananduru","EG-MHG-THE-KOTANANDURU-MB","D.Polavaram","D. Polavaram-1"
"EG-MHG-Mg- Addateegala","EG-MHG-MG-ADDATEEGALA-MB","D.Ramavaram","D. Ramavaram"
"EG-G-Sp- Rchodavaram","EG-G-SP-RAMPACHODAVARAM-MB","D.VELAMALAKOTA","D. Velamalakota"
"EG-MHG-Pp- Sankhavaram","EG-MHG-PP-SANKHAVARAM-MB","Dabbadi","Dabbadi"
"EG-MHG-Pd- Y.Ramavaram","EG-MHG-PD-Y RAMAVARAM-MB","DABBAMAMIDI","Dabbamamidi"
"EG-MHG-Pd- Y.Ramavaram","EG-MHG-PD-Y RAMAVARAM-MB","Dabbapalem","Dabbapalem"
"EG-G-Sp- Rchodavaram","EG-G-SP-RAMPACHODAVARAM-MB","Dabbavalasa","Dabbavalasa"
"EG-MHG-Pd- Y.Ramavaram","EG-MHG-PD-Y RAMAVARAM-MB","DADALIKAVADA","Dadalikavada"
"EG-MHG-Md- Jaddangi","EG-MHG-MD-JADDANGI-MB","DAKARAYI","Dakarayi"
"EG-MHG-Md- Jaddangi","EG-MHG-MD-JADDANGI-MB","Dakodu","Dakodu"
"EG-MHG-Pd- Y.Ramavaram","EG-MHG-PD-Y RAMAVARAM-MB","DALIPADU","Dalipadu"
"EG-MHG-Md- Jaddangi","EG-MHG-MD-JADDANGI-MB","DAMANAPALEM","Damanapalem"
"EG-G-Sp- Rchodavaram","EG-G-SP-RAMPACHODAVARAM-MB","DAMANAPALLI","Damanapalle"
"EG-G-LGD- Kadiam","KADIAM-MB","Damireddypalli","Damireddipalle"
"EG-G-Sp- Rchodavaram","EG-G-SP-RAMPACHODAVARAM-MB","DANDANGI","Dandangi-1"
