S.No,Watershed code,Watershed Name, Village Name,Length ,Design depth of flow,Bed width,Side Slopes,WettedPerimeter,Wetted area,Canal seepage factor, No.of operating days of canal,, Recharge from canal (ha.m),,Annual Recharge,,,,,,,,,,,,,
,,,,mts,mts,mts,( degrees ),mts,( m.sq mts.),( ha.m/d/m.sq.m ),Monsoon ,N-Monsoon,Monsoon ,Non-Monsoon,( ha.m ),,,,,,,,,,,,,
47,04_E_32_26-003,EG-G-Zk-Rangampet,Z.Medapadu,990,1.77,6.1,45,9.1037896065,0.0090127517,3,120,0,3.2445906157,0,3.2445906157,,Godavari,Zillakalva,Zillakalva,04_E_32_26-003,EG-G-Zk-Rangampet,04,East Godavari,32,Mandapeta,04052320050103,5,Z.Medapadu
48,04_E_32_26-003,EG-G-Zk-Rangampet,Dowlaiswaram,1735,0.4,1.2,45,1.8788225099,0.0032597571,15,120,0,5.8675626985,0,5.8675626985,,Godavari,Zillakalva,Zillakalva,04_E_32_26-003,EG-G-Zk-Rangampet,04,East Godavari,29,Rajahmundry,04041290080109,8,Dowlaiswaram
49,04_E_32_26-003,EG-G-Zk-Rangampet,Rajavolu,2220,0.45,1.5,45,2.2636753237,0.0050253592,15,120,0,9.0456465934,0,9.0456465934,,Godavari,Zillakalva,Zillakalva,04_E_32_26-003,EG-G-Zk-Rangampet,04,East Godavari,29,Rajahmundry,04041290090110,9,Rajavolu
50,04_E_32_26-003,EG-G-Zk-Rangampet,Srikrishnapatnam,5000,0.45,2.5,45,3.2636753237,0.0163183766,15,120,0,29.3730779131,0,29.3730779131,,Godavari,Zillakalva,Zillakalva,04_E_32_26-003,EG-G-Zk-Rangampet,04,East Godavari,28,Rajanagaram,04041280090114,010,Srikrishnapatnam
51,04_E_32_26-003,EG-G-Zk-Rangampet,Thokada,8500,0.9,2.5,45,4.0273506474,0.0342324805,15,120,0,61.6184649047,0,61.6184649047,,Godavari,Zillakalva,Zillakalva,04_E_32_26-003,EG-G-Zk-Rangampet,04,East Godavari,28,Rajanagaram,04041280110117,011,Thokada
52,04_E_32_26-003,EG-G-Zk-Rangampet,Mukkinada,5500,0.75,2.5,45,3.7727922061,0.0207503571,15,120,0,37.3506428407,0,37.3506428407,,Godavari,Zillakalva,Zillakalva,04_E_32_26-003,EG-G-Zk-Rangampet,04,East Godavari,28,Rajanagaram,04041280120118,012,Mukkinada
53,04_E_32_26-003,EG-G-Zk-Rangampet,Pata Thungapadu,,,,,,,,,,,,,,Godavari,Zillakalva,Zillakalva,04_E_32_26-003,EG-G-Zk-Rangampet,04,East Godavari,28,Rajanagaram,04041280130119,013,Pata Thungapadu
54,04_E_32_26-003,EG-G-Zk-Rangampet,Bhupalapatnam,,,,,,,,,,,,,,Godavari,Zillakalva,Zillakalva,04_E_32_26-003,EG-G-Zk-Rangampet,04,East Godavari,28,Rajanagaram,04041280140122,014,Bhupalapatnam
55,04_E_32_26-003,EG-G-Zk-Rangampet,G.Yerrampalem,,,,,,,,,,,,,,Godavari,Zillakalva,Zillakalva,04_E_32_26-003,EG-G-Zk-Rangampet,04,East Godavari,28,Rajanagaram,04041280150123,015,G.Yerrampalem
56,04_E_32_26-003,EG-G-Zk-Rangampet,Kondagunturu,,,,,,,,,,,,,,Godavari,Zillakalva,Zillakalva,04_E_32_26-003,EG-G-Zk-Rangampet,04,East Godavari,28,Rajanagaram,04041280160124,016,Kondagunturu
57,04_E_32_26-003,EG-G-Zk-Rangampet,Namavaram,,,,,,,,,,,,,,Godavari,Zillakalva,Zillakalva,04_E_32_26-003,EG-G-Zk-Rangampet,04,East Godavari,28,Rajanagaram,04041280170126,017,Namavaram
58,04_E_32_26-003,EG-G-Zk-Rangampet,Rangampeta,,,,,,,,,,,,,,Godavari,Zillakalva,Zillakalva,04_E_32_26-003,EG-G-Zk-Rangampet,04,East Godavari,26,Rangampet,04042260030103,003,Rangampeta
59,04_E_32_26-003,EG-G-Zk-Rangampet,Peda Rayavaram,,,,,,,,,,,,,,Godavari,Zillakalva,Zillakalva,04_E_32_26-003,EG-G-Zk-Rangampet,04,East Godavari,26,Rangampet,04042260040105,004,Peda Rayavaram
60,04_E_32_26-003,EG-G-Zk-Rangampet,Kotapadu,,,,,,,,,,,,,,Godavari,Zillakalva,Zillakalva,04_E_32_26-003,EG-G-Zk-Rangampet,04,East Godavari,26,Rangampet,04042260050106,005,Kotapadu
61,04_E_32_26-003,EG-G-Zk-Rangampet,Venkatapuram,,,,,,,,,,,,,,Godavari,Zillakalva,Zillakalva,04_E_32_26-003,EG-G-Zk-Rangampet,04,East Godavari,26,Rangampet,04042260060107,006,Venkatapuram
62,04_E_32_26-003,EG-G-Zk-Rangampet,Subhadrampeta,,,,,,,,,,,,,,Godavari,Zillakalva,Zillakalva,04_E_32_26-003,EG-G-Zk-Rangampet,04,East Godavari,26,Rangampet,04042260070108,007,Subhadrampeta
63,04_E_32_26-003,EG-G-Zk-Rangampet,Mukundavaram,,,,,,,,,,,,,,Godavari,Zillakalva,Zillakalva,04_E_32_26-003,EG-G-Zk-Rangampet,04,East Godavari,26,Rangampet,04042260080109,008,Mukundavaram
64,04_E_32_26-003,EG-G-Zk-Rangampet,Elakolanu,,,,,,,,,,,,,,Godavari,Zillakalva,Zillakalva,04_E_32_26-003,EG-G-Zk-Rangampet,04,East Godavari,26,Rangampet,04042260090110,009,Elakolanu
65,04_E_32_26-003,EG-G-Zk-Rangampet,Pata Doddigunta,,,,,,,,,,,,,,Godavari,Zillakalva,Zillakalva,04_E_32_26-003,EG-G-Zk-Rangampet,04,East Godavari,26,Rangampet,04042260100111,010,Pata Doddigunta
66,04_E_32_26-003,EG-G-Zk-Rangampet,Marripadi,,,,,,,,,,,,,,Godavari,Zillakalva,Zillakalva,04_E_32_26-003,EG-G-Zk-Rangampet,04,East Godavari,26,Rangampet,04042260110112,011,Marripadi
67,04_E_32_26-003,EG-G-Zk-Rangampet,Singampalli,,,,,,,,,,,,,,Godavari,Zillakalva,Zillakalva,04_E_32_26-003,EG-G-Zk-Rangampet,04,East Godavari,26,Rangampet,04042260120113,012,Singampalli
