"sr.no",,,"village name","No. M.I.Tanks command area",,"Number of M.I.Tanks [Non command area]",,"Number of M.I.Tanks PQ Area
[Poor GW Quality area]",
,"Watershed code ","GW watershed name",,"Number","spread ha","Number","spread ha","Number","spread ha"
203,"04_F_19-6_11-007","EG-MHG-Ylw- Eleswaram","Repuru",,,,,,
204,"04_F_19-6_11-007","EG-MHG-Ylw- Eleswaram","Kkd Medaline",,,,,,
205,"04_F_19-6_11-007","EG-MHG-Ylw- Eleswaram","Kkd Muncipality",,,,,,
206,"04_F_19-6_11-007","EG-MHG-Ylw- Eleswaram","Jagannadhapuram",,,,,,
207,"04_F_19-6_11-007","EG-MHG-Ylw- Eleswaram","Mallepalle",24,328,,,,
208,"04_F_19-6_11-007","EG-MHG-Ylw- Eleswaram","Uppalapadu",8,56,,,,
209,"04_F_19-6_11-007","EG-MHG-Ylw- Eleswaram","Talluru",15,96,,,,
210,"04_F_19-6_11-007","EG-MHG-Ylw- Eleswaram","Pro.Rangampet",13,78,,,,
211,"04_F_19-6_11-007","EG-MHG-Ylw- Eleswaram","Borrampalem",5,26,,,,
212,"04_F_19-6_11-007","EG-MHG-Ylw- Eleswaram","Yellamalli",12,86,,,,
213,"04_F_19-6_11-007","EG-MHG-Ylw- Eleswaram","Nayakampalli",7,62,,,,
214,"04_F_19-6_11-007","EG-MHG-Ylw- Eleswaram","Yerrampalem",4,22,,,,
215,"04_F_19-6_11-007","EG-MHG-Ylw- Eleswaram","Atchyutapuratrayam",,,,,,
216,"04_E_31-2_15-007","EG-G-BkW- Sitanagaram","Krishnunipalem",,,6,36,,
217,"04_E_31-2_15-007","EG-G-BkW- Sitanagaram","Gokavaram",,,15,64,,
218,"04_E_31-2_15-007","EG-G-BkW- Sitanagaram","Tantikonda",,,12,48,,
219,"04_E_31-2_15-007","EG-G-BkW- Sitanagaram","Gadelapalem",,,9,28,,
