,,,,"CA","NCA","PQA",,,
,,,,"Industrial","Industrial","Industrial",,,
"Sr.no","Watershed code","GW watershed name","village name","Industrial Wells","Industrial Wells","Industrial Wells","Total ",,
259,"04_E_31-2_15-007","EG-G-BkW- Sitanagaram","M.Burugubanda",,,,0,,
260,"04_E_31-2_15-007","EG-G-BkW- Sitanagaram","Forest",,,,0,,
261,"04_F_17_09-030","EG-MHG-Pp- Sankhavaram","Lododdi",0,,,0,,
262,"04_F_17_09-030","EG-MHG-Pp- Sankhavaram","Pudedu",0,,,0,,
263,"04_F_17_09-030","EG-MHG-Pp- Sankhavaram","Kesavaram",0,,,0,,
264,"04_F_17_09-030","EG-MHG-Pp- Sankhavaram","Pakalti",0,,,0,,
265,"04_F_17_09-030","EG-MHG-Pp- Sankhavaram","Forest",0,,,0,,
266,"04_F_17_09-030","EG-MHG-Pp- Sankhavaram","Satyavaram",0,,,0,,
267,"04_F_17_09-030","EG-MHG-Pp- Sankhavaram","Kotturu",0,,,0,,
268,"04_F_17_09-030","EG-MHG-Pp- Sankhavaram","Dabbadi",0,,,0,,
269,"04_F_17_09-030","EG-MHG-Pp- Sankhavaram","Raghavapatnam",0,,,0,,
270,"04_F_17_09-030","EG-MHG-Pp- Sankhavaram","Ginnelaram",0,,,0,,
271,"04_F_17_09-030","EG-MHG-Pp- Sankhavaram","Jaldam",0,,,0,,
272,"04_F_17_09-030","EG-MHG-Pp- Sankhavaram","Pedduru",0,,,0,,
273,"04_F_17_09-030","EG-MHG-Pp- Sankhavaram","D.Pidapala",0,,,0,,
274,"04_F_17_09-030","EG-MHG-Pp- Sankhavaram","S.Pidipala",0,,,0,,
275,"04_F_17_09-030","EG-MHG-Pp- Sankhavaram","Balaramapuram",0,,,0,,
276,"04_F_17_09-030","EG-MHG-Pp- Sankhavaram","B.B.Patnam",0,,,0,,
277,"04_F_17_09-030","EG-MHG-Pp- Sankhavaram","Gummaregula",0,,,0,,
278,"04_F_17_09-030","EG-MHG-Pp- Sankhavaram","Lachireddipalem",0,,,0,,
279,"04_F_17_09-030","EG-MHG-Pp- Sankhavaram","Uppampalem",0,,,0,,
